transport,conc,batch,reply_batch,rep,mrps,gbps,p50,p95,p99,avg,fail,reorder,rcnt,dist
envoy,64,0,0,4,0.572909,4.6933,111.00,114.00,129.00,109.51,0,0,5726488,
dpumesh,64,0,0,5,0.279933,2.2932,240.00,249.00,299.00,225.86,0,0,2798432,2:2799432
dpumesh,64,1,0,5,0.275738,2.2588,235.00,289.00,297.00,230.38,0,0,2755945,0:2756945
direct,64,0,0,5,2.285109,18.7196,25.00,29.00,32.00,26.19,0,0,22847134,
envoy,64,0,0,5,0.587641,4.8140,106.00,113.00,124.00,106.77,0,0,5874136,
dpumesh,64,0,0,6,0.277727,2.2751,241.00,250.00,302.00,227.94,0,0,2775790,1:2776790
dpumesh,64,1,0,6,0.279825,2.2923,235.00,246.00,294.00,227.00,0,0,2796547,2:2797547
direct,64,0,0,6,2.206441,18.0752,26.00,30.00,33.00,27.12,0,0,22062106,
envoy,64,0,0,6,0.593426,4.8613,105.00,112.00,120.00,105.65,0,0,5931800,
dpumesh,1,0,1,1,0.008280,0.0678,114.00,141.00,285.00,120.66,0,0,81832,0:82832
dpumesh,1,1,1,1,0.008209,0.0672,114.00,147.00,342.00,121.70,0,0,81119,1:82119
dpumesh,1,0,1,2,0.008401,0.0688,114.00,116.00,229.00,118.91,0,0,82879,2:83879
dpumesh,1,1,1,2,0.008337,0.0683,114.00,136.00,283.00,119.83,0,0,82351,0:83351
dpumesh,1,0,1,3,0.008061,0.0660,114.00,172.00,345.00,123.93,0,0,79578,1:80578
dpumesh,1,1,1,3,0.008487,0.0695,114.00,116.00,226.00,117.70,0,0,83848,2:84848
dpumesh,8,0,1,1,0.064473,0.5282,115.00,169.00,290.00,123.34,0,0,643747,0:644747
dpumesh,8,1,1,1,0.064813,0.5309,115.00,170.00,284.00,122.75,0,0,646642,1:647642
dpumesh,8,0,1,2,0.065045,0.5329,115.00,168.00,225.00,122.22,0,0,649343,2:650343
dpumesh,8,1,1,2,0.066669,0.5462,115.00,138.00,229.00,119.31,0,0,663563,0:664563
dpumesh,8,0,1,3,0.067402,0.5522,114.00,140.00,170.00,117.91,0,0,672800,1:673800
dpumesh,8,1,1,3,0.066178,0.5421,115.00,137.00,231.00,120.20,0,0,660714,2:661714
dpumesh,32,0,1,1,0.210566,1.7250,157.00,182.00,232.00,149.85,0,0,2103893,0:2104893
dpumesh,32,1,1,1,0.259798,2.1283,118.00,126.00,230.00,121.49,0,0,2594881,1:2595881
dpumesh,32,0,1,2,0.206353,1.6904,171.00,183.00,235.00,152.91,0,0,2061005,2:2062005
dpumesh,32,1,1,2,0.252935,2.0720,117.00,169.00,290.00,124.84,0,0,2528228,0:2529228
dpumesh,32,0,1,3,0.214408,1.7564,124.00,182.00,234.00,147.08,0,0,2142364,1:2143364
dpumesh,32,1,1,3,0.256311,2.0997,117.00,168.00,233.00,123.12,0,0,2560758,2:2561758
dpumesh,32,0,1,4,0.204754,1.6773,171.00,184.00,287.00,154.12,0,0,2046181,0:2047181
dpumesh,32,1,1,4,0.257182,2.1068,117.00,132.00,285.00,122.62,0,0,2570795,1:2571795
dpumesh,32,0,1,5,0.207596,1.7006,171.00,182.00,234.00,152.00,0,0,2074664,2:2075664
dpumesh,32,1,1,5,0.247719,2.0293,117.00,174.00,312.00,127.37,0,0,2474250,0:2475250
dpumesh,32,0,1,6,0.208703,1.7097,156.00,183.00,242.00,151.11,0,0,2085827,1:2086827
dpumesh,32,1,1,6,0.253827,2.0794,117.00,169.00,288.00,124.29,0,0,2536982,2:2537982
dpumesh,64,0,1,1,0.284541,2.3310,238.00,255.00,301.00,222.35,0,0,2843934,0:2844934
dpumesh,64,1,1,1,0.500798,4.1025,122.00,135.00,179.00,124.78,0,0,5004769,1:5005769
dpumesh,64,0,1,2,0.284564,2.3312,237.00,251.00,300.00,222.35,0,0,2843845,2:2844845
dpumesh,64,1,1,2,0.490915,4.0216,122.00,174.00,182.00,127.29,0,0,4906352,0:4907352
dpumesh,64,0,1,3,0.285219,2.3365,237.00,253.00,300.00,221.83,0,0,2850613,1:2851613
dpumesh,64,1,1,3,0.490300,4.0165,122.00,174.00,183.00,127.50,0,0,4900180,2:4901180
dpumesh,64,0,1,4,0.284071,2.3271,238.00,251.00,300.00,222.73,0,0,2839207,0:2840207
dpumesh,64,1,1,4,0.493975,4.0466,121.00,175.00,180.00,126.46,0,0,4937790,1:4938790
dpumesh,64,0,1,5,0.284874,2.3337,237.00,251.00,300.00,222.11,0,0,2847152,2:2848152
dpumesh,64,1,1,5,0.490257,4.0162,122.00,174.00,182.00,127.50,0,0,4900438,0:4901438
dpumesh,64,0,1,6,0.284441,2.3301,238.00,252.00,301.00,222.45,0,0,2842854,1:2843854
dpumesh,64,1,1,6,0.481936,3.9480,122.00,175.00,230.00,129.66,0,0,4816467,2:4817467
