stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,rep,mrps,gbps,p50,p95,p99,p999,p9999,avg,min,max,drops,overflow,fail,reorder
conc,tcp-envoy,1024B/8B,closed,const,1024,8,8,1,,8,0.120724,0.9890,64.00,66.00,69.00,142.00,241.00,65.15,53.67,2035.14,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,16,1,,8,0.534153,4.3758,28.00,29.00,31.00,57.00,114.00,28.22,17.66,11537.80,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,16,1,,8,0.115858,0.9491,118.00,175.00,179.00,,,136.76,55.95,16219.69,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,16,1,,8,0.232688,1.9062,68.00,69.00,73.00,146.00,300.00,67.47,57.50,2543.81,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,8,0.940277,7.7028,31.00,33.00,35.00,79.00,138.00,31.97,21.92,4559.14,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,8,0.192537,1.5773,175.00,183.00,235.00,,,164.31,61.06,4128.64,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,8,0.407290,3.3365,77.00,79.00,83.00,168.00,300.00,76.92,65.06,4437.67,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,8,2.246131,18.4003,25.00,29.00,32.00,54.00,118.00,26.60,14.63,499.84,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,8,0.278971,2.2853,240.00,249.00,299.00,,,227.03,119.88,16564.81,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,8,0.572528,4.6901,110.00,113.00,120.00,212.00,443.00,109.67,77.56,4076.22,0,0,0,0
rtt,tcp-envoy,64B/8B,closed,const,64,8,1,1,,1,0.016628,0.0085,58.00,60.00,63.00,132.00,179.00,59.16,53.22,2893.45,0,0,0,0
rtt,tcp-direct,64B/8B,closed,const,64,8,1,1,,1,0.039849,0.0204,23.00,24.00,29.00,47.00,103.00,23.76,15.32,4027.98,0,0,0,0
rtt,dpumesh-native,64B/8B,closed,const,64,8,1,1,,1,0.008168,0.0042,114.00,171.00,341.00,,,122.31,84.94,4721.66,,,0,0
rtt,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,1,0.015770,0.1292,62.00,63.00,67.00,139.00,239.00,62.41,51.14,15456.72,0,0,0,0
rtt,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,1,0.040258,0.3298,23.00,24.00,29.00,45.00,105.00,23.50,15.53,3824.85,0,0,0,0
rtt,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,1,0.008417,0.0690,114.00,116.00,230.00,,,118.69,86.72,2744.15,,,0,0
rtt,tcp-envoy,16384B/8B,closed,const,16384,8,1,1,,1,0.014898,1.9527,65.00,68.00,71.00,143.00,297.00,66.13,57.34,4476.89,0,0,0,0
rtt,tcp-direct,16384B/8B,closed,const,16384,8,1,1,,1,0.034614,4.5369,27.00,28.00,30.00,53.00,114.00,27.44,17.20,2532.93,0,0,0,0
rtt,dpumesh-native,16384B/8B,closed,const,16384,8,1,1,,1,0.007384,0.9678,114.00,227.00,399.00,,,135.31,98.85,4118.16,,,0,0
rtt,tcp-envoy,65536B/8B,closed,const,65536,8,1,1,,1,0.009871,5.1751,100.00,102.00,108.00,201.00,440.00,100.31,88.36,2567.86,0,0,0,0
rtt,tcp-direct,65536B/8B,closed,const,65536,8,1,1,,1,0.021221,11.1261,45.00,47.00,56.00,112.00,156.00,45.69,33.84,3827.29,0,0,0,0
rtt,dpumesh-native,65536B/8B,closed,const,65536,8,1,1,,1,0.004633,2.4288,173.00,402.00,514.00,,,215.74,112.20,14626.44,,,0,0
rtt,tcp-direct,64B/8B,closed,const,64,8,1,1,,2,0.040346,0.0207,23.00,24.00,28.00,45.00,103.00,23.44,15.38,3905.87,0,0,0,0
rtt,dpumesh-native,64B/8B,closed,const,64,8,1,1,,2,0.008409,0.0043,114.00,116.00,229.00,,,118.80,88.99,2538.81,,,0,0
rtt,tcp-envoy,64B/8B,closed,const,64,8,1,1,,2,0.015919,0.0082,61.00,63.00,66.00,143.00,247.00,61.81,53.67,4475.15,0,0,0,0
rtt,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,2,0.039313,0.3221,24.00,24.00,29.00,48.00,107.00,24.07,15.83,3117.25,0,0,0,0
rtt,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,2,0.008441,0.0691,114.00,116.00,228.00,,,118.36,88.02,17906.34,,,0,0
rtt,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,2,0.015806,0.1295,62.00,64.00,67.00,143.00,357.00,62.27,51.35,12933.08,0,0,0,0
rtt,tcp-direct,16384B/8B,closed,const,16384,8,1,1,,2,0.035011,4.5890,27.00,28.00,30.00,58.00,114.00,27.14,18.15,2505.74,0,0,0,0
rtt,dpumesh-native,16384B/8B,closed,const,16384,8,1,1,,2,0.008320,1.0905,113.00,138.00,284.00,,,120.07,83.45,14113.28,,,0,0
rtt,tcp-envoy,16384B/8B,closed,const,16384,8,1,1,,2,0.014340,1.8795,68.00,69.00,73.00,150.00,240.00,68.73,57.51,4725.37,0,0,0,0
rtt,tcp-direct,65536B/8B,closed,const,65536,8,1,1,,2,0.021192,11.1107,45.00,47.00,55.00,115.00,152.00,45.78,33.33,1334.96,0,0,0,0
rtt,dpumesh-native,65536B/8B,closed,const,65536,8,1,1,,2,0.004561,2.3911,172.00,403.00,516.00,,,219.14,116.53,3376.27,,,0,0
rtt,tcp-envoy,65536B/8B,closed,const,65536,8,1,1,,2,0.009898,5.1894,100.00,102.00,111.00,196.00,442.00,100.02,89.32,2443.54,0,0,0,0
rtt,dpumesh-native,64B/8B,closed,const,64,8,1,1,,3,0.008376,0.0043,114.00,115.00,226.00,,,119.28,89.17,162047.02,,,0,0
rtt,tcp-envoy,64B/8B,closed,const,64,8,1,1,,3,0.016329,0.0084,61.00,63.00,65.00,136.00,256.00,60.25,48.19,3298.76,0,0,0,0
rtt,tcp-direct,64B/8B,closed,const,64,8,1,1,,3,0.039774,0.0204,23.00,24.00,29.00,46.00,104.00,23.79,15.42,2988.60,0,0,0,0
rtt,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,3,0.008334,0.0683,114.00,146.00,230.00,,,119.87,85.76,3345.00,,,0,0
rtt,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,3,0.016069,0.1316,62.00,63.00,66.00,137.00,251.00,61.23,50.85,4834.54,0,0,0,0
rtt,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,3,0.039751,0.3256,23.00,24.00,28.00,48.00,105.00,23.82,15.75,3385.70,0,0,0,0
rtt,dpumesh-native,16384B/8B,closed,const,16384,8,1,1,,3,0.007645,1.0021,114.00,172.00,399.00,,,130.68,96.51,6957.51,,,0,0
rtt,tcp-envoy,16384B/8B,closed,const,16384,8,1,1,,3,0.014347,1.8805,68.00,69.00,73.00,145.00,247.00,68.70,61.62,10066.07,0,0,0,0
rtt,tcp-direct,16384B/8B,closed,const,16384,8,1,1,,3,0.035072,4.5970,27.00,28.00,30.00,69.00,118.00,27.06,18.39,1960.97,0,0,0,0
rtt,dpumesh-native,65536B/8B,closed,const,65536,8,1,1,,3,0.004322,2.2660,174.00,438.00,533.00,,,231.25,116.33,1749.81,,,0,0
rtt,tcp-envoy,65536B/8B,closed,const,65536,8,1,1,,3,0.010103,5.2966,97.00,102.00,118.00,201.00,420.00,97.96,87.32,3811.06,0,0,0,0
rtt,tcp-direct,65536B/8B,closed,const,65536,8,1,1,,3,0.022048,11.5593,43.00,47.00,57.00,109.00,147.00,43.93,33.85,2796.93,0,0,0,0
rtt,tcp-envoy,64B/8B,closed,const,64,8,1,1,,4,0.016048,0.0082,61.00,63.00,67.00,139.00,177.00,61.31,50.94,944.25,0,0,0,0
rtt,tcp-direct,64B/8B,closed,const,64,8,1,1,,4,0.039331,0.0201,24.00,24.00,29.00,62.00,107.00,24.08,15.70,10690.52,0,0,0,0
rtt,dpumesh-native,64B/8B,closed,const,64,8,1,1,,4,0.008382,0.0043,114.00,115.00,231.00,,,119.19,85.57,4650.94,,,0,0
rtt,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,4,0.016169,0.1325,60.00,63.00,67.00,136.00,207.00,60.86,50.54,3250.21,0,0,0,0
rtt,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,4,0.039652,0.3248,23.00,24.00,29.00,57.00,108.00,23.87,14.54,2897.23,0,0,0,0
rtt,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,4,0.008452,0.0692,114.00,116.00,228.00,,,118.19,87.23,1864.59,,,0,0
rtt,tcp-envoy,16384B/8B,closed,const,16384,8,1,1,,4,0.014867,1.9487,67.00,69.00,72.00,151.00,306.00,66.28,56.00,4031.71,0,0,0,0
rtt,tcp-direct,16384B/8B,closed,const,16384,8,1,1,,4,0.035650,4.6727,26.00,27.00,29.00,81.00,115.00,26.66,17.00,3478.43,0,0,0,0
rtt,dpumesh-native,16384B/8B,closed,const,16384,8,1,1,,4,0.007950,1.0421,115.00,170.00,283.00,,,125.66,99.74,2113.95,,,0,0
rtt,tcp-envoy,65536B/8B,closed,const,65536,8,1,1,,4,0.009865,5.1719,99.00,102.00,114.00,225.00,421.00,100.37,88.83,3263.72,0,0,0,0
rtt,tcp-direct,65536B/8B,closed,const,65536,8,1,1,,4,0.021309,11.1720,45.00,47.00,59.00,122.00,152.00,45.48,33.91,5214.51,0,0,0,0
rtt,dpumesh-native,65536B/8B,closed,const,65536,8,1,1,,4,0.004578,2.4003,173.00,401.00,514.00,,,218.30,113.43,3902.10,,,0,0
rtt,tcp-direct,64B/8B,closed,const,64,8,1,1,,5,0.039659,0.0203,23.00,24.00,29.00,68.00,107.00,23.85,15.34,120477.24,0,0,0,0
rtt,dpumesh-native,64B/8B,closed,const,64,8,1,1,,5,0.008515,0.0044,114.00,115.00,226.00,,,117.32,89.50,3861.22,,,0,0
rtt,tcp-envoy,64B/8B,closed,const,64,8,1,1,,5,0.016937,0.0087,56.00,62.00,64.00,138.00,188.00,58.06,50.70,9363.96,0,0,0,0
rtt,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,5,0.040331,0.3304,23.00,24.00,29.00,62.00,105.00,23.46,15.51,3194.88,0,0,0,0
rtt,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,5,0.008513,0.0697,114.00,115.00,227.00,,,117.35,86.36,4224.99,,,0,0
rtt,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,5,0.015621,0.1280,62.00,64.00,68.00,144.00,175.00,63.00,54.26,2018.85,0,0,0,0
rtt,tcp-direct,16384B/8B,closed,const,16384,8,1,1,,5,0.035066,4.5962,27.00,28.00,31.00,67.00,107.00,27.03,17.68,1547.57,0,0,0,0
rtt,dpumesh-native,16384B/8B,closed,const,16384,8,1,1,,5,0.008163,1.0699,113.00,167.00,344.00,,,122.39,86.30,4138.12,,,0,0
rtt,tcp-envoy,16384B/8B,closed,const,16384,8,1,1,,5,0.014630,1.9175,67.00,69.00,73.00,149.00,220.00,67.36,59.80,4006.74,0,0,0,0
rtt,tcp-direct,65536B/8B,closed,const,65536,8,1,1,,5,0.022323,11.7035,42.00,46.00,57.00,116.00,153.00,43.35,34.06,1963.10,0,0,0,0
rtt,dpumesh-native,65536B/8B,closed,const,65536,8,1,1,,5,0.004426,2.3206,172.00,430.00,517.00,,,225.80,116.33,14816.54,,,0,0
rtt,tcp-envoy,65536B/8B,closed,const,65536,8,1,1,,5,0.010653,5.5853,92.00,94.00,103.00,193.00,255.00,92.90,87.24,3088.98,0,0,0,0
rtt,dpumesh-native,64B/8B,closed,const,64,8,1,1,,6,0.008386,0.0043,114.00,115.00,228.00,,,119.13,89.58,13710.35,,,0,0
rtt,tcp-envoy,64B/8B,closed,const,64,8,1,1,,6,0.017271,0.0088,55.00,58.00,62.00,133.00,302.00,56.92,48.66,20720.89,0,0,0,0
rtt,tcp-direct,64B/8B,closed,const,64,8,1,1,,6,0.041423,0.0212,22.00,23.00,29.00,53.00,99.00,22.83,15.15,2946.50,0,0,0,0
rtt,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,6,0.008409,0.0689,114.00,115.00,229.00,,,118.80,86.90,4655.28,,,0,0
rtt,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,6,0.016167,0.1324,59.00,63.00,67.00,136.00,164.00,60.85,54.21,3481.03,0,0,0,0
rtt,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,6,0.038763,0.3175,24.00,25.00,29.00,71.00,109.00,24.44,15.96,12495.17,0,0,0,0
rtt,dpumesh-native,16384B/8B,closed,const,16384,8,1,1,,6,0.007584,0.9941,113.00,173.00,396.00,,,131.73,97.16,4053.16,,,0,0
rtt,tcp-envoy,16384B/8B,closed,const,16384,8,1,1,,6,0.014965,1.9615,65.00,66.00,71.00,146.00,256.00,65.85,59.79,2731.38,0,0,0,0
rtt,tcp-direct,16384B/8B,closed,const,16384,8,1,1,,6,0.034995,4.5869,27.00,27.00,30.00,74.00,113.00,27.20,18.62,2974.59,0,0,0,0
rtt,dpumesh-native,65536B/8B,closed,const,65536,8,1,1,,6,0.004706,2.4672,172.00,375.00,482.00,,,212.38,119.87,8305.72,,,0,0
rtt,tcp-envoy,65536B/8B,closed,const,65536,8,1,1,,6,0.009893,5.1867,100.00,102.00,120.00,195.00,330.00,100.09,87.12,2293.46,0,0,0,0
rtt,tcp-direct,65536B/8B,closed,const,65536,8,1,1,,6,0.021329,11.1825,45.00,48.00,58.00,122.00,155.00,45.49,32.97,7854.71,0,0,0,0
bw,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,1,0.410366,3.3617,77.00,79.00,86.00,164.00,231.00,76.34,66.65,2889.48,0,0,0,0
bw,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,1,0.937574,7.6806,32.00,33.00,36.00,96.00,139.00,32.09,22.70,1442.12,0,0,0,0
bw,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,1,0.191486,1.5687,175.00,183.00,236.00,,,165.24,57.08,13916.89,,,0,0
bw,tcp-envoy,65536B/8B,closed,const,65536,8,32,1,,1,0.023115,12.1191,1510.00,1781.00,1843.00,1987.00,3063.00,1381.99,436.68,3063.90,0,0,0,0
bw,tcp-direct,65536B/8B,closed,const,65536,8,32,1,,1,0.066713,34.9766,454.00,773.00,925.00,949.00,1035.00,470.61,186.90,2728.04,0,0,0,0
bw,dpumesh-native,65536B/8B,closed,const,65536,8,32,1,,1,0.016694,8.7524,234.00,244.00,303.00,,,221.96,114.97,4572.66,,,0,0
bw,tcp-envoy,524288B/8B,closed,const,524288,8,32,1,,1,0.003431,14.3917,7039.00,7894.00,9423.00,9921.00,11728.00,6810.06,3879.15,12020.87,0,0,0,0
bw,tcp-direct,524288B/8B,closed,const,524288,8,32,1,,1,0.007187,30.1434,4347.00,4596.00,8783.00,8991.00,10300.00,4447.60,2975.77,11169.21,0,0,0,0
bw,dpumesh-native,524288B/8B,closed,const,524288,8,32,1,,1,0.003322,13.9318,449.00,498.00,549.00,,,460.38,354.20,3005.99,,,0,0
bw,tcp-envoy,2097152B/8B,closed,const,2097152,8,32,1,,1,0.000883,14.8218,6839.00,7619.00,9240.00,9658.00,9948.00,6525.45,3280.83,11185.52,0,0,0,0
bw,tcp-direct,2097152B/8B,closed,const,2097152,8,32,1,,1,0.001817,30.4850,16981.00,17851.00,34623.00,35331.00,35755.00,17598.71,14454.03,36454.25,0,0,0,0
bw,dpumesh-native,2097152B/8B,closed,const,2097152,8,32,1,,1,0.000898,15.0709,1258.00,1313.00,1345.00,,,1266.33,1158.14,5394.67,,,0,0
bw,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,2,0.924866,7.5765,32.00,33.00,36.00,83.00,112.00,32.49,21.53,2400.95,0,0,0,0
bw,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,2,0.192126,1.5739,175.00,184.00,237.00,,,164.63,58.39,3223.03,,,0,0
bw,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,2,0.407954,3.3420,77.00,79.00,94.00,150.00,260.00,76.80,65.80,5717.17,0,0,0,0
bw,tcp-direct,65536B/8B,closed,const,65536,8,32,1,,2,0.065577,34.3810,463.00,494.00,940.00,959.00,1104.00,479.15,185.05,4305.69,0,0,0,0
bw,dpumesh-native,65536B/8B,closed,const,65536,8,32,1,,2,0.016664,8.7369,229.00,244.00,347.00,,,215.95,108.62,14976.79,,,0,0
bw,tcp-envoy,65536B/8B,closed,const,65536,8,32,1,,2,0.023431,12.2847,1506.00,1776.00,1841.00,2201.00,8515.00,1363.57,405.76,12183.00,0,0,0,0
bw,tcp-direct,524288B/8B,closed,const,524288,8,32,1,,2,0.007362,30.8796,4210.00,4299.00,8447.00,8530.00,8623.00,4342.21,3513.65,10815.22,0,0,0,0
bw,dpumesh-native,524288B/8B,closed,const,524288,8,32,1,,2,0.003309,13.8793,440.00,495.00,540.00,,,457.26,357.84,4428.06,,,0,0
bw,tcp-envoy,524288B/8B,closed,const,524288,8,32,1,,2,0.003436,14.4122,7033.00,7868.00,9404.00,9824.00,11730.00,6805.37,3609.33,12065.90,0,0,0,0
bw,tcp-direct,2097152B/8B,closed,const,2097152,8,32,1,,2,0.001830,30.6953,16919.00,17428.00,33994.00,34505.00,35758.00,17459.15,2438.10,36208.23,0,0,0,0
bw,dpumesh-native,2097152B/8B,closed,const,2097152,8,32,1,,2,0.000892,14.9692,1275.00,1349.00,1457.00,,,1279.55,1146.81,5300.07,,,0,0
bw,tcp-envoy,2097152B/8B,closed,const,2097152,8,32,1,,2,0.000884,14.8298,6839.00,7778.00,9294.00,10296.00,11633.00,6560.10,3266.50,11731.02,0,0,0,0
bw,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,3,0.192865,1.5799,175.00,189.00,291.00,,,164.00,58.81,2781.77,,,0,0
bw,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,3,0.411050,3.3673,77.00,79.00,85.00,163.00,303.00,76.21,63.33,3888.67,0,0,0,0
bw,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,3,0.950539,7.7868,31.00,32.00,35.00,87.00,130.00,31.64,22.54,825.21,0,0,0,0
bw,dpumesh-native,65536B/8B,closed,const,65536,8,32,1,,3,0.016668,8.7389,234.00,242.00,262.00,,,222.81,110.18,15765.54,,,0,0
bw,tcp-envoy,65536B/8B,closed,const,65536,8,32,1,,3,0.023635,12.3915,1503.00,1776.00,1839.00,2045.00,4533.00,1351.60,397.21,4533.59,0,0,0,0
bw,tcp-direct,65536B/8B,closed,const,65536,8,32,1,,3,0.067395,35.3343,389.00,788.00,811.00,936.00,1041.00,465.29,182.92,2549.77,0,0,0,0
bw,dpumesh-native,524288B/8B,closed,const,524288,8,32,1,,3,0.003297,13.8284,461.00,525.00,668.00,,,465.97,357.92,6261.07,,,0,0
bw,tcp-envoy,524288B/8B,closed,const,524288,8,32,1,,3,0.003432,14.3943,7041.00,7902.00,9408.00,10124.00,11781.00,6816.32,3507.95,12090.20,0,0,0,0
bw,tcp-direct,524288B/8B,closed,const,524288,8,32,1,,3,0.007130,29.9048,4360.00,4546.00,8739.00,8890.00,8972.00,4483.90,4071.22,11117.04,0,0,0,0
bw,dpumesh-native,2097152B/8B,closed,const,2097152,8,32,1,,3,0.000898,15.0579,1265.00,1332.00,1499.00,,,1271.82,1152.55,7301.73,,,0,0
bw,tcp-envoy,2097152B/8B,closed,const,2097152,8,32,1,,3,0.000882,14.7967,6840.00,7517.00,9241.00,9775.00,11337.00,6519.94,3303.52,11659.87,0,0,0,0
bw,tcp-direct,2097152B/8B,closed,const,2097152,8,32,1,,3,0.001784,29.9374,17348.00,17934.00,34814.00,35257.00,36620.00,17905.67,16617.87,37178.39,0,0,0,0
bw,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,4,0.405831,3.3246,77.00,79.00,85.00,164.00,316.00,77.20,69.25,10383.42,0,0,0,0
bw,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,4,0.922926,7.5606,32.00,33.00,36.00,89.00,138.00,32.59,22.01,3586.57,0,0,0,0
bw,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,4,0.193367,1.5841,175.00,183.00,235.00,,,163.61,58.10,3226.57,,,0,0
bw,tcp-envoy,65536B/8B,closed,const,65536,8,32,1,,4,0.023603,12.3748,1505.00,1779.00,1841.00,2032.00,3652.00,1353.54,414.13,3652.97,0,0,0,0
bw,tcp-direct,65536B/8B,closed,const,65536,8,32,1,,4,0.065619,34.4031,462.00,552.00,938.00,958.00,1096.00,478.72,185.18,1558.53,0,0,0,0
bw,dpumesh-native,65536B/8B,closed,const,65536,8,32,1,,4,0.016445,8.6220,232.00,287.00,361.00,,,224.74,101.88,14939.70,,,0,0
bw,tcp-envoy,524288B/8B,closed,const,524288,8,32,1,,4,0.003425,14.3654,7057.00,7869.00,9417.00,9796.00,11659.00,6827.92,3495.16,11717.99,0,0,0,0
bw,tcp-direct,524288B/8B,closed,const,524288,8,32,1,,4,0.007351,30.8325,4215.00,4303.00,8458.00,8538.00,9013.00,4348.55,2780.16,10703.47,0,0,0,0
bw,dpumesh-native,524288B/8B,closed,const,524288,8,32,1,,4,0.003319,13.9199,465.00,497.00,543.00,,,460.64,354.72,5142.59,,,0,0
bw,tcp-envoy,2097152B/8B,closed,const,2097152,8,32,1,,4,0.000880,14.7674,6858.00,7652.00,9298.00,9760.00,11763.00,6559.89,3311.48,11959.11,0,0,0,0
bw,tcp-direct,2097152B/8B,closed,const,2097152,8,32,1,,4,0.001849,31.0147,16766.00,17147.00,33666.00,34022.00,35428.00,17268.93,2525.26,35782.91,0,0,0,0
bw,dpumesh-native,2097152B/8B,closed,const,2097152,8,32,1,,4,0.000885,14.8464,1276.00,1357.00,1563.00,,,1285.62,1139.50,20750.78,,,0,0
