stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,rep,mrps,gbps,p50,p95,p99,p999,p9999,avg,min,max,drops,overflow,fail,reorder
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,2,0.196306,1.6081,174.00,183.00,233.00,,,161.08,58.06,4485.10,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,2,0.428041,3.5065,71.00,77.00,82.00,153.00,233.00,73.13,64.78,2995.78,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,2,2.314925,18.9639,25.00,28.00,31.00,61.00,107.00,25.82,11.46,3749.17,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,2,0.278812,2.2840,239.00,249.00,302.00,,,227.10,119.08,15952.65,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,2,0.579667,4.7486,107.00,112.00,128.00,197.00,446.00,108.29,72.73,13070.07,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,3,0.008337,0.0683,114.00,117.00,232.00,,,119.84,84.58,4167.87,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,3,0.016546,0.1355,58.00,63.00,66.00,125.00,255.00,59.45,50.49,4141.71,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,3,0.040913,0.3352,22.00,24.00,29.00,48.00,92.00,23.12,15.29,3742.99,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,3,0.017069,0.1398,114.00,116.00,225.00,,,116.90,79.47,4078.59,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,3,0.034940,0.2862,55.00,57.00,60.00,117.00,152.00,56.27,48.34,4014.65,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,3,0.091775,0.7518,20.00,23.00,27.00,40.00,84.00,20.36,15.07,2248.43,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,3,0.033516,0.2746,115.00,127.00,228.00,,,118.95,78.82,14727.34,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,3,0.064037,0.5246,60.00,64.00,67.00,134.00,303.00,61.42,49.87,9817.59,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,3,0.173249,1.4193,20.00,24.00,26.00,44.00,86.00,21.62,15.45,2222.27,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,8,1,,3,0.067427,0.5524,115.00,126.00,171.00,,,117.90,65.76,6347.95,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,8,1,,3,0.121724,0.9972,64.00,66.00,69.00,138.00,259.00,64.60,53.35,4728.19,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,3,0.296436,2.4284,25.00,26.00,29.00,56.00,95.00,25.45,15.96,1909.43,0,0,0,0
