stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,n_reps,mrps_med,mrps_lo,mrps_hi,gbps_med,gbps_lo,gbps_hi,p50_med,p50_lo,p50_hi,p95_med,p95_lo,p95_hi,p99_med,p99_lo,p99_hi,p999_med,p999_lo,p999_hi,p9999_med,p9999_lo,p9999_hi,avg_med,avg_lo,avg_hi,drops,overflow,fail,reorder
conc,dpumesh-native,1024B/1024B,closed,const,1024,1024,1,1,,5,0.0084,0.0081,0.0085,0.0688,0.0667,0.0697,114.0000,114.0000,114.0000,128.0000,116.0000,171.0000,228.0000,226.0000,286.0000,NA,NA,NA,NA,NA,NA,118.9400,117.3600,122.7300,0,0,0,0
conc,dpumesh-native,1024B/1024B,closed,const,1024,1024,16,1,,5,0.1264,0.1229,0.1291,1.0358,1.0071,1.0575,115.0000,115.0000,115.0000,171.0000,170.0000,173.0000,285.0000,283.0000,342.0000,NA,NA,NA,NA,NA,NA,125.1100,122.4200,128.7300,0,0,0,0
conc,dpumesh-native,1024B/1024B,closed,const,1024,1024,2,1,,5,0.0166,0.0164,0.0167,0.1359,0.1341,0.1367,114.0000,114.0000,114.0000,158.0000,142.0000,167.0000,282.0000,230.0000,342.0000,NA,NA,NA,NA,NA,NA,120.3700,119.6600,121.9200,0,0,0,0
conc,dpumesh-native,1024B/1024B,closed,const,1024,1024,32,1,,5,0.2494,0.2430,0.2618,2.0434,1.9903,2.1449,118.0000,117.0000,118.0000,173.0000,133.0000,175.0000,228.0000,174.0000,340.0000,NA,NA,NA,NA,NA,NA,126.3900,120.3000,129.7000,0,0,0,0
conc,dpumesh-native,1024B/1024B,closed,const,1024,1024,4,1,,5,0.0336,0.0330,0.0337,0.2753,0.2702,0.2760,114.0000,114.0000,114.0000,147.0000,117.0000,169.0000,229.0000,225.0000,230.0000,NA,NA,NA,NA,NA,NA,118.5900,118.3200,120.8800,0,0,0,0
conc,dpumesh-native,1024B/1024B,closed,const,1024,1024,64,1,,5,0.4490,0.4390,0.4609,3.6783,3.5961,3.7756,124.0000,123.0000,125.0000,183.0000,181.0000,184.0000,188.0000,186.0000,189.0000,NA,NA,NA,NA,NA,NA,138.6800,134.9500,141.8200,0,0,0,0
conc,dpumesh-native,1024B/1024B,closed,const,1024,1024,8,1,,5,0.0591,0.0570,0.0671,0.4843,0.4667,0.5496,114.0000,112.0000,114.0000,226.0000,131.0000,228.0000,340.0000,229.0000,398.0000,NA,NA,NA,NA,NA,NA,134.5400,118.4800,139.6300,0,0,0,0
conc,tcp-direct,1024B/1024B,closed,const,1024,1024,1,1,,5,0.0397,0.0388,0.0402,0.3251,0.3181,0.3292,23.0000,23.0000,24.0000,24.0000,24.0000,25.0000,29.0000,28.0000,29.0000,42.0000,39.0000,57.0000,97.0000,74.0000,103.0000,23.7300,23.4400,24.2500,0,0,0,0
conc,tcp-direct,1024B/1024B,closed,const,1024,1024,16,1,,5,0.4858,0.4845,0.4889,3.9793,3.9688,4.0051,29.0000,29.0000,30.0000,31.0000,30.0000,31.0000,33.0000,32.0000,33.0000,51.0000,47.0000,67.0000,105.0000,103.0000,120.0000,29.9600,29.7800,30.0100,0,0,0,0
conc,tcp-direct,1024B/1024B,closed,const,1024,1024,2,1,,5,0.0757,0.0745,0.0776,0.6201,0.6099,0.6359,24.0000,23.0000,25.0000,26.0000,24.0000,26.0000,30.0000,30.0000,31.0000,42.0000,42.0000,48.0000,97.0000,68.0000,109.0000,24.6100,24.0100,25.0600,0,0,0,0
conc,tcp-direct,1024B/1024B,closed,const,1024,1024,32,1,,5,0.8173,0.8035,0.8318,6.6956,6.5822,6.8141,34.0000,33.0000,35.0000,35.0000,34.0000,36.0000,38.0000,36.0000,38.0000,66.0000,50.0000,86.0000,119.0000,111.0000,129.0000,34.4800,33.8300,35.1100,0,0,0,0
conc,tcp-direct,1024B/1024B,closed,const,1024,1024,4,1,,5,0.1466,0.1435,0.1491,1.2007,1.1756,1.2213,25.0000,24.0000,26.0000,26.0000,25.0000,27.0000,30.0000,29.0000,30.0000,46.0000,41.0000,47.0000,101.0000,70.0000,113.0000,25.3800,24.8800,25.9300,0,0,0,0
conc,tcp-direct,1024B/1024B,closed,const,1024,1024,64,1,,5,1.1290,1.0447,1.2710,9.2487,8.5580,10.4122,46.0000,35.0000,47.0000,49.0000,48.0000,50.0000,51.0000,49.0000,51.0000,86.0000,58.0000,103.0000,136.0000,129.0000,138.0000,43.8900,39.2700,46.0300,0,0,0,0
conc,tcp-direct,1024B/1024B,closed,const,1024,1024,8,1,,5,0.2775,0.2696,0.2792,2.2732,2.2084,2.2871,26.0000,26.0000,27.0000,27.0000,27.0000,28.0000,30.0000,30.0000,30.0000,47.0000,43.0000,50.0000,100.0000,96.0000,109.0000,26.6100,26.4200,27.3900,0,0,0,0
conc,tcp-envoy,1024B/1024B,closed,const,1024,1024,1,1,,5,0.0162,0.0156,0.0172,0.1331,0.1274,0.1410,60.0000,56.0000,62.0000,63.0000,58.0000,64.0000,66.0000,60.0000,67.0000,115.0000,101.0000,135.0000,225.0000,142.0000,267.0000,60.5400,57.1000,63.2700,0,0,0,0
conc,tcp-envoy,1024B/1024B,closed,const,1024,1024,16,1,,5,0.2137,0.2090,0.2215,1.7509,1.7124,1.8148,74.0000,70.0000,74.0000,75.0000,72.0000,76.0000,78.0000,74.0000,79.0000,143.0000,130.0000,159.0000,326.0000,206.0000,420.0000,73.1600,70.5600,74.8300,0,0,0,0
conc,tcp-envoy,1024B/1024B,closed,const,1024,1024,2,1,,5,0.0324,0.0310,0.0337,0.2654,0.2536,0.2758,61.0000,57.0000,63.0000,64.0000,61.0000,65.0000,66.0000,62.0000,67.0000,108.0000,104.0000,140.0000,173.0000,135.0000,319.0000,60.6800,58.3800,63.5800,0,0,0,0
conc,tcp-envoy,1024B/1024B,closed,const,1024,1024,32,1,,5,0.3647,0.3543,0.3698,2.9880,2.9021,3.0291,85.0000,82.0000,87.0000,88.0000,87.0000,89.0000,91.0000,90.0000,92.0000,163.0000,148.0000,167.0000,368.0000,186.0000,396.0000,85.1200,83.9500,87.6700,0,0,0,0
conc,tcp-envoy,1024B/1024B,closed,const,1024,1024,4,1,,5,0.0623,0.0609,0.0635,0.5107,0.4991,0.5206,64.0000,61.0000,65.0000,66.0000,63.0000,66.0000,68.0000,66.0000,69.0000,112.0000,102.0000,141.0000,219.0000,132.0000,256.0000,63.0600,61.8600,64.5300,0,0,0,0
conc,tcp-envoy,1024B/1024B,closed,const,1024,1024,64,1,,5,0.4746,0.4679,0.4813,3.8879,3.8328,3.9424,126.0000,123.0000,128.0000,132.0000,130.0000,133.0000,141.0000,139.0000,145.0000,335.0000,224.0000,365.0000,471.0000,448.0000,939.0000,127.7700,125.9700,129.4000,0,0,0,0
conc,tcp-envoy,1024B/1024B,closed,const,1024,1024,8,1,,5,0.1206,0.1157,0.1262,0.9882,0.9476,1.0339,66.0000,61.0000,67.0000,68.0000,65.0000,68.0000,70.0000,66.0000,71.0000,124.0000,109.0000,147.0000,199.0000,172.0000,298.0000,65.0500,62.1300,67.8700,0,0,0,0
rtt,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,5,0.0085,0.0085,0.0086,0.0699,0.0694,0.0702,114.0000,114.0000,114.0000,116.0000,115.0000,116.0000,225.0000,172.0000,228.0000,NA,NA,NA,NA,NA,NA,117.0500,116.6000,117.9300,0,0,0,0
rtt,dpumesh-native,1048576B/8B,closed,const,1048576,8,1,1,,5,0.0014,0.0014,0.0014,12.0748,11.8558,12.1191,691.0000,687.0000,692.0000,729.0000,724.0000,816.0000,856.0000,748.0000,938.0000,NA,NA,NA,NA,NA,NA,694.5600,692.0200,707.3900,0,0,0,0
rtt,dpumesh-native,256B/8B,closed,const,256,8,1,1,,5,0.0085,0.0085,0.0086,0.0174,0.0174,0.0175,114.0000,114.0000,114.0000,116.0000,116.0000,116.0000,225.0000,172.0000,227.0000,NA,NA,NA,NA,NA,NA,117.3200,116.7000,117.8100,0,0,0,0
rtt,dpumesh-native,64B/8B,closed,const,64,8,1,1,,5,0.0083,0.0082,0.0084,0.0042,0.0042,0.0043,114.0000,114.0000,114.0000,151.0000,116.0000,170.0000,283.0000,229.0000,286.0000,NA,NA,NA,NA,NA,NA,120.5100,119.4600,122.3400,0,0,0,0
rtt,dpumesh-native,65536B/8B,closed,const,65536,8,1,1,,5,0.0046,0.0045,0.0049,2.4274,2.3764,2.5517,174.0000,173.0000,175.0000,403.0000,346.0000,404.0000,516.0000,461.0000,518.0000,NA,NA,NA,NA,NA,NA,215.8600,205.3500,220.5100,0,0,0,0
rtt,dpumesh-native,8192B/8B,closed,const,8192,8,1,1,,5,0.0085,0.0082,0.0086,0.5568,0.5370,0.5612,112.0000,112.0000,112.0000,134.0000,116.0000,169.0000,228.0000,226.0000,287.0000,NA,NA,NA,NA,NA,NA,117.5900,116.6500,121.9100,0,0,0,0
