arm,rep,req,conc,threads,mrps,p50,p99,fail,client_core,server_core,host_core,arm_core,host_us_per_req,arm_us_per_req
dpumesh,1,1024,32,4,0.008000,438.00,871.00,0,0.1268,0.1744,0.3012,0.8217,37.647,102.715
preload,1,1024,32,4,0.008000,761.00,1264.00,0,0.1814,0.2417,0.4231,0.7965,52.888,99.560
grpc-dpumesh,1,1024,32,4,0.008000,1072.00,2099.00,0,0.5555,0.5249,1.0804,3.9679,135.051,495.992
dpumesh,2,1024,32,4,0.008000,501.00,879.00,0,0.1233,0.1591,0.2824,0.8327,35.296,104.083
preload,2,1024,32,4,0.008000,712.00,1079.00,0,0.1983,0.2660,0.4643,0.8046,58.034,100.571
grpc-dpumesh,2,1024,32,4,0.008000,1257.00,2221.00,0,0.4992,0.4980,0.9972,4.0119,124.652,501.493
dpumesh,3,1024,32,4,0.008000,465.00,870.00,0,0.1322,0.2336,0.3658,0.8481,45.728,106.007
preload,3,1024,32,4,0.008000,735.00,1067.00,0,0.1830,0.2581,0.4411,0.8032,55.140,100.397
grpc-dpumesh,3,1024,32,4,0.008000,1072.00,2112.00,0,0.5530,0.5146,1.0676,3.9655,133.450,495.683
