config,frame,kind,offered,achieved,client,server,client_cgroup,server_cgroup,p99,drop,clean
grpc-envoy-permissive,64,common,7851,7851.0,0.520879,0.487258,0.526319,0.492201,580.0,0.0,1
grpc-envoy-permissive,64,common,11776,11776.0,0.786567,0.695751,0.794694,0.702932,302.0,0.0,1
grpc-envoy-permissive,64,common,14131,14131.0,0.925722,0.839629,0.9352069999999999,0.8482370000000001,498.0,0.0,1
grpc-envoy-permissive,1024,bound,2419,2419.0,0.171649,0.259728,0.173311,0.262121,546.0,0.0,1
grpc-envoy-permissive,1024,bound,7257,7257.0,0.499159,0.445673,0.504369,0.450201,472.0,0.0,1
grpc-envoy-permissive,1024,bound,14514,14514.0,0.958331,0.88165,0.968043,0.890656,435.0,0.0,1
grpc-envoy-permissive,1024,bound,24190,24189.0,0.981796,0.965494,0.992089,0.9756640000000001,1722.0,0.0,1
grpc-envoy-permissive,1024,bound,33866,33863.0,0.982197,0.910219,0.992318,0.919509,2906.0,0.0,1
grpc-envoy-permissive,1024,bound,41123,41129.0,0.981626,0.889217,0.9920519999999999,0.898533,6402.0,0.0,1
grpc-envoy-permissive,1024,bound,45961,45924.0,0.981728,0.899772,0.992148,0.909673,19949.0,0.0,1
grpc-envoy-permissive,1024,bound,48380,48366.0,0.982482,0.929887,0.992621,0.938666,35278.0,0.0,1
grpc-envoy-permissive,1024,bound,50799,44967.0,0.981463,0.879274,0.991797,0.885956,1231092.9,0.0,0
grpc-envoy-permissive,1024,bound,55637,44711.0,0.982674,0.874559,0.992051,0.8844930000000001,2132879.92,0.0,0
grpc-envoy-permissive,1024,bound,62894,44664.0,0.98202,0.872293,0.991674,0.879271,2976174.59,0.0,0
grpc-envoy-permissive,1024,common,3316,3316.0,0.233434,0.2765,0.235658,0.27900800000000003,503.0,0.0,1
grpc-envoy-permissive,1024,common,6631,6631.0,0.46346,0.420518,0.468278,0.42523700000000003,544.0,0.0,1
grpc-envoy-permissive,1024,common,9947,9947.0,0.670211,0.621495,0.677413,0.627934,649.0,0.0,1
grpc-envoy-permissive,1024,common,11936,11936.0,0.809194,0.718401,0.8175539999999999,0.725846,253.0,0.0,1
grpc-envoy-permissive,8192,bound,1759,1759.0,0.140589,0.164205,0.141952,0.165943,500.0,0.0,1
grpc-envoy-permissive,8192,bound,5276,5276.0,0.418484,0.363461,0.422834,0.36726,221.0,0.0,1
grpc-envoy-permissive,8192,bound,10551,10551.0,0.806166,0.718137,0.814454,0.725545,264.0,0.0,1
grpc-envoy-permissive,8192,bound,17586,17585.0,0.981584,0.923798,0.991807,0.933586,1809.0,0.0,1
grpc-envoy-permissive,8192,bound,24620,24622.0,0.981978,0.923044,0.9920910000000001,0.9325570000000001,2717.0,0.0,1
grpc-envoy-permissive,8192,bound,29895,29895.0,0.982196,0.915387,0.992133,0.9246179999999999,4358.0,0.0,1
grpc-envoy-permissive,8192,bound,33412,33420.0,0.98159,0.906267,0.992005,0.9159309999999999,8442.0,0.0,1
grpc-envoy-permissive,8192,bound,35171,35161.0,0.981601,0.904369,0.9918750000000001,0.913936,25661.0,0.0,1
grpc-envoy-permissive,8192,bound,36930,31566.0,0.981885,0.859533,0.991314,0.866449,1585561.43,0.0,0
grpc-envoy-permissive,8192,bound,40447,31656.0,0.981123,0.863749,0.992013,0.873445,2245252.77,0.0,0
grpc-envoy-permissive,8192,bound,45722,31622.0,0.981597,0.866529,0.991765,0.875122,3276441.87,0.0,0
grpc-envoy-permissive,8192,common,2698,2698.0,0.215212,0.209974,0.217526,0.212005,498.0,0.0,1
grpc-envoy-permissive,8192,common,5395,5395.0,0.425816,0.369645,0.430239,0.37356599999999995,224.0,0.0,1
grpc-envoy-permissive,8192,common,8093,8092.0,0.631012,0.555376,0.6376,0.5611820000000001,264.0,0.0,1
grpc-envoy-permissive,8192,common,9711,9710.0,0.743542,0.657678,0.751174,0.664471,269.0,0.0,1
grpc-envoy-strict,64,bound,2559,2559.0,0.188738,0.314553,0.19067299999999998,0.317952,592.0,0.0,1
grpc-envoy-strict,64,bound,7677,7676.0,0.541416,0.527191,0.5470619999999999,0.532193,706.0,0.0,1
grpc-envoy-strict,64,bound,15354,15354.0,0.98083,0.917278,0.991133,0.926955,971.0,0.0,1
grpc-envoy-strict,64,bound,25590,25589.0,0.981797,0.91087,0.9919979999999999,0.920477,1879.0,0.0,1
grpc-envoy-strict,64,bound,35826,35829.0,0.981999,0.881002,0.992202,0.890237,3334.0,0.0,1
grpc-envoy-strict,64,bound,43503,43508.0,0.982623,0.895662,0.9928600000000001,0.9049210000000001,7689.0,0.0,1
grpc-envoy-strict,64,bound,48621,48612.0,0.981779,0.916694,0.992193,0.926089,22618.0,0.0,1
grpc-envoy-strict,64,bound,51180,51153.0,0.981639,0.943164,0.992009,0.952762,45410.0,0.0,1
grpc-envoy-strict,64,bound,53739,49244.0,0.983324,0.928596,0.992514,0.937338,868031.0,0.0,0
grpc-envoy-strict,64,bound,58857,49159.0,0.981218,0.92859,0.9917389999999999,0.9366519999999999,1758389.18,0.0,0
grpc-envoy-strict,64,bound,66534,49109.0,0.982114,0.928521,0.9924580000000001,0.937303,2673591.24,0.0,0
grpc-envoy-strict,64,common,3925,3924.0,0.286664,0.389587,0.289805,0.393363,574.0,0.0,1
grpc-envoy-strict,64,common,7851,7851.0,0.556956,0.545591,0.562587,0.551085,748.0,0.0,1
grpc-envoy-strict,64,common,11776,11776.0,0.852455,0.729554,0.861542,0.737228,342.0,0.0,1
grpc-envoy-strict,64,common,14131,14131.0,0.96942,0.882951,0.9792259999999999,0.892118,728.0,0.0,1
grpc-envoy-strict,1024,bound,2330,2330.0,0.178887,0.248839,0.180766,0.251397,568.0,0.0,1
grpc-envoy-strict,1024,bound,6990,6990.0,0.52718,0.45763,0.53287,0.46245,538.0,0.0,1
grpc-envoy-strict,1024,bound,13980,13980.0,0.97692,0.899163,0.986917,0.90846,673.0,0.0,1
grpc-envoy-strict,1024,bound,23300,23300.0,0.981994,0.953154,0.9920880000000001,0.962969,1911.0,0.0,1
grpc-envoy-strict,1024,bound,32619,32618.0,0.981952,0.931471,0.9920720000000001,0.9411069999999999,3153.0,0.0,1
grpc-envoy-strict,1024,bound,39609,39610.0,0.981736,0.923945,0.99208,0.9334990000000001,5593.0,0.0,1
grpc-envoy-strict,1024,bound,44269,44281.0,0.982618,0.915788,0.992114,0.9245,19777.0,0.0,1
grpc-envoy-strict,1024,bound,46599,44566.0,0.980788,0.912923,0.9913780000000001,0.922768,453678.0,0.0,0
grpc-envoy-strict,1024,bound,48929,42766.0,0.981902,0.87957,0.99161,0.888747,1368485.1,0.0,0
grpc-envoy-strict,1024,bound,53589,42825.0,0.981602,0.884341,0.991776,0.893775,2104359.26,0.0,0
grpc-envoy-strict,1024,bound,60579,43044.0,0.981201,0.885865,0.9919560000000001,0.895501,2987110.88,0.0,0
grpc-envoy-strict,1024,common,3316,3316.0,0.253351,0.279781,0.255946,0.283233,525.0,0.0,1
grpc-envoy-strict,1024,common,6631,6631.0,0.490213,0.433238,0.49523,0.4378,477.0,0.0,1
grpc-envoy-strict,1024,common,9947,9947.0,0.728953,0.637512,0.736618,0.6440710000000001,467.0,0.0,1
grpc-envoy-strict,1024,common,11936,11936.0,0.904571,0.762532,0.914046,0.770626,319.0,0.0,1
grpc-envoy-strict,8192,bound,1431,1431.0,0.130867,0.175277,0.132191,0.17670799999999998,556.0,0.0,1
grpc-envoy-strict,8192,bound,4292,4292.0,0.371009,0.346836,0.374901,0.350476,240.0,0.0,1
grpc-envoy-strict,8192,bound,8584,8583.0,0.770236,0.652279,0.778238,0.659071,291.0,0.0,1
grpc-envoy-strict,8192,bound,14307,14307.0,0.9817,0.979746,0.991906,0.9900439999999999,1839.0,0.0,1
grpc-envoy-strict,8192,bound,20029,20028.0,0.981641,0.970521,0.9918849999999999,0.980712,3021.0,0.0,1
grpc-envoy-strict,8192,bound,24321,24325.0,0.981978,0.951134,0.992139,0.9610719999999999,5372.0,0.0,1
grpc-envoy-strict,8192,bound,27182,27189.0,0.98186,0.950298,0.992233,0.960303,9669.0,0.0,1
grpc-envoy-strict,8192,bound,28613,28622.0,0.981952,0.93924,0.9923759999999999,0.949289,22811.0,0.0,1
grpc-envoy-strict,8192,bound,30044,25910.0,0.981369,0.891281,0.9911079999999999,0.901678,1473338.18,0.0,0
grpc-envoy-strict,8192,bound,32905,26076.0,0.981523,0.896788,0.9917690000000001,0.9050229999999999,2253690.48,0.0,0
grpc-envoy-strict,8192,bound,37197,26263.0,0.981643,0.903344,0.991821,0.912855,3340865.66,0.0,0
grpc-envoy-strict,8192,common,2698,2698.0,0.240513,0.226252,0.24292000000000002,0.22844599999999998,500.0,0.0,1
grpc-envoy-strict,8192,common,5395,5395.0,0.472627,0.426483,0.47738200000000003,0.430812,249.0,0.0,1
grpc-envoy-strict,8192,common,8093,8093.0,0.718398,0.618116,0.725746,0.6244620000000001,285.0,0.0,1
grpc-envoy-strict,8192,common,9711,9711.0,0.834671,0.738106,0.842303,0.74509,284.0,0.0,1
grpc-linkerd,64,bound,785,784.0,0.151793,0.273082,0.152801,0.275459,988.0,0.0,1
grpc-linkerd,64,bound,2355,2355.0,0.366639,0.415144,0.37044699999999997,0.419454,795.0,0.0,1
grpc-linkerd,64,bound,4710,4710.0,0.717918,0.646589,0.725386,0.653227,959.0,0.0,1
grpc-linkerd,64,bound,7851,7851.0,0.969196,0.742628,0.979201,0.75037,1986.0,0.0,1
