config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-envoy-permissive,64,8,1,1,17742.0,444.00,587.00,871.00,450.82,0,0.9970,0.9917,NA,6.0258
grpc-envoy-permissive,64,8,2,1,26065.0,605.00,771.00,915.00,613.76,0,0.9981,0.9860,NA,6.0261
grpc-envoy-permissive,64,8,4,1,34859.0,904.00,1116.00,1228.00,917.88,0,0.9997,0.9778,NA,6.0264
grpc-envoy-permissive,64,8,8,1,41691.0,1512.00,1880.00,2037.00,1534.91,0,0.9996,0.9586,NA,6.0269
grpc-envoy-permissive,64,8,16,1,46667.0,2709.00,3400.00,3523.00,2742.72,0,0.9999,0.9409,NA,6.0256
grpc-envoy-permissive,64,8,32,1,50202.0,5070.00,6372.00,6876.00,5099.66,0,0.9986,0.9419,NA,6.0259
grpc-envoy-permissive,1024,8,1,1,17117.0,462.00,598.00,736.00,467.27,0,0.9982,0.9943,NA,6.0266
grpc-envoy-permissive,1024,8,2,1,23277.0,679.00,833.00,1034.00,687.27,0,0.9974,0.9581,NA,6.0266
grpc-envoy-permissive,1024,8,4,1,31996.0,985.00,1202.00,1344.00,999.99,0,0.9994,0.9593,NA,6.0285
grpc-envoy-permissive,1024,8,8,1,39861.0,1568.00,1960.00,2036.00,1605.38,0,0.9997,0.9453,NA,6.0266
grpc-envoy-permissive,1024,8,16,1,45382.0,2767.00,3497.00,3629.00,2820.32,0,1.0000,0.9540,NA,6.0261
grpc-envoy-permissive,1024,8,32,1,48445.0,5238.00,6632.00,6898.00,5284.77,0,0.9998,0.9469,NA,6.0254
grpc-envoy-permissive,8192,8,1,1,14626.0,544.00,689.00,789.00,546.88,0,0.9994,0.9866,NA,6.0254
grpc-envoy-permissive,8192,8,2,1,20517.0,764.00,936.00,1083.00,779.74,0,0.9996,0.9472,NA,6.0269
grpc-envoy-permissive,8192,8,4,1,26832.0,1150.00,1434.00,1630.00,1192.48,0,0.9995,0.9478,NA,6.0270
grpc-envoy-permissive,8192,8,8,1,31243.0,2013.00,2458.00,2669.00,2048.19,0,0.9997,0.9416,NA,6.0266
grpc-envoy-permissive,8192,8,16,1,35452.0,3577.00,4343.00,4572.00,3610.46,0,0.9991,0.9535,NA,6.0271
grpc-envoy-permissive,8192,8,32,1,37380.0,6814.00,8303.00,9248.00,6848.43,0,0.9994,0.9718,NA,6.0275
grpc-envoy-strict,64,8,1,1,16668.0,474.00,609.00,795.00,479.86,0,0.9984,0.9838,NA,6.0269
grpc-envoy-strict,64,8,2,1,24162.0,652.00,791.00,913.00,662.10,0,0.9996,0.9828,NA,6.0241
grpc-envoy-strict,64,8,4,1,33460.0,938.00,1160.00,1298.00,956.25,0,0.9985,0.9809,NA,6.0263
grpc-envoy-strict,64,8,8,1,40160.0,1560.00,1958.00,2075.00,1593.43,0,0.9998,0.9539,NA,6.0266
grpc-envoy-strict,64,8,16,1,46032.0,2645.00,3460.00,3551.00,2780.55,0,0.9999,0.9584,NA,6.0266
grpc-envoy-strict,64,8,32,1,49633.0,5069.00,6484.00,6568.00,5158.23,0,0.9993,0.9584,NA,6.0302
grpc-envoy-strict,1024,8,1,1,15490.0,501.00,664.00,1200.00,516.37,0,0.9961,0.9677,NA,6.0261
grpc-envoy-strict,1024,8,2,1,22721.0,697.00,922.00,1072.00,704.09,0,0.9968,0.9988,NA,6.0260
grpc-envoy-strict,1024,8,4,1,30690.0,1020.00,1279.00,1455.00,1042.57,0,0.9992,0.9808,NA,6.0256
grpc-envoy-strict,1024,8,8,1,38228.0,1595.00,2060.00,2231.00,1673.94,0,0.9995,0.9637,NA,6.0267
grpc-envoy-strict,1024,8,16,1,42600.0,2879.00,3692.00,3900.00,3004.58,0,0.9997,0.9548,NA,6.0265
grpc-envoy-strict,1024,8,32,1,45762.0,5519.00,6953.00,7246.00,5594.81,0,0.9997,0.9636,NA,6.0267
grpc-envoy-strict,8192,8,1,1,12997.0,607.00,808.00,961.00,615.43,0,0.9991,0.9818,NA,6.0259
