worker,opened,closed,active,pending,tasks,progress_age_ms,drains,progressed,completion_q,cross_q,deferred_recv,dma_inflight,dma_retries,dma_stalled,stalled_conns,emit_pending,ack_release_q,ack_retry,remote_fin,parked,wake_posted
0,0,0,0,0,0,27023,32063,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,16077,162807,81831,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,27650,32763,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,27948,32971,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,28255,33367,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,28545,33679,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,28862,33923,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,29170,34245,3,0,0,0,0,0,0,0,0,0,0,0,0,0
