arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
batch,grpc,65536,capacity,stat,3,12857.0,12047.0,12966.0,4854.0,4852.0,4892.0,7820.0,7594.0,8025.0,95.12,89.17,95.52,601.0663754693198,598.73258241035,601.3136351280447,8.0,4.0,8.0,8.0,4.0,8.0,2143586.0,2008759.0,2161228.0,2143586.0,2008759.0,2161228.0,20771308539.0,19480432101.0,20949103049.0,0.0,0.0,0.0,20771308539.0,19480432101.0,20949103049.0,4165442.0,3911974.0,4183487.0,159459.0,158967.0,164721.0
batch,grpc,65536,capacity,trace,1,8109.999999999999,8109.999999999999,8109.999999999999,6980.0,6980.0,6980.0,19461.0,19461.0,19461.0,82.18,82.18,82.18,841.0000307009016,841.0000307009016,841.0000307009016,15.0,15.0,15.0,15.0,15.0,15.0,1348569.0,1348569.0,1348569.0,1348569.0,1348569.0,1348569.0,12830275543.0,12830275543.0,12830275543.0,0.0,0.0,0.0,12830275543.0,12830275543.0,12830275543.0,2517576.0,2517576.0,2517576.0,97361.0,97361.0,97361.0
batch,grpc,65536,matched,clean,3,1999.0,1999.0,1999.0,1446.0,1427.0,1457.0,2608.0,2534.0,2643.0,15.88,15.84,15.93,992.5,990.0,995.625,0.0,0.0,0.0,0.0,0.0,0.0,199740.0,199668.0,200642.0,199740.0,199668.0,200642.0,2100715032.0,2100714352.0,2100721060.0,0.0,0.0,0.0,2100715032.0,2100714352.0,2100721060.0,1227758.0,1222401.0,1228326.0,189140.0,188025.0,191149.0
batch,opaque,64,capacity,clean,3,142393.0,140676.0,142593.0,423.0,422.0,425.0,1099.0,1077.0,1108.0,25.62,25.28,25.66,22.519770723770662,22.46116830061004,22.522127156103092,0.0,0.0,0.0,0.0,0.0,0.0,683241.0,675951.0,684237.0,683241.0,675951.0,684237.0,182026720.0,180079680.0,182291840.0,0.0,0.0,0.0,182026720.0,180079680.0,182291840.0,7853705.0,7769830.0,7864167.0,1708663.0,1690217.0,1708964.0
batch,opaque,64,capacity,trace,1,121870.0,121870.0,121870.0,480.0,480.0,480.0,1165.0,1165.0,1165.0,38.95,38.95,38.95,26.666155479775142,26.666155479775142,26.666155479775142,0.0,0.0,0.0,0.0,0.0,0.0,877558.0,877558.0,877558.0,877558.0,877558.0,877558.0,233704480.0,233704480.0,233704480.0,0.0,0.0,0.0,233704480.0,233704480.0,233704480.0,10080184.0,10080184.0,10080184.0,2182631.0,2182631.0,2182631.0
batch,opaque,64,matched,clean,3,19999.0,19999.0,20050.0,262.0,255.0,266.0,485.0,484.0,500.0,12.12,12.12,12.15,75.75,75.75,75.9375,0.0,0.0,0.0,0.0,0.0,0.0,319224.0,317905.0,319310.0,319224.0,317905.0,319310.0,25600000.0,25600000.0,25600000.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,3685725.0,3670823.0,3685858.0,801882.0,799153.0,802528.0
batch,opaque,1024,capacity,clean,3,128964.0,126752.0,130273.0,455.0,451.0,462.0,1135.0,1133.0,1144.0,25.14,24.47,25.29,24.3033799860849,24.186605542854377,24.392918097430012,0.0,0.0,0.0,0.0,0.0,0.0,620332.0,609011.0,626377.0,620332.0,609011.0,626377.0,2143704160.0,2104371360.0,2164439680.0,0.0,0.0,0.0,2143704160.0,2104371360.0,2164439680.0,7258070.0,7133185.0,7333333.0,1552552.0,1525596.0,1568243.0
batch,opaque,1024,capacity,trace,1,108881.0,108881.0,108881.0,549.0,549.0,549.0,1252.0,1252.0,1252.0,38.45,38.45,38.45,29.45856761641497,29.45856761641497,29.45856761641497,0.0,0.0,0.0,0.0,0.0,0.0,786662.0,786662.0,786662.0,786662.0,786662.0,786662.0,2714863840.0,2714863840.0,2714863840.0,0.0,0.0,0.0,2714863840.0,2714863840.0,2714863840.0,9108965.0,9108965.0,9108965.0,1954139.0,1954139.0,1954139.0
batch,opaque,1024,matched,clean,3,19999.0,19999.0,19999.0,244.0,231.0,248.0,479.0,474.0,485.0,12.35,12.33,12.39,77.1875,77.0625,77.4375,0.0,0.0,0.0,0.0,0.0,0.0,319065.0,318982.0,319230.0,319065.0,318982.0,319230.0,332800000.0,332800000.0,332800000.0,0.0,0.0,0.0,332800000.0,332800000.0,332800000.0,3684095.0,3683701.0,3692204.0,803596.0,802886.0,807523.0
direct,grpc,64,capacity,clean,3,36134.0,35482.0,36924.0,1785.0,1767.0,1810.0,2676.0,2578.0,2717.0,53.3,52.81,53.51,178.0929023462821,174.73737146141312,179.4128738334426,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,70639163.0,69474811.0,72279348.0,0.0,0.0,0.0,70639163.0,69474811.0,72279348.0,2286351.0,2270807.0,2286546.0,468317.0,466832.0,468566.0
direct,grpc,64,capacity,trace,1,33089.0,33089.0,33089.0,1900.0,1900.0,1900.0,5714.0,5714.0,5714.0,78.44,78.44,78.44,192.8139679511918,192.8139679511918,192.8139679511918,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,96019661.0,96019661.0,96019661.0,0.0,0.0,0.0,96019661.0,96019661.0,96019661.0,3095186.0,3095186.0,3095186.0,633890.0,633890.0,633890.0
direct,grpc,64,matched,clean,3,19999.0,19999.0,20000.0,968.0,966.0,972.0,1968.0,1940.0,1998.0,52.6,52.56,52.72,328.7520547003419,328.5020531378321,329.50205938787116,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,37768223.0,37768073.0,37768291.0,0.0,0.0,0.0,37768223.0,37768073.0,37768291.0,2553025.0,2552711.0,2568192.0,502490.0,501460.0,505392.0
direct,grpc,1024,capacity,clean,3,34104.0,33524.0,34188.0,1868.0,1864.0,1875.0,3752.0,3223.0,5344.0,53.85,53.01,54.0,190.5525340503467,189.90087068755753,190.82822985613672,46021.0,45690.0,48015.0,46021.0,45690.0,48015.0,,,,,,,611531288.0,601185272.0,612811586.0,0.0,0.0,0.0,611531288.0,601185272.0,612811586.0,2308508.0,2276443.0,2312576.0,456944.0,453706.0,458401.0
direct,grpc,1024,capacity,trace,1,31370.000000000004,31370.000000000004,31370.000000000004,2002.0,2002.0,2002.0,5780.0,5780.0,5780.0,81.74,81.74,81.74,211.83958865696707,211.83958865696707,211.83958865696707,64099.0,64099.0,64099.0,64099.0,64099.0,64099.0,,,,,,,833864385.0,833864385.0,833864385.0,0.0,0.0,0.0,833864385.0,833864385.0,833864385.0,3094468.0,3094468.0,3094468.0,592699.0,592699.0,592699.0
direct,grpc,1024,matched,clean,3,20000.0,19999.0,20000.0,1022.0,1019.0,1026.0,2006.0,2000.0,2086.0,53.2,53.16,53.35,332.50207813798835,332.2520765754786,333.4375,200.0,176.0,266.0,198.0,174.0,266.0,,,,,,,345776776.0,345774651.0,345776812.0,0.0,0.0,0.0,345776776.0,345774651.0,345776812.0,2471399.0,2467388.0,2480390.0,483480.0,482277.0,487099.0
direct,grpc,8192,capacity,clean,3,22436.0,22196.0,22499.0,2788.0,2784.0,2796.0,5636.0,5464.0,6648.0,57.31,56.95,57.74,309.0238211514461,308.1315325390339,309.1618789588944,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,3068430566.0,3040302391.0,3081092936.0,0.0,0.0,0.0,3068430566.0,3040302391.0,3081092936.0,1465660.0,1445634.0,1475386.0,151541.0,146785.0,151734.0
direct,grpc,8192,capacity,trace,1,19116.0,19116.0,19116.0,3302.0,3302.0,3302.0,5708.0,5708.0,5708.0,85.74,85.74,85.74,364.73155604333897,364.73155604333897,364.73155604333897,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,3878118448.0,3878118448.0,3878118448.0,0.0,0.0,0.0,3878118448.0,3878118448.0,3878118448.0,1714814.0,1714814.0,1714814.0,165645.0,165645.0,165645.0
