arm,protocol,size,mode,rep,event,length,count
batch,grpc,65536,capacity,1,commit,16634,2
batch,grpc,65536,capacity,1,commit,16656,11
batch,grpc,65536,capacity,1,commit,16700,1
batch,grpc,65536,capacity,1,commit,16713,8
batch,grpc,65536,capacity,1,commit,16726,7
batch,grpc,65536,capacity,1,commit,16727,2
batch,grpc,65536,capacity,1,commit,16746,1
batch,grpc,65536,capacity,1,commit,16747,2
batch,grpc,8192,capacity,1,commit,13,24014
batch,grpc,8192,capacity,1,commit,17,118
batch,grpc,8192,capacity,1,commit,30,1
batch,grpc,8192,capacity,1,commit,36,39
batch,grpc,8192,capacity,1,commit,47,18851
batch,grpc,8192,capacity,1,commit,8215,18848
batch,grpc,8192,capacity,1,commit,8222,18350
batch,grpc,8192,capacity,1,commit,8235,104271
batch,grpc,8192,capacity,1,commit,8258,17
batch,grpc,8192,capacity,1,commit,8262,103795
batch,opaque,1024,capacity,1,commit,128,155
batch,opaque,1024,capacity,1,commit,1040,91844
batch,opaque,1024,capacity,1,commit,1168,130
batch,opaque,1024,capacity,1,commit,2080,106573
batch,opaque,1024,capacity,1,commit,3120,103255
batch,opaque,1024,capacity,1,commit,4160,81740
batch,opaque,1024,capacity,1,commit,5200,58515
batch,opaque,1024,capacity,1,commit,6240,41741
batch,opaque,1024,capacity,1,commit,7280,32443
batch,opaque,1024,capacity,1,commit,8192,285
batch,opaque,64,capacity,1,commit,80,124955
batch,opaque,64,capacity,1,commit,160,128228
batch,opaque,64,capacity,1,commit,240,95248
batch,opaque,64,capacity,1,commit,320,69668
batch,opaque,64,capacity,1,commit,400,58138
batch,opaque,64,capacity,1,commit,480,50788
batch,opaque,64,capacity,1,commit,560,37215
batch,opaque,64,capacity,1,commit,640,16361
direct,grpc,1024,capacity,1,commit,10,31471
direct,grpc,1024,capacity,1,commit,13,1474
direct,grpc,1024,capacity,1,commit,17,136
direct,grpc,1024,capacity,1,commit,20,19856
direct,grpc,1024,capacity,1,commit,30,16447
direct,grpc,1024,capacity,1,commit,40,12180
direct,grpc,1024,capacity,1,commit,50,8383
direct,grpc,1024,capacity,1,commit,60,4502
direct,grpc,1024,capacity,1,commit,70,1537
direct,grpc,1024,capacity,1,commit,1044,154578
direct,grpc,1024,capacity,1,commit,1047,156429
direct,grpc,1024,capacity,1,commit,1057,31431
direct,grpc,1024,capacity,1,commit,1061,1
direct,grpc,1024,capacity,1,commit,1070,19836
direct,grpc,1024,capacity,1,commit,1080,3
direct,grpc,1024,capacity,1,commit,1081,15
direct,grpc,1024,capacity,1,commit,1083,16434
direct,grpc,1024,capacity,1,commit,1093,5
direct,grpc,1024,capacity,1,commit,1094,31057
direct,grpc,1024,capacity,1,commit,1096,12172
direct,grpc,1024,capacity,1,commit,1106,2
direct,grpc,1024,capacity,1,commit,1107,11
direct,grpc,1024,capacity,1,commit,1109,8379
direct,grpc,1024,capacity,1,commit,1119,5
