arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_publications_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_pending_total,dmesh_worker_cross_in_total,dmesh_worker_pe_progressed_total,dmesh_worker_cross_out_total,dmesh_worker_arms_total,dmesh_tx_arena_copy_bytes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_tx_writer_wakes_total,dmesh_worker_data_progressed_total,dmesh_worker_drain_idle_total,dmesh_worker_notification_clears_total,dmesh_worker_drain_progressed_total,dmesh_tx_reserve_attempts_total
batch,grpc,65536,capacity,stat,1,True,12.534256333950907,95.12,158187,12857.0,4892.0,7820.0,601.3136351280447,2143586.0,0.0,4.0,0.0,2752067.0,4183487.0,26797.0,0.0,2752067.0,0.0,164721.0,20771308539.0,20771308539.0,98367.0,4.0,3926640.0,230050.0,164721.0,3926640.0,2143586.0
batch,grpc,65536,capacity,stat,2,True,12.490229898015969,95.52,159537,12966.0,4852.0,7594.0,598.73258241035,2161228.0,0.0,8.0,0.0,2774635.0,4165442.0,25627.0,0.0,2774635.0,0.0,158967.0,20949103049.0,20949103049.0,98541.0,8.0,3915928.0,223887.0,158967.0,3915928.0,2161228.0
batch,grpc,65536,capacity,stat,3,True,12.525010125944391,89.17,148353,12047.0,4854.0,8025.0,601.0663754693198,2008759.0,0.0,8.0,0.0,2579362.0,3911974.0,24196.0,0.0,2579362.0,0.0,159459.0,19480432101.0,19480432101.0,98416.0,8.0,3658610.0,229168.0,159459.0,3658610.0,2008759.0
batch,grpc,65536,capacity,trace,1,True,12.484145802096464,82.18,97717,8109.999999999999,6980.0,19461.0,841.0000307009016,1348569.0,0.0,15.0,0.0,1722603.0,2517576.0,15137.0,0.0,1722603.0,0.0,97361.0,12830275543.0,12830275543.0,93144.0,15.0,2360574.0,141865.0,97361.0,2360574.0,1348569.0
batch,grpc,65536,matched,clean,1,True,8.51864588004537,15.88,16000,1999.0,1457.0,2608.0,992.5,199668.0,0.0,0.0,0.0,289721.0,1227758.0,32565.0,0.0,289721.0,0.0,191149.0,2100714352.0,2100714352.0,50209.0,0.0,878462.0,316731.0,191149.0,878462.0,199668.0
batch,grpc,65536,matched,clean,2,True,8.453546246048063,15.84,16000,1999.0,1446.0,2643.0,990.0,200642.0,0.0,0.0,0.0,290201.0,1228326.0,32879.0,0.0,290201.0,0.0,189140.0,2100721060.0,2100721060.0,46690.0,0.0,883499.0,311948.0,189140.0,883499.0,200642.0
batch,grpc,65536,matched,clean,3,True,8.523085152031854,15.93,16000,1999.0,1427.0,2534.0,995.625,199740.0,0.0,0.0,0.0,289745.0,1222401.0,32295.0,0.0,289745.0,0.0,188025.0,2100715032.0,2100715032.0,47151.0,0.0,879155.0,310951.0,188025.0,879155.0,199740.0
batch,grpc,8192,capacity,clean,1,True,8.528711184044369,54.41,180153,21698.0,2900.0,4844.0,302.0210598768824,428864.0,0.0,2.0,0.0,420444.0,1339801.0,27171.0,0.0,420444.0,0.0,137128.0,2971969639.0,2971969639.0,65196.0,1.0,1099783.0,212847.0,137128.0,1099783.0,428864.0
batch,grpc,8192,capacity,clean,2,True,8.50645581597928,54.85,183187,22071.0,2867.0,4132.0,299.4208104286876,433660.0,0.0,2.0,0.0,425102.0,1332681.0,25561.0,0.0,425102.0,0.0,133426.0,3022154814.0,3022154814.0,65374.0,1.0,1097012.0,210108.0,133426.0,1097012.0,433660.0
batch,grpc,8192,capacity,clean,3,True,8.47792733204551,54.78,182170,21949.0,2885.0,4240.0,300.7081297688972,433336.0,0.0,2.0,0.0,424836.0,1351151.0,27399.0,0.0,424836.0,0.0,137795.0,3005204086.0,3005204086.0,65140.0,1.0,1109940.0,213812.0,137795.0,1109940.0,433336.0
batch,grpc,8192,capacity,trace,1,True,12.520098417066038,71.43,193629,15741.000000000002,3529.0,5022.0,368.90135258664765,456081.0,0.0,1.0,0.0,447055.0,1415506.0,37110.0,0.0,447055.0,0.0,151769.0,3194152055.0,3194152055.0,90220.0,1.0,1141276.0,237120.0,151769.0,1141276.0,456081.0
