arm,protocol,size,mode,rep,symbol,self_percent
after,grpc,1024,capacity,1,do_rallocx,0.28
after,grpc,1024,capacity,1,px_dma_done_cb,0.28
after,grpc,1024,capacity,1,<hyper::proto::h2::PipeToSendStream<S> as core::future::future::Future>::poll,0.28
after,grpc,1024,capacity,1,h2::frame::headers::HeaderBlock::load,0.27
after,grpc,1024,capacity,1,hrtimer_start_range_ns,0.27
after,grpc,1024,capacity,1,<h2::server::Peer as h2::proto::peer::Peer>::convert_poll_message,0.27
after,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::recv_headers,0.27
after,grpc,1024,capacity,1,__ep_eventpoll_poll.isra.0,0.27
after,grpc,1024,capacity,1,"tower::ready_cache::cache::ReadyCache<K,S,Req>::poll_pending",0.27
after,grpc,1024,capacity,1,__fget_light,0.27
after,grpc,1024,capacity,1,"<linkerd_app_core::errors::respond::Respond<R> as linkerd_error_respond::Respond<http::response::Response<B>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>>::respond",0.27
after,grpc,1024,capacity,1,<linkerd_app_outbound::http::logical::Concrete<T> as core::clone::Clone>::clone,0.27
after,grpc,1024,capacity,1,"linkerd_http_prom::status::RecordStatusFuture<F,SL,L>::on_eos",0.27
after,grpc,1024,capacity,1,devx_async_event_poll,0.26
after,grpc,1024,capacity,1,h2::proto::streams::flow_control::FlowControl::send_data,0.26
after,grpc,1024,capacity,1,h2::hpack::decoder::Table::get,0.26
after,grpc,1024,capacity,1,__check_object_size.part.0,0.25
after,grpc,1024,capacity,1,std::sys::pal::unix::time::Timespec::now,0.25
after,grpc,1024,capacity,1,aa_file_perm,0.25
after,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::get,0.25
after,grpc,1024,capacity,1,tokio::runtime::task::list::OwnedTasks<S>::bind_inner,0.24
after,grpc,1024,capacity,1,ep_poll,0.24
after,grpc,1024,capacity,1,<linkerd_http_stream_timeouts::ResponseFuture<F> as core::future::future::Future>::poll,0.24
after,grpc,1024,capacity,1,tokio::sync::mpsc::list::Rx<T>::pop,0.24
after,grpc,1024,capacity,1,__aarch64_cas8_acq,0.23
after,grpc,1024,capacity,1,core::ptr::drop_in_place<linkerd_app_outbound::http::logical::Concrete<linkerd_app_outbound::http::Http<linkerd_app_outbound::sidecar::HttpSidecar>>>,0.23
after,grpc,1024,capacity,1,memcmp,0.22
after,grpc,1024,capacity,1,h2::proto::streams::store::Store::find_entry,0.22
after,grpc,1024,capacity,1,"<linkerd_http_prom::record_response::ResponseFuture<L,F> as core::future::future::Future>::poll",0.22
after,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::contains_key,0.22
after,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::remove,0.22
after,grpc,1024,capacity,1,l7_worker_run,0.21
after,grpc,1024,capacity,1,linkerd_app_core::classify::grpc_code,0.21
after,grpc,1024,capacity,1,mutex_lock,0.21
after,grpc,1024,capacity,1,__aarch64_ldadd8_acq_rel,0.2
after,grpc,1024,capacity,1,tokio_util::sync::mpsc::make_acquire_future::{{closure}},0.2
after,grpc,1024,capacity,1,tokio::runtime::time::wheel::Wheel::next_expiration,0.2
after,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::release_capacity,0.2
after,grpc,1024,capacity,1,h2::proto::streams::send::Send::send_headers,0.2
after,grpc,1024,capacity,1,"tokio::runtime::task::core::Core<T,S>::set_stage",0.2
after,grpc,1024,capacity,1,dmesh_l7_driver_drain,0.19
after,grpc,1024,capacity,1,"<hyper::client::conn::http2::Connection<T,B,E> as core::future::future::Future>::poll",0.19
after,grpc,1024,capacity,1,l7_conn_segment,0.19
after,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::recv_data,0.19
after,grpc,1024,capacity,1,linkerd_http_metrics::requests::service::measure_class,0.19
after,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::pop_pending_open,0.19
after,grpc,1024,capacity,1,devx_async_event_read,0.19
after,grpc,1024,capacity,1,<tokio::sync::notify::Notified as core::future::future::Future>::poll,0.18
after,grpc,1024,capacity,1,<tokio_util::codec::length_delimited::LengthDelimitedCodec as tokio_util::codec::decoder::Decoder>::decode,0.18
after,grpc,1024,capacity,1,h2::proto::streams::streams::StreamRef<B>::send_data,0.18
after,grpc,1024,capacity,1,<linkerd_http_box::body::Data as bytes::buf::buf_impl::Buf>::remaining,0.18
after,grpc,1024,capacity,1,0x000000000001da18,0.18
after,grpc,1024,capacity,1,tokio::runtime::scheduler::current_thread::Core::next_task,0.18
after,grpc,1024,capacity,1,http::extensions::Extensions::remove,0.18
after,grpc,1024,capacity,1,"hashbrown::raw::RawTable<T,A>::reserve_rehash",0.17
after,grpc,1024,capacity,1,__aarch64_ldadd4_relax,0.17
after,grpc,1024,capacity,1,_rjem_mallocx,0.17
after,grpc,1024,capacity,1,h2::hpack::encoder::encode_str,0.17
after,grpc,1024,capacity,1,do_epoll_wait,0.17
after,grpc,1024,capacity,1,priv_doca_cq_empty,0.17
after,grpc,1024,capacity,1,"<linkerd_http_metrics::requests::service::ResponseFuture<F,C> as core::future::future::Future>::poll",0.17
after,grpc,1024,capacity,1,<&mut S as tower_service::Service<Request>>::poll_ready,0.17
after,grpc,1024,capacity,1,mlx5dv_devx_get_event,0.17
after,grpc,1024,capacity,1,tokio::sync::oneshot::Sender<T>::send,0.17
after,grpc,1024,capacity,1,px_process_forward,0.16
after,grpc,1024,capacity,1,"hashbrown::rustc_entry::<impl hashbrown::map::HashMap<K,V,S,A>>::rustc_entry",0.16
after,grpc,1024,capacity,1,"core::ptr::drop_in_place<linkerd_stack_metrics::service::TrackService<linkerd_stack::either::vendor::Either<linkerd_http_box::response::BoxResponse<linkerd_stack::gate::Gate<linkerd_proxy_balance_queue::service::PoolQueue<http::request::Request<linkerd_http_box::body::BoxBody>,futures_util::future::try_future::ErrInto<tower::load::completion::TrackCompletionFuture<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<http::response::Response<linkerd_http_classify::channel::ResponseBody<linkerd_app_core::classify::Eos,linkerd_http_box::body::BoxBody>>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>+core::marker::Send>>,hyper_balance::PendingUntilFirstData,tower::load::peak_ewma::Handle>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>>>>,linkerd_http_box::response::BoxResponse<linkerd_stack::gate::Gate<linkerd_proxy_balance_queue::service::PoolQueue<http::request::Request<linkerd_http_box::body::BoxBody>,futures_util::future::try_future::ErrInto<linkerd_load_biaser::LoadBiaserFuture<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<http::response::Response<linkerd_http_classify::channel::ResponseBody<linkerd_app_core::classify::Eos,linkerd_http_box::body::BoxBody>>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>+core::marker::Send>>,http::response::Response<linkerd_http_classify::channel::ResponseBody<linkerd_app_core::classify::Eos,linkerd_http_box::body::BoxBody>>,hyper_balance::PendingUntilFirstData>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>>>>>>>",0.16
after,grpc,1024,capacity,1,h2::proto::streams::state::State::recv_close,0.16
after,grpc,1024,capacity,1,<h2::proto::streams::streams::OpaqueStreamRef as core::ops::drop::Drop>::drop,0.16
after,grpc,1024,capacity,1,h2::share::RecvStream::poll_data,0.16
after,grpc,1024,capacity,1,_rjem_je_te_event_trigger,0.16
after,grpc,1024,capacity,1,__aarch64_swp1_acq_rel,0.16
after,grpc,1024,capacity,1,<dmesh_doca::io::DmeshIo as tokio::io::async_write::AsyncWrite>::poll_write_vectored,0.16
after,grpc,1024,capacity,1,<h2::share::RecvStream as core::ops::drop::Drop>::drop,0.16
after,grpc,1024,capacity,1,<ahash::fallback_hash::AHasher as core::hash::Hasher>::write,0.16
after,grpc,1024,capacity,1,dmesh_doca_dpa_msgq_recv_cb,0.16
after,grpc,1024,capacity,1,<core::future::poll_fn::PollFn<F> as core::future::future::Future>::poll,0.16
after,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::reclaim_frame,0.16
after,grpc,1024,capacity,1,http::header::name::StandardHeader::as_str,0.15
after,grpc,1024,capacity,1,http::header::name::parse_hdr,0.15
after,grpc,1024,capacity,1,"<linkerd_stack::either::vendor::Either<A,B> as tower_service::Service<Request>>::call",0.15
after,grpc,1024,capacity,1,"h2::proto::streams::streams::Streams<B,P>::next_incoming",0.15
after,grpc,1024,capacity,1,tokio::runtime::time::Driver::park_internal,0.15
after,grpc,1024,capacity,1,tokio::runtime::scheduler::current_thread::<impl tokio::runtime::task::Schedule for alloc::sync::Arc<tokio::runtime::scheduler::current_thread::Handle>>::release,0.15
after,grpc,1024,capacity,1,h2::proto::streams::store::Ptr::unlink,0.15
after,grpc,1024,capacity,1,hyper::proto::h2::strip_connection_headers,0.15
after,grpc,1024,capacity,1,linkerd_http_prom::record_response::end_stream,0.15
after,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::queue_frame,0.14
after,grpc,1024,capacity,1,"<linkerd_app_outbound::http::logical::policy::route::Route<T,F,P> as core::clone::Clone>::clone",0.14
after,grpc,1024,capacity,1,<linkerd_proxy_client_policy::Meta as core::cmp::PartialEq>::eq,0.14
after,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::recv_trailers,0.14
after,grpc,1024,capacity,1,"<linkerd_proxy_tap::service::TapHttp<S,I> as tower_service::Service<http::request::Request<A>>>::call::{{closure}}",0.14
after,grpc,1024,capacity,1,h2::proto::streams::streams::StreamRef<B>::poll_reset,0.14
after,grpc,1024,capacity,1,_rjem_je_malloc_default,0.14
after,grpc,1024,capacity,1,"tokio::sync::mpsc::chan::Rx<T,S>::recv",0.14
after,grpc,1024,capacity,1,"<linkerd_io::sensor::SensorIo<T,S> as tokio::io::async_read::AsyncRead>::poll_read",0.14
after,grpc,1024,capacity,1,h2::share::RecvStream::is_end_stream,0.13
after,grpc,1024,capacity,1,fsnotify_perm.part.0,0.13
after,grpc,1024,capacity,1,tokio::runtime::scheduler::current_thread::Context::run_task,0.13
after,grpc,1024,capacity,1,invoke_syscall,0.13
after,grpc,1024,capacity,1,h2::hpack::decoder::decode_int,0.13
after,grpc,1024,capacity,1,"linkerd_http_metrics::requests::service::ResponseBody<B,C>::record_latency",0.13
after,grpc,1024,capacity,1,memcpy@plt,0.13
after,grpc,1024,capacity,1,tokio::runtime::time::wheel::Wheel::remove,0.13
after,grpc,1024,capacity,1,dmesh_l7::pump_side,0.13
after,grpc,1024,capacity,1,priv_doca_pe_resume_ctx,0.13
after,grpc,1024,capacity,1,_rjem_je_arena_ralloc_no_move,0.13
after,grpc,1024,capacity,1,select_estimate_accuracy,0.13
after,grpc,1024,capacity,1,h2::proto::streams::state::State::send_close,0.13
after,grpc,1024,capacity,1,0x000000000007687c,0.13
after,grpc,1024,capacity,1,tokio::runtime::task::raw::dealloc,0.13
after,grpc,1024,capacity,1,<linkerd_stack::result::ResultService<S> as tower_service::Service<T>>::call,0.13
after,grpc,1024,capacity,1,h2::client::Peer::convert_send_message,0.12
after,grpc,1024,capacity,1,"<http_body_util::either::Either<L,R> as http_body::Body>::poll_frame",0.12
after,grpc,1024,capacity,1,clock_gettime@@GLIBC_2.17,0.12
after,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::reserve_capacity,0.12
after,grpc,1024,capacity,1,eventfd_read,0.12
after,grpc,1024,capacity,1,"linkerd_http_classify::channel::_::<impl core::ops::drop::Drop for linkerd_http_classify::channel::ResponseBody<C,B>>::drop",0.12
after,grpc,1024,capacity,1,do_epoll_pwait.part.0,0.12
after,grpc,1024,capacity,1,__GI___libc_write,0.12
after,grpc,1024,capacity,1,priv_doca_ctx_on_arm,0.12
after,grpc,1024,capacity,1,_rjem_je_arena_palloc,0.12
after,grpc,1024,capacity,1,0x00000000000004d8,0.12
after,grpc,1024,capacity,1,<tokio::sync::oneshot::Receiver<T> as core::future::future::Future>::poll,0.12
after,grpc,1024,capacity,1,h2::frame::headers::calculate_headermap_size,0.12
after,grpc,1024,capacity,1,<linkerd_app_outbound::http::logical::Concrete<T> as core::hash::Hash>::hash,0.12
after,grpc,1024,capacity,1,dmesh_l7_tx_commit,0.12
after,grpc,1024,capacity,1,tokio::runtime::scheduler::current_thread::Context::park_internal,0.12
after,grpc,1024,capacity,1,http::request::Builder::and_then,0.12
after,grpc,1024,capacity,1,core::ptr::drop_in_place$LT$core..pin..Pin$LT$alloc..boxed..Box$LT$dyn$u20$core..future..future..Future$u2b$Output$u20$$u3d$$u20$$LP$$RP$$u2b$core..marker..Send$GT$$GT$$GT$::h223712d785558218,0.12
after,grpc,1024,capacity,1,px_rev_stage_append,0.12
after,grpc,1024,capacity,1,__aarch64_ldset8_rel,0.12
after,grpc,1024,capacity,1,core::ptr::drop_in_place<h2::proto::streams::streams::StreamRef<hyper::proto::h2::SendBuf<linkerd_http_box::body::Data>>>,0.12
after,grpc,1024,capacity,1,clear_rseq_cs.isra.0,0.12
after,grpc,1024,capacity,1,h2::proto::streams::stream::Stream::notify_capacity,0.12
after,grpc,1024,capacity,1,<core::pin::Pin<P> as core::future::future::Future>::poll,0.12
after,grpc,1024,capacity,1,0x00000000000b03bc,0.12
after,grpc,1024,capacity,1,_rjem_je_sdallocx_default,0.12
