arm,protocol,size,mode,reps,ipc,ipc_min,ipc_max,cores,cores_min,cores_max,cycles_per_rpc_estimate,cycles_per_rpc_estimate_min,cycles_per_rpc_estimate_max,instructions_per_rpc_estimate,instructions_per_rpc_estimate_min,instructions_per_rpc_estimate_max,cache_misses_per_rpc_estimate,cache_misses_per_rpc_estimate_min,cache_misses_per_rpc_estimate_max,context_switches_per_rpc_estimate,context_switches_per_rpc_estimate_min,context_switches_per_rpc_estimate_max
after,grpc,65536,capacity,3,0.43154961730047214,0.4304236534930285,0.4334193228549805,7.73258125,7.715222499999999,7.733965,1302964.2946187987,1299915.6439198828,1306096.9967337782,562293.7426989222,562175.0411504249,563408.5581563516,10227.76902044698,10192.919912433632,10228.834058057342,0.19665359010936756,0.19450401080136606,0.20341350344718281
before,grpc,65536,capacity,3,0.4564828779847645,0.4557238325852776,0.4565271004602443,7.726837499999999,7.6938125,7.7456775,1239975.5498513025,1238452.3758952804,1247211.9882577201,566027.6076268634,565387.072225573,568384.2273351125,11294.108671510316,11210.068578483113,11302.536828059474,0.20281400784077203,0.1847801535913266,0.20475600457491422
