payload_bytes,config,rate_index,offered_rps,source,min_knee_rps,config_knee_rps,expected_reps,observed_reps,missing_reps,validation_ok_reps,clean_reps,clean_fraction,clean_reasons,achieved_rps_med,achieved_rps_min,achieved_rps_max,achieved_ratio_med,achieved_ratio_min,achieved_ratio_max,p50_us_med,p50_us_min,p50_us_max,p99_us_med,p99_us_min,p99_us_max,endpoint_app_cores_med,endpoint_app_cores_min,endpoint_app_cores_max,endpoint_app_user_cores_med,endpoint_app_user_cores_min,endpoint_app_user_cores_max,endpoint_app_system_cores_med,endpoint_app_system_cores_min,endpoint_app_system_cores_max,endpoint_sidecar_cores_med,endpoint_sidecar_cores_min,endpoint_sidecar_cores_max,endpoint_sidecar_user_cores_med,endpoint_sidecar_user_cores_min,endpoint_sidecar_user_cores_max,endpoint_sidecar_system_cores_med,endpoint_sidecar_system_cores_min,endpoint_sidecar_system_cores_max,host_cgroup_cores_med,host_cgroup_cores_min,host_cgroup_cores_max,host_cgroup_user_cores_med,host_cgroup_user_cores_min,host_cgroup_user_cores_max,host_cgroup_system_cores_med,host_cgroup_system_cores_min,host_cgroup_system_cores_max,host_busy_cores_med,host_busy_cores_min,host_busy_cores_max,client_app_cores_med,client_app_cores_min,client_app_cores_max,server_app_cores_med,server_app_cores_min,server_app_cores_max,client_sidecar_cores_med,client_sidecar_cores_min,client_sidecar_cores_max,server_sidecar_cores_med,server_sidecar_cores_min,server_sidecar_cores_max,host_irq_cores_med,host_irq_cores_min,host_irq_cores_max,host_softirq_cores_med,host_softirq_cores_min,host_softirq_cores_max,system_softirq_cores_med,system_softirq_cores_min,system_softirq_cores_max,dpu_arm_cores_med,dpu_arm_cores_min,dpu_arm_cores_max,host_incremental_cores_med,host_cores_per_mrps_med,dpu_incremental_cores_med,generator_drops_sum,fail_sum,overflow_sum,reorder_sum
64,envoy-strict,3,92687,common,123583,1389232,3,3,0,3,3,1.000000,clean:3,92687.000000,92686.000000,92689.000000,1.000000,0.999989,1.000022,255.000000,254.000000,256.000000,354.000000,342.000000,359.000000,0.421232,0.420742,0.421510,0.037711,0.033138,0.038771,0.383801,0.382461,0.387604,1.517617,1.512807,1.533092,0.406676,0.406129,0.411702,1.106131,1.105914,1.126962,1.939127,1.933549,1.954324,0.444900,0.439814,0.449413,1.493735,1.489715,1.509423,1.940309,1.939209,1.957961,0.230413,0.227811,0.231595,0.191097,0.189147,0.193421,0.753832,0.752211,0.755854,0.763785,0.760596,0.777238,0.000000,0.000000,0.000000,0.562489,0.546499,0.584158,0.650992,0.645773,0.674634,NA,NA,NA,1.931257,20.836331,NA,0,0,0,0
64,envoy-strict,4,111225,common,123583,1389232,3,3,0,3,3,1.000000,clean:3,111223.000000,111223.000000,111224.000000,0.999982,0.999982,0.999991,255.000000,254.000000,275.000000,356.000000,347.000000,408.000000,0.423235,0.420099,0.432690,0.034167,0.032458,0.035935,0.390777,0.385932,0.396755,1.507290,1.506905,1.517663,0.393513,0.392941,0.440223,1.113778,1.077439,1.113964,1.930140,1.927389,1.950353,0.427680,0.425399,0.476158,1.499710,1.474194,1.504741,1.935217,1.923343,1.954100,0.236154,0.232045,0.237145,0.188054,0.186090,0.196536,0.748118,0.747112,0.752160,0.759793,0.755130,0.769545,0.000000,0.000000,0.000000,0.555567,0.547777,0.559522,0.631281,0.630386,0.638189,NA,NA,NA,1.922270,17.283026,NA,0,0,0,0
64,dpumesh-preload,1,30896,common,123583,123583,3,3,0,3,3,1.000000,clean:3,30896.000000,30896.000000,30896.000000,1.000000,1.000000,1.000000,213.000000,209.000000,214.000000,378.000000,362.000000,475.000000,0.756244,0.751600,0.790855,0.191874,0.182999,0.200958,0.568601,0.564370,0.589897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.756244,0.751600,0.790855,0.191874,0.182999,0.200958,0.568601,0.564370,0.589897,0.717075,0.709066,0.743563,0.429927,0.425939,0.444469,0.326317,0.325661,0.346386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037378,0.027537,0.039342,2.188805,2.177083,2.482922,0.756086,24.471970,2.056333,0,0,0,0
64,dpumesh-preload,2,61792,common,123583,123583,3,3,0,3,3,1.000000,clean:3,61791.000000,61777.000000,61792.000000,0.999984,0.999757,1.000000,167.000000,164.000000,172.000000,307.000000,236.000000,327.000000,1.443442,1.429008,1.451080,0.356022,0.351874,0.362928,1.087420,1.077134,1.088154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.443442,1.429008,1.451080,0.356022,0.351874,0.362928,1.087420,1.077134,1.088154,1.411616,1.383919,1.437127,0.772370,0.764322,0.784745,0.666335,0.664686,0.671072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088529,0.081647,0.093442,3.285579,3.010407,3.325427,1.443284,23.357512,3.153107,142,0,0,0
64,dpumesh-preload,3,92687,common,123583,123583,3,3,0,3,3,1.000000,clean:3,92686.000000,92686.000000,92686.000000,0.999989,0.999989,0.999989,163.000000,163.000000,172.000000,246.000000,242.000000,343.000000,1.640997,1.630012,1.657297,0.407637,0.382218,0.415470,1.247794,1.225528,1.249660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.640997,1.630012,1.657297,0.407637,0.382218,0.415470,1.247794,1.225528,1.249660,1.596466,1.592482,1.621074,0.890716,0.878065,0.891380,0.751947,0.749617,0.766581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102300,0.091477,0.116072,3.265403,3.163981,3.451613,1.640839,17.703202,3.132931,0,0,0,0
64,dpumesh-preload,5,111225,common,123583,123583,3,3,0,3,3,1.000000,clean:3,111223.000000,111223.000000,111223.000000,0.999982,0.999982,0.999982,267.000000,266.000000,286.000000,478.000000,476.000000,498.000000,1.793303,1.786423,1.803763,0.429801,0.426536,0.439785,1.356621,1.353519,1.377227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.793303,1.786423,1.803763,0.429801,0.426536,0.439785,1.356621,1.353519,1.377227,1.792349,1.766858,1.796045,0.971587,0.970639,0.974533,0.822664,0.814836,0.829230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121988,0.084600,0.125900,3.357008,3.318786,3.363292,1.793145,16.122070,3.224536,0,0,0,0
64,dpumesh-native,1,30896,common,123583,3000000,3,3,0,3,3,1.000000,clean:3,30896.000000,30896.000000,30896.000000,1.000000,1.000000,1.000000,211.000000,210.000000,211.000000,523.000000,516.000000,535.000000,0.353532,0.350199,0.366761,0.105209,0.104870,0.116517,0.248662,0.233681,0.261552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.353532,0.350199,0.366761,0.105209,0.104870,0.116517,0.248662,0.233681,0.261552,0.356127,0.305948,0.366930,0.183040,0.182568,0.192679,0.170964,0.167159,0.174082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016724,0.016723,0.019676,1.900353,1.892321,2.210427,0.353375,11.437565,1.767020,0,0,0,0
64,dpumesh-native,2,61792,common,123583,3000000,3,3,0,3,3,1.000000,clean:3,61792.000000,61791.000000,61792.000000,1.000000,0.999984,1.000000,213.000000,210.000000,222.000000,537.000000,510.000000,567.000000,0.481457,0.473563,0.489759,0.127547,0.107817,0.143943,0.362212,0.329620,0.373640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.481457,0.473563,0.489759,0.127547,0.107817,0.143943,0.362212,0.329620,0.373640,0.513503,0.434852,0.567630,0.204541,0.201317,0.212260,0.276916,0.272246,0.277499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028528,0.021644,0.033448,2.926066,2.767552,3.001898,0.481300,7.789160,2.792733,0,0,0,0
64,dpumesh-native,3,92687,common,123583,3000000,3,3,0,3,3,1.000000,clean:3,92686.000000,92685.000000,92686.000000,0.999989,0.999978,0.999989,209.000000,206.000000,211.000000,486.000000,471.000000,497.000000,0.509582,0.504626,0.522358,0.148817,0.144922,0.160846,0.361511,0.355809,0.364660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.509582,0.504626,0.522358,0.148817,0.144922,0.160846,0.361511,0.355809,0.364660,0.511524,0.492931,0.570560,0.211181,0.207648,0.219010,0.298401,0.296978,0.303348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037382,0.032468,0.040332,2.861611,2.663428,3.090995,0.509425,5.496245,2.728278,0,0,0,0
64,dpumesh-native,4,111225,common,123583,3000000,3,3,0,3,3,1.000000,clean:3,111225.000000,111224.000000,111227.000000,1.000000,0.999991,1.000018,210.000000,206.000000,215.000000,532.000000,487.000000,534.000000,0.515604,0.493607,0.526611,0.153350,0.141825,0.164608,0.351782,0.350997,0.373260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.515604,0.493607,0.526611,0.153350,0.141825,0.164608,0.351782,0.350997,0.373260,0.536997,0.470141,0.541083,0.214869,0.205648,0.223624,0.300735,0.287959,0.302987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028522,0.023605,0.035416,2.892511,2.821970,3.068246,0.515447,4.634190,2.759178,0,0,0,0
