channels,reactors,frame_bytes,highest_clean_rps,next_bad_rps,status,max_p50_us,highest_healthy_rps,next_unhealthy_rps,healthy_status,clean_reps,valid_reps,total_reps,achieved_rps,achieved_ratio,p50_us,p99_us,p999_us,client_cores,server_cores,dpu_arm_cores
8,8,64,95000,100000,bracketed,1000.000,NA,70000,no_healthy_prefix,3,3,3,94795.000,0.997842,5127.000,88790.000,109957.000,3.656800,4.665400,7.905170
8,8,1024,70000,75000,bracketed,1000.000,NA,60000,no_healthy_prefix,3,3,3,69997.000,0.999957,2311.000,5673.000,21233.000,3.139400,3.888800,7.812883
