channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
8,8,64,1,45000,45095.0,1.0021,2865.00,17580.00,52698.00,0,0,0,0,0,0,2.1041,2.8886,7.705827,7.577660,0.959264,0.956622,0.950015,0.948694,0.948694,0.935481,0.947373,0.931517,7.5683
8,8,64,2,45000,45000.0,1.0000,3025.00,9693.00,18249.00,0,0,0,0,0,0,2.1312,2.8574,7.802553,7.694910,0.971859,0.971859,0.964170,0.961095,0.965708,0.950331,0.961095,0.948793,6.5030
8,8,64,3,45000,44994.0,0.9999,3124.00,10017.00,18654.00,0,0,0,0,0,0,2.1273,2.8502,7.802446,7.699296,0.972996,0.971457,0.965299,0.962219,0.965299,0.951443,0.963759,0.946824,6.4954
8,8,64,1,48000,39076.0,0.8141,5534.00,6771144.73,6771144.73,0,19334,0,0,0,0,1.9392,2.6231,7.607054,7.531523,0.975738,0.974196,0.961865,0.870919,0.960323,0.952616,0.884792,0.951074,6.4874
8,8,64,2,48000,35514.0,0.7399,609994.00,5701846.98,5701846.98,0,3382,0,0,0,0,1.7548,2.2741,7.513422,7.459269,0.979406,0.976312,0.940725,0.902044,0.914422,0.885024,0.932989,0.928347,6.4631
8,8,64,3,48000,35376.0,0.7370,423237.00,4496144.24,4496144.24,0,2299,0,0,0,0,1.6800,2.3933,7.553531,7.497876,0.977043,0.978589,0.939940,0.930664,0.935302,0.909021,0.896653,0.930664,6.4685
