run_id,stage,sequence,config,payload_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,generator_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,generator_drop_ratio,clean,reason,raw_result
scout-1024-plain-validate17-v1,validate,17,plain,1024,608635,10,278670.000,36.00,6695.00,6085732,3298576,11,0,0,0,0.457861,0.999898,0.542018,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-validate17-v1.result.attempt1.txt
scout-1024-plain-validate17-v2,validate,17,plain,1024,608635,10,392739.000,199.00,3328.00,6086297,2159503,14,0,0,0,0.645278,0.999991,0.354814,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-validate17-v2.result.attempt1.txt
scout-1024-plain-backtrack16-v1,backtrack,16,plain,1024,450841,10,450835.000,113.00,320.00,4508408,1959,50,0,0,0,0.999987,1.000000,0.000435,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-backtrack16-v1.result.attempt1.txt
scout-1024-plain-backtrack16-v2,backtrack,16,plain,1024,450841,10,450841.000,107.00,303.00,4508401,273,28,0,0,0,1.000000,0.999998,0.000061,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-backtrack16-v2.result.attempt1.txt
scout-1024-plain-refine1-v1,refine,1,plain,1024,523830,10,443987.000,176.00,1534.00,5238242,798367,24,0,0,0,0.847578,0.999989,0.152411,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine1-v1.result.attempt1.txt
scout-1024-plain-refine1-v2,refine,1,plain,1024,523830,10,317823.000,227.00,4081.00,5238298,2060194,78,0,0,0,0.606729,1.000000,0.393295,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine1-v2.result.attempt1.txt
scout-1024-plain-refine2-v1,refine,2,plain,1024,485967,10,268356.000,178.00,5042.00,4859474,2175733,17,0,0,0,0.552210,0.999960,0.447730,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine2-v1.result.attempt1.txt
scout-1024-plain-refine2-v2,refine,2,plain,1024,485967,10,293109.000,221.00,3971.00,4859166,1927681,7,0,0,0,0.603146,0.999896,0.396710,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine2-v2.result.attempt1.txt
scout-1024-plain-refine3-v1,refine,3,plain,1024,468075,10,468063.000,117.00,384.00,4680736,440,39,0,0,0,0.999974,0.999997,0.000094,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine3-v1.result.attempt1.txt
scout-1024-plain-refine3-v2,refine,3,plain,1024,468075,10,468068.000,117.00,379.00,4680729,1612,25,0,0,0,0.999985,0.999996,0.000344,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine3-v2.result.attempt1.txt
