config,body,rate,role,core,layer,samples,cores,share
grpc-envoy-permissive,48,24000,client,20,idle,0,0.00021,0.0
grpc-envoy-permissive,48,24000,server,21,grpc,4060,0.65259,0.65336
grpc-envoy-permissive,48,24000,server,21,envoy,2076,0.33369,0.33408
grpc-envoy-permissive,48,24000,server,21,kernel-only,72,0.01157,0.01159
grpc-envoy-permissive,48,24000,server,21,app,3,0.00048,0.00048
grpc-envoy-permissive,48,24000,server,21,noise,2,0.00032,0.00032
grpc-envoy-permissive,48,24000,server,21,softirq,1,0.00016,0.00016
grpc-envoy-permissive,48,24000,server,21,idle,0,0.00118,0.0
grpc-envoy-permissive,1008,20000,client,20,grpc,3837,0.61683,0.61698
grpc-envoy-permissive,1008,20000,client,20,envoy,2208,0.35496,0.35504
grpc-envoy-permissive,1008,20000,client,20,app,109,0.01752,0.01753
grpc-envoy-permissive,1008,20000,client,20,kernel-only,65,0.01045,0.01045
grpc-envoy-permissive,1008,20000,client,20,idle,0,0.00024,0.0
grpc-envoy-permissive,1008,20000,server,21,grpc,3845,0.61743,0.61847
grpc-envoy-permissive,1008,20000,server,21,envoy,2299,0.36917,0.36979
grpc-envoy-permissive,1008,20000,server,21,kernel-only,60,0.00963,0.00965
grpc-envoy-permissive,1008,20000,server,21,app,9,0.00145,0.00145
grpc-envoy-permissive,1008,20000,server,21,noise,2,0.00032,0.00032
grpc-envoy-permissive,1008,20000,server,21,softirq,2,0.00032,0.00032
grpc-envoy-permissive,1008,20000,server,21,idle,0,0.00168,0.0
grpc-envoy-strict,48,8000,client,24,grpc,1939,0.31531,0.55734
grpc-envoy-strict,48,8000,client,24,envoy,1373,0.22327,0.39465
grpc-envoy-strict,48,8000,client,24,app,104,0.01691,0.02989
grpc-envoy-strict,48,8000,client,24,kernel-only,63,0.01024,0.01811
grpc-envoy-strict,48,8000,client,24,idle,0,0.43426,0.0
grpc-envoy-strict,48,8000,server,25,grpc,1859,0.29799,0.5635
grpc-envoy-strict,48,8000,server,25,envoy,1379,0.22105,0.41801
grpc-envoy-strict,48,8000,server,25,kernel-only,57,0.00914,0.01728
grpc-envoy-strict,48,8000,server,25,app,2,0.00032,0.00061
grpc-envoy-strict,48,8000,server,25,softirq,1,0.00016,0.0003
grpc-envoy-strict,48,8000,server,25,noise,1,0.00016,0.0003
grpc-envoy-strict,48,8000,server,25,idle,0,0.47118,0.0
grpc-envoy-strict,48,16000,client,24,grpc,3610,0.58033,0.58113
grpc-envoy-strict,48,16000,client,24,envoy,2402,0.38613,0.38667
grpc-envoy-strict,48,16000,client,24,app,134,0.02154,0.02157
grpc-envoy-strict,48,16000,client,24,kernel-only,64,0.01029,0.0103
grpc-envoy-strict,48,16000,client,24,softirq,1,0.00016,0.00016
grpc-envoy-strict,48,16000,client,24,noise,1,0.00016,0.00016
grpc-envoy-strict,48,16000,client,24,idle,0,0.00139,0.0
grpc-envoy-strict,48,16000,server,25,grpc,3689,0.59375,0.60704
grpc-envoy-strict,48,16000,server,25,envoy,2296,0.36954,0.37782
grpc-envoy-strict,48,16000,server,25,kernel-only,89,0.01432,0.01465
grpc-envoy-strict,48,16000,server,25,app,2,0.00032,0.00033
grpc-envoy-strict,48,16000,server,25,noise,1,0.00016,0.00016
grpc-envoy-strict,48,16000,server,25,idle,0,0.0219,0.0
grpc-envoy-strict,48,24000,client,24,grpc,3927,0.63143,0.63155
grpc-envoy-strict,48,24000,client,24,envoy,2154,0.34635,0.34641
grpc-envoy-strict,48,24000,client,24,app,88,0.01415,0.01415
grpc-envoy-strict,48,24000,client,24,kernel-only,47,0.00756,0.00756
grpc-envoy-strict,48,24000,client,24,noise,1,0.00016,0.00016
grpc-envoy-strict,48,24000,client,24,softirq,1,0.00016,0.00016
grpc-envoy-strict,48,24000,client,24,idle,0,0.00019,0.0
grpc-envoy-strict,48,24000,server,25,grpc,4065,0.6537,0.65777
grpc-envoy-strict,48,24000,server,25,envoy,2043,0.32854,0.33058
grpc-envoy-strict,48,24000,server,25,kernel-only,62,0.00997,0.01003
grpc-envoy-strict,48,24000,server,25,app,9,0.00145,0.00146
grpc-envoy-strict,48,24000,server,25,noise,1,0.00016,0.00016
grpc-envoy-strict,48,24000,server,25,idle,0,0.00618,0.0
grpc-envoy-strict,1008,20000,client,24,grpc,3792,0.6097,0.60984
grpc-envoy-strict,1008,20000,client,24,envoy,2270,0.36499,0.36507
grpc-envoy-strict,1008,20000,client,24,app,95,0.01527,0.01528
grpc-envoy-strict,1008,20000,client,24,kernel-only,57,0.00916,0.00917
grpc-envoy-strict,1008,20000,client,24,softirq,2,0.00032,0.00032
grpc-envoy-strict,1008,20000,client,24,noise,2,0.00032,0.00032
grpc-envoy-strict,1008,20000,client,24,idle,0,0.00023,0.0
grpc-envoy-strict,1008,20000,server,25,grpc,3703,0.59552,0.59658
grpc-envoy-strict,1008,20000,server,25,envoy,2424,0.38983,0.39053
grpc-envoy-strict,1008,20000,server,25,kernel-only,70,0.01126,0.01128
grpc-envoy-strict,1008,20000,server,25,app,9,0.00145,0.00145
grpc-envoy-strict,1008,20000,server,25,noise,1,0.00016,0.00016
grpc-envoy-strict,1008,20000,server,25,idle,0,0.00178,0.0
grpc-tcp,48,8000,client,22,grpc,2311,0.33307,0.94173
grpc-tcp,48,8000,client,22,app,116,0.01672,0.04727
