EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:      16713, common_pid:    3361208 } hitcount:          3
{ len:      16590, common_pid:    3361206 } hitcount:          3
{ len:      16623, common_pid:    3361196 } hitcount:          3
{ len:      16524, common_pid:    3361200 } hitcount:          3
{ len:        216, common_pid:    3361200 } hitcount:          3
{ len:      16081, common_pid:    3361204 } hitcount:          3
{ len:      16590, common_pid:    3361202 } hitcount:          3
{ len:        198, common_pid:    3361208 } hitcount:          3
{ len:      16590, common_pid:    3361198 } hitcount:          3
{ len:        198, common_pid:    3361198 } hitcount:          3
{ len:        216, common_pid:    3361206 } hitcount:          3
{ len:      16581, common_pid:    3361202 } hitcount:          3
{ len:      16557, common_pid:    3361198 } hitcount:          3
{ len:      16500, common_pid:    3361198 } hitcount:          3
{ len:        155, common_pid:    3361206 } hitcount:          3
{ len:      16473, common_pid:    3361196 } hitcount:          3
{ len:      16713, common_pid:    3361198 } hitcount:          3
{ len:        264, common_pid:    3361202 } hitcount:          3
{ len:      16448, common_pid:    3361206 } hitcount:          3
{ len:      16520, common_pid:    3361202 } hitcount:          3
{ len:      16448, common_pid:    3361202 } hitcount:          3
{ len:      16500, common_pid:    3361206 } hitcount:          3
{ len:        162, common_pid:    3361198 } hitcount:          3
{ len:        236, common_pid:    3361196 } hitcount:          3
{ len:      16656, common_pid:    3361208 } hitcount:          3
{ len:      16428, common_pid:    3361200 } hitcount:          3
{ len:         30, common_pid:    3361206 } hitcount:          3
{ len:        216, common_pid:    3361198 } hitcount:          3
{ len:         30, common_pid:    3361204 } hitcount:          3
{ len:        231, common_pid:    3361202 } hitcount:          3
{ len:      16726, common_pid:    3361198 } hitcount:          3
{ len:        162, common_pid:    3361206 } hitcount:          3
{ len:         30, common_pid:    3361196 } hitcount:          4
{ len:        189, common_pid:    3361206 } hitcount:          4
{ len:        231, common_pid:    3361196 } hitcount:          4
{ len:      16428, common_pid:    3361204 } hitcount:          4
{ len:      16554, common_pid:    3361206 } hitcount:          4
