thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,3779820,3,3,18.6,186
dmesh-w0,3779903,15,15,58.1,581
dmesh-w1,3779905,0,0,2.4,24
dmesh-w2,3779907,8,8,2.3,23
dmesh-w3,3779909,10,10,2.4,24
