thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,3779820,3,3,10.0,100
dmesh-w0,3779903,15,15,2.2,22
dmesh-w1,3779905,0,0,2.3,23
dmesh-w2,3779907,8,8,44.7,447
dmesh-w3,3779909,10,10,2.1,21
