thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,3779820,3,3,8.5,85
dmesh-w0,3779903,15,15,2.1,21
dmesh-w1,3779905,0,0,34.0,340
dmesh-w2,3779907,8,8,2.2,22
dmesh-w3,3779909,10,10,2.2,22
