thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,3786938,3,3,18.4,184
dmesh-w0,3787284,15,15,58.9,589
dmesh-w1,3787286,0,0,2.5,25
dmesh-w2,3787288,8,8,2.4,24
dmesh-w3,3787290,10,10,2.4,24
