arm,conc,rep,mrps,p50_us,p99_us,requests,dpu_total_pct,dpu_workers_pct,worker_cv_pct,arm_core_us_per_req
1,1,1,0.005416,144.00,521.00,53951,84.5,83.7,148.2,156.624
1,1,2,0.005252,151.00,530.00,52276,84.9,84.2,150.1,162.407
1,1,3,0.005407,146.00,521.00,53857,84.5,83.8,148.1,156.897
1,32,1,0.042777,691.00,1308.00,427447,49.7,49.0,136.5,11.627
1,32,2,0.043218,695.00,1295.00,431872,49.9,49.1,135.6,11.554
1,32,3,0.043484,681.00,1291.00,434511,49.3,48.5,131.7,11.346
1,128,1,0.162706,749.00,1084.00,1626367,62.6,61.9,143.4,3.849
1,128,2,0.165250,746.00,1288.00,1651940,61.7,61.0,121.9,3.735
1,128,3,0.163616,747.00,1111.00,1635595,62.0,61.3,143.8,3.791
0,1,1,0.005208,153.00,531.00,51834,85.2,84.6,149.0,164.371
0,1,2,0.005120,156.00,530.00,50964,86.5,85.8,150.4,169.728
0,1,3,0.005379,146.00,522.00,53579,85.2,84.6,147.3,159.018
0,32,1,0.042396,694.00,1314.00,423626,51.2,50.3,136.8,12.086
0,32,2,0.042522,706.00,1306.00,424905,52.3,51.7,137.1,12.309
0,32,3,0.042781,687.00,1305.00,427500,50.1,49.5,136.7,11.719
0,128,1,0.160995,762.00,1101.00,1609318,65.3,64.6,144.7,4.058
0,128,2,0.163875,753.00,1297.00,1638092,64.2,63.5,145.1,3.919
0,128,3,0.160076,761.00,1097.00,1600139,64.9,64.1,142.6,4.056
