thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1443609,3,3,6.8,68
dmesh-w0,1443777,0,0,0.8,8
dmesh-w1,1443779,15,15,24.8,248
dmesh-w2,1443781,10,10,0.7,7
dmesh-w3,1443784,8,8,0.6,6
