thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1443609,3,3,7.1,71
dmesh-w0,1443777,0,0,36.5,365
dmesh-w1,1443779,15,15,0.6,6
dmesh-w2,1443781,10,10,0.7,7
dmesh-w3,1443784,8,8,0.7,7
