arm,conc,rep,mrps,p50_us,p99_us,requests,dpu_total_pct,dpu_workers_pct,worker_cv_pct,arm_core_us_per_req
0,1,1,0.004225,140.00,646.00,41887,58.9,58.1,159.7,140.616
0,1,2,0.002814,347.00,696.00,27891,40.0,39.4,157.4,143.415
0,1,3,0.002773,347.00,718.00,27473,39.5,38.7,157.4,143.778
0,1,4,0.002828,346.00,686.00,28011,39.5,38.8,156.0,141.016
0,1,5,0.002846,338.00,685.00,28196,39.5,38.9,154.8,140.091
0,1,6,0.002814,347.00,688.00,27894,40.5,39.8,155.5,145.193
0,32,1,0.036737,789.00,1616.00,366468,33.9,33.2,156.2,9.250
0,32,2,0.036876,845.00,1599.00,367902,34.2,33.3,154.7,9.296
0,32,3,0.037041,836.00,1577.00,369511,34.3,33.6,153.0,9.283
0,32,4,0.036938,831.00,1597.00,368581,35.3,34.7,154.2,9.577
0,32,5,0.036649,832.00,1627.00,365585,34.7,34.1,154.0,9.492
0,32,6,0.036938,853.00,1591.00,368525,34.4,33.7,155.8,9.335
0,128,1,0.154568,763.00,1467.00,1542565,45.0,44.2,161.6,2.917
0,128,2,0.153734,776.00,1467.00,1534256,46.2,45.5,160.9,3.011
0,128,3,0.153485,761.00,1477.00,1531903,46.4,45.6,161.6,3.029
0,128,4,0.155822,750.00,1472.00,1554972,46.9,46.2,160.1,3.016
0,128,5,0.154176,760.00,1465.00,1538493,46.0,45.2,159.8,2.990
0,128,6,0.152444,768.00,1477.00,1521685,45.6,44.9,160.9,2.997
