thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1443609,3,3,10.1,101
dmesh-w0,1443777,0,0,1.0,10
dmesh-w1,1443779,15,15,0.6,6
dmesh-w2,1443781,10,10,26.5,265
dmesh-w3,1443784,8,8,0.7,7
