worker,opened,closed,active,pending,tasks,progress_age_ms,drains,progressed,completion_q,cross_q,deferred_recv,dma_inflight,dma_retries,dma_stalled,stalled_conns,emit_pending,ack_release_q,ack_retry,remote_fin,parked,wake_posted
0,15,15,0,0,0,21426,1025535,441696,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,16,0,0,0,36044,821944,309086,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,15,0,0,0,36472,681316,220584,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,16,0,0,0,36840,676362,218683,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17,17,0,0,0,37205,680928,219855,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,15,0,0,0,23309,1017794,436619,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,15,0,0,0,23646,1022110,440157,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15,15,0,0,0,23978,1021793,438785,0,0,0,0,0,0,0,0,0,0,0,0,0
