EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:       1107, common_pid:    3299680 } hitcount:          1
{ len:       1106, common_pid:    3299684 } hitcount:          1
{ len:       1146, common_pid:    3299684 } hitcount:          1
{ len:       1080, common_pid:    3299680 } hitcount:          1
{ len:       1145, common_pid:    3299670 } hitcount:          1
{ len:       1133, common_pid:    3299684 } hitcount:          1
{ len:       1081, common_pid:    3299670 } hitcount:          1
{ len:       1132, common_pid:    3299684 } hitcount:          1
{ len:       1107, common_pid:    3299670 } hitcount:          1
{ len:       1146, common_pid:    3299670 } hitcount:          1
{ len:       1120, common_pid:    3299680 } hitcount:          1
{ len:       1081, common_pid:    3299684 } hitcount:          1
{ len:       1133, common_pid:    3299670 } hitcount:          1
{ len:       1106, common_pid:    3299680 } hitcount:          1
{ len:       1133, common_pid:    3299674 } hitcount:          1
{ len:       1107, common_pid:    3299684 } hitcount:          1
{ len:       1107, common_pid:    3299676 } hitcount:          1
{ len:       1081, common_pid:    3299672 } hitcount:          1
{ len:       1133, common_pid:    3299676 } hitcount:          1
{ len:       1080, common_pid:    3299674 } hitcount:          1
{ len:       1107, common_pid:    3299678 } hitcount:          1
{ len:       1119, common_pid:    3299670 } hitcount:          1
{ len:       1080, common_pid:    3299678 } hitcount:          1
{ len:       1159, common_pid:    3299674 } hitcount:          1
{ len:       1081, common_pid:    3299676 } hitcount:          1
{ len:       1133, common_pid:    3299682 } hitcount:          1
{ len:       1106, common_pid:    3299676 } hitcount:          1
{ len:       1080, common_pid:    3299670 } hitcount:          1
{ len:       1120, common_pid:    3299684 } hitcount:          1
{ len:       1120, common_pid:    3299672 } hitcount:          1
{ len:       1080, common_pid:    3299684 } hitcount:          1
{ len:       1120, common_pid:    3299674 } hitcount:          1
{ len:       1158, common_pid:    3299680 } hitcount:          1
{ len:       1081, common_pid:    3299680 } hitcount:          2
{ len:       1093, common_pid:    3299678 } hitcount:          2
{ len:       1148, common_pid:    3299678 } hitcount:          2
{ len:       1081, common_pid:    3299674 } hitcount:          2
{ len:       1106, common_pid:    3299674 } hitcount:          2
{ len:       1081, common_pid:    3299682 } hitcount:          2
{ len:       1120, common_pid:    3299676 } hitcount:          2
{ len:       1080, common_pid:    3299676 } hitcount:          2
{ len:       1080, common_pid:    3299672 } hitcount:          3
{ len:       1423, common_pid:    3299670 } hitcount:          3
{ len:       1080, common_pid:    3299682 } hitcount:          3
{ len:       1081, common_pid:    3299678 } hitcount:          3
{ len:       1148, common_pid:    3299680 } hitcount:          3
{ len:       1148, common_pid:    3299674 } hitcount:          4
{ len:       1148, common_pid:    3299682 } hitcount:          4
{ len:       1423, common_pid:    3299684 } hitcount:          4
{ len:       1423, common_pid:    3299674 } hitcount:          5
{ len:       1148, common_pid:    3299672 } hitcount:          5
{ len:       1423, common_pid:    3299682 } hitcount:          6
{ len:       1423, common_pid:    3299678 } hitcount:          6
{ len:       1148, common_pid:    3299670 } hitcount:          6
{ len:       1423, common_pid:    3299672 } hitcount:          7
{ len:       1423, common_pid:    3299676 } hitcount:          7
{ len:       1423, common_pid:    3299680 } hitcount:         10
{ len:       1148, common_pid:    3299684 } hitcount:         11
{ len:         17, common_pid:    3299678 } hitcount:         16
{ len:         17, common_pid:    3299676 } hitcount:         16
{ len:         17, common_pid:    3299670 } hitcount:         17
{ len:         17, common_pid:    3299680 } hitcount:         17
{ len:         17, common_pid:    3299672 } hitcount:         17
{ len:         17, common_pid:    3299684 } hitcount:         17
{ len:         17, common_pid:    3299682 } hitcount:         18
{ len:         17, common_pid:    3299674 } hitcount:         18
{ len:       1135, common_pid:    3299670 } hitcount:        152
{ len:         70, common_pid:    3299670 } hitcount:        158
{ len:       1135, common_pid:    3299678 } hitcount:        160
{ len:         70, common_pid:    3299678 } hitcount:        162
{ len:       1135, common_pid:    3299684 } hitcount:        164
{ len:         13, common_pid:    3299676 } hitcount:        172
{ len:       1135, common_pid:    3299680 } hitcount:        172
{ len:         13, common_pid:    3299682 } hitcount:        174
{ len:         70, common_pid:    3299684 } hitcount:        175
{ len:         13, common_pid:    3299672 } hitcount:        176
{ len:         70, common_pid:    3299680 } hitcount:        176
{ len:         13, common_pid:    3299674 } hitcount:        177
{ len:       1135, common_pid:    3299672 } hitcount:        185
{ len:         13, common_pid:    3299678 } hitcount:        186
{ len:         13, common_pid:    3299680 } hitcount:        188
{ len:         13, common_pid:    3299684 } hitcount:        189
{ len:         13, common_pid:    3299670 } hitcount:        190
{ len:         70, common_pid:    3299672 } hitcount:        190
{ len:       1135, common_pid:    3299682 } hitcount:        193
{ len:         70, common_pid:    3299682 } hitcount:        197
{ len:       1135, common_pid:    3299676 } hitcount:        200
{ len:         70, common_pid:    3299676 } hitcount:        200
{ len:       1376, common_pid:    3299670 } hitcount:        217
{ len:       1135, common_pid:    3299674 } hitcount:        237
{ len:         70, common_pid:    3299674 } hitcount:        242
{ len:       1376, common_pid:    3299684 } hitcount:        243
{ len:       1376, common_pid:    3299680 } hitcount:        247
{ len:       1376, common_pid:    3299678 } hitcount:        253
{ len:       1376, common_pid:    3299682 } hitcount:        300
{ len:       1376, common_pid:    3299672 } hitcount:        307
{ len:       1376, common_pid:    3299674 } hitcount:        309
{ len:       1376, common_pid:    3299676 } hitcount:        311
{ len:       1329, common_pid:    3299672 } hitcount:        482
{ len:       1329, common_pid:    3299670 } hitcount:        486
{ len:       1329, common_pid:    3299676 } hitcount:        499
{ len:         60, common_pid:    3299678 } hitcount:        501
{ len:       1122, common_pid:    3299678 } hitcount:        501
{ len:       1329, common_pid:    3299680 } hitcount:        513
{ len:       1329, common_pid:    3299682 } hitcount:        516
{ len:       1122, common_pid:    3299670 } hitcount:        517
{ len:       1329, common_pid:    3299684 } hitcount:        518
{ len:         60, common_pid:    3299670 } hitcount:        519
