EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:       1227, common_pid:    3299682 } hitcount:          1
{ len:       1148, common_pid:    3299674 } hitcount:          1
{ len:       1376, common_pid:    3299672 } hitcount:          1
{ len:       1084, common_pid:    3299678 } hitcount:          1
{ len:       1114, common_pid:    3299684 } hitcount:          1
{ len:       1106, common_pid:    3299676 } hitcount:          1
{ len:       1423, common_pid:    3299678 } hitcount:          1
{ len:       1235, common_pid:    3299678 } hitcount:          1
{ len:       1158, common_pid:    3299680 } hitcount:          1
{ len:       1109, common_pid:    3299670 } hitcount:          1
{ len:       1423, common_pid:    3299676 } hitcount:          1
{ len:         50, common_pid:    3299676 } hitcount:          1
{ len:       1329, common_pid:    3299684 } hitcount:          1
{ len:         60, common_pid:    3299670 } hitcount:          1
{ len:         50, common_pid:    3299670 } hitcount:          1
{ len:       1282, common_pid:    3299676 } hitcount:          1
{ len:       1282, common_pid:    3299672 } hitcount:          1
{ len:       1180, common_pid:    3299682 } hitcount:          1
{ len:       1235, common_pid:    3299680 } hitcount:          1
{ len:       1376, common_pid:    3299676 } hitcount:          1
{ len:       1087, common_pid:    3299684 } hitcount:          1
{ len:       1329, common_pid:    3299682 } hitcount:          1
{ len:       1282, common_pid:    3299678 } hitcount:          1
{ len:       1122, common_pid:    3299670 } hitcount:          1
{ len:       1119, common_pid:    3299680 } hitcount:          1
{ len:         60, common_pid:    3299680 } hitcount:          1
{ len:       1282, common_pid:    3299682 } hitcount:          1
{ len:       1376, common_pid:    3299674 } hitcount:          1
{ len:       1135, common_pid:    3299680 } hitcount:          1
{ len:         70, common_pid:    3299674 } hitcount:          1
{ len:       1148, common_pid:    3299672 } hitcount:          1
{ len:       1122, common_pid:    3299672 } hitcount:          1
{ len:       1376, common_pid:    3299680 } hitcount:          1
{ len:       1080, common_pid:    3299682 } hitcount:          1
{ len:       1282, common_pid:    3299680 } hitcount:          1
{ len:       1067, common_pid:    3299674 } hitcount:          1
{ len:         70, common_pid:    3299670 } hitcount:          1
{ len:       1235, common_pid:    3299674 } hitcount:          1
{ len:       1106, common_pid:    3299674 } hitcount:          1
{ len:       1423, common_pid:    3299670 } hitcount:          1
{ len:       1135, common_pid:    3299672 } hitcount:          1
{ len:       1109, common_pid:    3299676 } hitcount:          1
{ len:       1084, common_pid:    3299680 } hitcount:          1
{ len:       1329, common_pid:    3299670 } hitcount:          1
{ len:         60, common_pid:    3299672 } hitcount:          1
{ len:       1423, common_pid:    3299674 } hitcount:          1
{ len:       1376, common_pid:    3299682 } hitcount:          1
{ len:       1158, common_pid:    3299682 } hitcount:          1
{ len:       1158, common_pid:    3299678 } hitcount:          1
{ len:       1123, common_pid:    3299678 } hitcount:          1
{ len:       1084, common_pid:    3299682 } hitcount:          1
{ len:       1148, common_pid:    3299678 } hitcount:          1
{ len:       1329, common_pid:    3299678 } hitcount:          1
{ len:       1282, common_pid:    3299670 } hitcount:          1
{ len:       1148, common_pid:    3299670 } hitcount:          1
{ len:       1122, common_pid:    3299680 } hitcount:          1
{ len:       1148, common_pid:    3299680 } hitcount:          2
{ len:         60, common_pid:    3299682 } hitcount:          2
{ len:         60, common_pid:    3299676 } hitcount:          2
{ len:       1106, common_pid:    3299670 } hitcount:          2
{ len:         50, common_pid:    3299684 } hitcount:          2
{ len:       1282, common_pid:    3299674 } hitcount:          2
{ len:       1423, common_pid:    3299672 } hitcount:          2
{ len:         70, common_pid:    3299676 } hitcount:          2
{ len:       1080, common_pid:    3299670 } hitcount:          2
{ len:       1423, common_pid:    3299680 } hitcount:          2
{ len:       1148, common_pid:    3299682 } hitcount:          2
{ len:       1135, common_pid:    3299678 } hitcount:          2
{ len:       1122, common_pid:    3299676 } hitcount:          2
{ len:       1329, common_pid:    3299672 } hitcount:          2
{ len:       1093, common_pid:    3299672 } hitcount:          2
{ len:       1109, common_pid:    3299680 } hitcount:          2
{ len:       1235, common_pid:    3299672 } hitcount:          2
{ len:       1122, common_pid:    3299682 } hitcount:          2
{ len:       1235, common_pid:    3299682 } hitcount:          2
{ len:       1235, common_pid:    3299684 } hitcount:          2
{ len:       1148, common_pid:    3299676 } hitcount:          2
{ len:         70, common_pid:    3299682 } hitcount:          2
{ len:         70, common_pid:    3299672 } hitcount:          2
{ len:       1109, common_pid:    3299684 } hitcount:          2
