payload_bytes,rate_index,offered_rps,low_anchor_rps,high_anchor_rps
64,1,82774,82774,2559992
64,2,127112,82774,2559992
64,3,195200,82774,2559992
64,4,299760,82774,2559992
64,5,460327,82774,2559992
64,6,706903,82774,2559992
64,7,1085557,82774,2559992
64,8,1667039,82774,2559992
64,9,2559992,82774,2559992
1024,1,41301,41300,2016658
1024,2,67149,41300,2016658
1024,3,109175,41300,2016658
1024,4,177504,41300,2016658
1024,5,288598,41300,2016658
1024,6,469222,41300,2016658
1024,7,762892,41300,2016658
1024,8,1240360,41300,2016658
1024,9,2016658,41300,2016658
8192,1,5764,5764,523642
8192,2,10128,5764,523642
8192,3,17796,5764,523642
8192,4,31268,5764,523642
8192,5,54940,5764,523642
8192,6,96533,5764,523642
8192,7,169614,5764,523642
8192,8,298022,5764,523642
8192,9,523642,5764,523642
