run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
rate-decision-64-84365-r2,decision,rate,64,8,,84365,0.084362,0.0864,863.00,1257.00,1325.00,2363.00,0,0,0,420160,0:158163;1:158159;2:105438
rate-decision-64-126547-r1,decision,rate,64,8,,126547,0.126552,0.1296,889.00,1275.00,1365.00,2948.00,0,0,0,631059,0:316326;1:237254;2:79079
rate-decision-64-126547-r2,decision,rate,64,8,,126547,0.126553,0.1296,903.00,1287.00,1563.00,3621.00,0,0,0,631020,0:158161;1:158151;2:316308
rate-decision-64-151857-r1,decision,rate,64,8,,151857,0.151851,0.1555,894.00,1278.00,1418.00,2512.00,0,0,0,757570,0:94894;1:569383;2:94893
rate-decision-64-151857-r2,decision,rate,64,8,,151857,0.151850,0.1555,906.00,1282.00,1626.00,5072.00,0,0,0,757534,0:189781;1:284667;2:284686
knee-decision-64-5845765-r1,decision,knee,64,8,,5845765,5.846162,5.9865,431.00,614.00,1498.00,32515.00,0,0,0,29226004,0:10960379;1:10960307;2:7306918
knee-decision-64-5845765-r2,decision,knee,64,8,,5845765,5.853158,5.9936,428.00,609.00,1354.00,35802.00,0,0,0,29225664,0:7306869;1:14613561;2:7306834
closed-decision-64-c32-r1,decision,closed,64,8,32,,0.213082,0.2182,1251.00,1369.00,1468.00,3113.00,0,0,0,1063830,0:264530;1:536570;2:264330
closed-decision-64-c1-r1,decision,closed,64,1,1,,0.005150,0.0053,162.00,408.00,549.00,654.00,0,0,0,25535,2:25735
closed-decision-64-c32-r2,decision,closed,64,8,32,,0.214107,0.2192,1251.00,1340.00,1433.00,2728.00,0,0,0,1068932,0:402925;1:402301;2:265306
closed-decision-64-c1-r2,decision,closed,64,1,1,,0.005287,0.0054,154.00,409.00,551.00,675.00,0,0,0,26237,1:26437
rate-decision-1024-42182-r1,decision,rate,1024,8,,42182,0.042180,0.6911,219.00,1252.00,1326.00,16866.00,0,0,0,209296,0:105448;1:52725;2:52723
rate-decision-1024-42182-r2,decision,rate,1024,8,,42182,0.042179,0.6911,177.00,1103.00,5837.00,22955.00,0,0,0,209295,0:79089;1:79080;2:52726
rate-decision-1024-84365-r1,decision,rate,1024,8,,84365,0.084366,1.3822,840.00,1306.00,6240.00,22848.00,0,0,0,420152,0:158151;1:52725;2:210876
rate-decision-1024-84365-r2,decision,rate,1024,8,,84365,0.084364,1.3822,885.00,1315.00,5004.00,15083.00,0,0,0,420154,0:158163;1:105438;2:158153
rate-decision-1024-126548-r1,decision,rate,1024,8,,126548,0.126547,2.0734,521.00,903.00,1089.00,9386.00,0,0,0,631077,0:316338;2:316339
rate-decision-1024-126548-r2,decision,rate,1024,8,,126548,0.131906,2.1611,468.00,1385.00,1640472.77,1640472.77,0,86934,0,544130,0:265752;1:279978
rate-decision-1024-151857-r1,decision,rate,1024,8,,151857,0.151858,2.4880,476.00,737.00,885.00,7018.00,0,0,0,757612,0:189802;1:189802;2:379608
rate-decision-1024-151857-r2,decision,rate,1024,8,,151857,0.151857,2.4880,476.00,738.00,881.00,9065.00,0,0,0,757624,0:379611;1:189807;2:189806
knee-decision-1024-768864-r1,decision,knee,1024,8,,768864,0.768867,12.5971,218.00,335.00,1357.00,15651.00,0,0,0,3842568,0:1441566;1:1441557;2:961045
knee-decision-1024-768864-r2,decision,knee,1024,8,,768864,0.768866,12.5971,216.00,322.00,393.00,1036.00,0,0,0,3842567,0:1922086;1:1441561;2:480520
closed-decision-1024-c32-r1,decision,closed,1024,8,32,,1.355972,22.2162,187.00,198.00,218.00,396.00,0,0,0,6777512,0:4237368;1:2541744
closed-decision-1024-c1-r1,decision,closed,1024,1,1,,0.005366,0.0879,156.00,379.00,532.00,644.00,0,0,0,26596,1:26796
closed-decision-1024-c32-r2,decision,closed,1024,8,32,,1.341426,21.9779,187.00,301.00,355.00,498.00,0,0,0,6705480,0:1580960;1:1580232;2:3545888
closed-decision-1024-c1-r2,decision,closed,1024,1,1,,0.005594,0.0916,148.00,375.00,531.00,615.00,0,0,0,27737,1:27937
rate-decision-8192-28124-r1,decision,rate,8192,8,,28124,0.028122,3.6860,201.00,373.00,418.00,620.00,0,0,0,139016,0:87885;1:52731
rate-decision-8192-28124-r2,decision,rate,8192,8,,28124,0.028122,3.6860,213.00,386.00,440.00,1191.00,0,0,0,139016,0:52731;1:35154;2:52731
rate-decision-8192-56248-r1,decision,rate,8192,8,,56248,0.056247,7.3724,182.00,233.00,365.00,644.00,0,0,0,279633,0:105462;1:140617;2:35154
rate-decision-8192-56248-r2,decision,rate,8192,8,,56248,0.056247,7.3724,213.00,234.00,364.00,496.00,0,0,0,279632,0:70308;1:70308;2:140616
rate-decision-8192-84372-r1,decision,rate,8192,8,,84372,0.084371,11.0587,172.00,218.00,318.00,488.00,0,0,0,420250,0:210926;1:105462;2:105462
rate-decision-8192-84372-r2,decision,rate,8192,8,,84372,0.084371,11.0587,172.00,218.00,365.00,5435.00,0,0,0,420250,0:158194;1:105463;2:158193
rate-decision-8192-101246-r1,decision,rate,8192,8,,101246,0.101245,13.2704,157.00,223.00,314.00,1175.00,0,0,0,504616,0:253108;1:63277;2:189831
rate-decision-8192-101246-r2,decision,rate,8192,8,,101246,0.101244,13.2702,159.00,230.00,345.00,1519.00,0,0,0,504616,0:253108;1:126554;2:126554
knee-decision-8192-101249-r1,decision,knee,8192,8,,101249,0.101247,13.2707,159.00,235.00,413.00,3001.00,0,0,0,504634,0:126558;1:253117;2:126559
knee-decision-8192-101249-r2,decision,knee,8192,8,,101249,0.101247,13.2707,161.00,1319.00,11440.00,19549.00,0,0,0,504633,0:253116;1:253117
closed-decision-8192-c32-r1,decision,closed,8192,8,32,,0.223951,29.3537,370.00,1702.00,14899.00,132146.00,0,0,0,1118870,0:530310;1:565821;2:24339
closed-decision-8192-c1-r1,decision,closed,8192,1,1,,0.004741,0.6214,176.00,429.00,564.00,1240.00,0,0,0,23468,2:23668
closed-decision-8192-c32-r2,decision,closed,8192,8,32,,0.223652,29.3146,472.00,894.00,9567.00,159110.00,0,0,0,1117215,0:289415;1:12542;2:816858
closed-decision-8192-c1-r2,decision,closed,8192,1,1,,0.004576,0.5998,178.00,459.00,598.00,829.00,0,0,0,22662,2:22862
rate-dataplane-64-42182-r1,dataplane,rate,64,8,,42182,0.042179,0.0432,180.00,902.00,1271.00,1402.00,0,0,0,209297,0:79090;1:52722;2:79085
rate-dataplane-64-42182-r2,dataplane,rate,64,8,,42182,0.042179,0.0432,176.00,902.00,1270.00,1515.00,0,0,0,209295,0:52723;1:79083;2:79089
rate-dataplane-64-84365-r1,dataplane,rate,64,8,,84365,0.084360,0.0864,868.00,1254.00,1321.00,1825.00,0,0,0,420153,0:158163;1:158154;2:105436
rate-dataplane-64-84365-r2,dataplane,rate,64,8,,84365,0.084364,0.0864,873.00,1255.00,1323.00,2178.00,0,0,0,420156,0:158157;1:105445;2:158154
rate-dataplane-64-126547-r1,dataplane,rate,64,8,,126547,0.126546,0.1296,900.00,1283.00,1579.00,9653.00,0,0,0,631038,0:158154;1:237257;2:237227
rate-dataplane-64-126547-r2,dataplane,rate,64,8,,126547,0.126540,0.1296,894.00,1269.00,1339.00,14360.00,0,0,0,631016,0:237232;1:237233;2:158151
rate-dataplane-64-151857-r1,dataplane,rate,64,8,,151857,0.151839,0.1555,898.00,1267.00,1342.00,11288.00,0,0,0,757532,0:284672;1:189786;2:284674
rate-dataplane-64-151857-r2,dataplane,rate,64,8,,151857,0.151855,0.1555,898.00,1266.00,1332.00,13031.00,0,0,0,757584,0:189793;1:284694;2:284697
knee-dataplane-64-5849443-r1,dataplane,knee,64,8,,5849443,5.849806,5.9902,429.00,604.00,1184.00,33170.00,0,0,0,29243576,0:10967019;1:10966861;2:7311296
knee-dataplane-64-5849443-r2,dataplane,knee,64,8,,5849443,5.857782,5.9984,428.00,599.00,1106.00,34275.00,0,0,0,29243439,0:10966781;1:7311179;2:10967079
closed-dataplane-64-c32-r1,dataplane,closed,64,8,32,,0.216304,0.2215,1246.00,1302.00,1401.00,1551.00,0,0,0,1079851,0:269010;1:406751;2:405690
closed-dataplane-64-c1-r1,dataplane,closed,64,1,1,,0.005334,0.0055,155.00,400.00,535.00,624.00,0,0,0,26462,0:26662
closed-dataplane-64-c32-r2,dataplane,closed,64,8,32,,0.216257,0.2214,1246.00,1298.00,1404.00,1685.00,0,0,0,1079692,0:269484;1:406022;2:405786
closed-dataplane-64-c1-r2,dataplane,closed,64,1,1,,0.005536,0.0057,147.00,398.00,534.00,655.00,0,0,0,27460,0:27660
rate-dataplane-1024-42182-r1,dataplane,rate,1024,8,,42182,0.042179,0.6911,344.00,1122.00,1311.00,1522.00,0,0,0,209294,0:79083;1:52723;2:79088
rate-dataplane-1024-42182-r2,dataplane,rate,1024,8,,42182,0.042180,0.6911,351.00,1120.00,1309.00,1502.00,0,0,0,209298,0:52726;1:79091;2:79081
rate-dataplane-1024-84365-r1,dataplane,rate,1024,8,,84365,0.084365,1.3822,836.00,1283.00,1332.00,1445.00,0,0,0,420153,0:158160;1:158155;2:105438
rate-dataplane-1024-84365-r2,dataplane,rate,1024,8,,84365,0.084362,1.3822,845.00,1293.00,1353.00,2951.00,0,0,0,420167,0:158157;1:105445;2:158165
rate-dataplane-1024-126548-r1,dataplane,rate,1024,8,,126548,0.126546,2.0733,516.00,897.00,1070.00,5734.00,0,0,0,631074,0:158173;1:237256;2:237245
rate-dataplane-1024-126548-r2,dataplane,rate,1024,8,,126548,0.126547,2.0734,517.00,900.00,1071.00,4010.00,0,0,0,631092,0:237260;1:237253;2:158179
rate-dataplane-1024-151857-r1,dataplane,rate,1024,8,,151857,0.151856,2.4880,473.00,730.00,865.00,1156.00,0,0,0,757617,0:284707;1:189798;2:284712
rate-dataplane-1024-151857-r2,dataplane,rate,1024,8,,151857,0.151855,2.4880,475.00,737.00,882.00,6681.00,0,0,0,757603,0:189802;1:284699;2:284702
knee-dataplane-1024-768852-r1,dataplane,knee,1024,8,,768852,0.768859,12.5970,218.00,324.00,396.00,1908.00,0,0,0,3842535,0:1441550;1:1441548;2:961037
knee-dataplane-1024-768852-r2,dataplane,knee,1024,8,,768852,0.768859,12.5970,218.00,323.00,391.00,792.00,0,0,0,3842522,0:1441559;1:961028;2:1441535
closed-dataplane-1024-c32-r1,dataplane,closed,1024,8,32,,1.332577,21.8329,190.00,200.00,315.00,472.00,0,0,0,6660062,0:1639744;1:2516536;2:2505382
closed-dataplane-1024-c1-r1,dataplane,closed,1024,1,1,,0.005352,0.0877,155.00,386.00,531.00,614.00,0,0,0,26561,0:26761
closed-dataplane-1024-c32-r2,dataplane,closed,1024,8,32,,1.327436,21.7487,191.00,201.00,315.00,430.00,0,0,0,6635103,0:1651368;1:2504496;2:2480839
closed-dataplane-1024-c1-r2,dataplane,closed,1024,1,1,,0.005420,0.0888,154.00,387.00,531.00,623.00,0,0,0,26887,0:27087
rate-dataplane-8192-28124-r1,dataplane,rate,8192,8,,28124,0.028122,3.6860,211.00,400.00,9975.00,23548.00,0,0,0,139016,0:35154;1:52731;2:52731
rate-dataplane-8192-28124-r2,dataplane,rate,8192,8,,28124,0.028122,3.6860,216.00,399.00,10918.00,25444.00,0,0,0,139016,0:52731;1:52731;2:35154
rate-dataplane-8192-56248-r1,dataplane,rate,8192,8,,56248,0.056247,7.3723,214.00,251.00,414.00,24850.00,0,0,0,279632,0:105462;1:70308;2:105462
rate-dataplane-8192-56248-r2,dataplane,rate,8192,8,,56248,0.056246,7.3723,208.00,244.00,366.00,504.00,0,0,0,279632,0:70308;1:105462;2:105462
rate-dataplane-8192-84372-r1,dataplane,rate,8192,8,,84372,0.084370,11.0585,171.00,214.00,314.00,1183.00,0,0,0,420248,0:158193;1:158193;2:105462
rate-dataplane-8192-84372-r2,dataplane,rate,8192,8,,84372,0.084371,11.0586,172.00,217.00,330.00,1566.00,0,0,0,420248,0:158193;1:105462;2:158193
rate-dataplane-8192-101246-r1,dataplane,rate,8192,8,,101246,0.101243,13.2701,159.00,221.00,285.00,457.00,0,0,0,504613,0:126552;1:189831;2:189830
rate-dataplane-8192-101246-r2,dataplane,rate,8192,8,,101246,0.101235,13.2691,158.00,229.00,1192.00,34840.00,0,51,0,504570,0:189782;1:189832;2:126556
knee-dataplane-8192-101247-r1,dataplane,knee,8192,8,,101247,0.101246,13.2705,158.00,225.00,326.00,1804.00,0,0,0,504625,0:189835;1:126556;2:189834
knee-dataplane-8192-101247-r2,dataplane,knee,8192,8,,101247,0.101245,13.2704,158.00,223.00,311.00,1397.00,0,0,0,504617,0:126554;1:189831;2:189832
closed-dataplane-8192-c32-r1,dataplane,closed,8192,8,32,,0.230981,30.2751,350.00,1037.00,6800.00,74608.00,0,0,0,1153300,0:80917;1:1051049;2:22934
closed-dataplane-8192-c1-r1,dataplane,closed,8192,1,1,,0.005273,0.6912,160.00,387.00,531.00,623.00,0,0,0,26157,2:26357
closed-dataplane-8192-c32-r2,dataplane,closed,8192,8,32,,0.225704,29.5835,450.00,949.00,4781.00,107519.00,0,0,0,1125406,0:831088;1:280421;2:15497
closed-dataplane-8192-c1-r2,dataplane,closed,8192,1,1,,0.005086,0.6667,162.00,408.00,544.00,664.00,0,0,0,25220,2:25420
