run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
knee-l7-pass-64-2595049-r2,l7-pass,knee,64,8,,2595049,2.595044,2.6573,919.00,1160.00,1274.00,1792.00,0,0,108724,12971215,0:4325546;1:4322401;2:4324868
closed-l7-pass-64-c32-r1,l7-pass,closed,64,8,32,,0.229194,0.2347,1239.00,1302.00,1411.00,2648.00,0,0,32122,1144175,0:381619;1:384313;2:379843
closed-l7-pass-64-c1-r1,l7-pass,closed,64,1,1,,0.004787,0.0049,231.00,334.00,523.00,624.00,0,0,0,23675,0:7959;1:7958;2:7958
closed-l7-pass-64-c32-r2,l7-pass,closed,64,8,32,,0.227061,0.2325,1240.00,1309.00,1440.00,4977.00,0,0,31843,1133584,0:376971;1:381009;2:377204
closed-l7-pass-64-c1-r2,l7-pass,closed,64,1,1,,0.004633,0.0047,233.00,379.00,545.00,642.00,0,0,0,23042,0:7748;1:7747;2:7747
rate-l7-pass-1024-42182-r1,l7-pass,rate,1024,8,,42182,0.042181,0.6911,174.00,1096.00,1181.00,2819.00,0,0,6624,209300,0:70318;1:70279;2:70303
rate-l7-pass-1024-42182-r2,l7-pass,rate,1024,8,,42182,0.042180,0.6911,171.00,317.00,1094.00,3591.00,0,0,2214,209304,0:70330;1:70266;2:70308
rate-l7-pass-1024-84365-r1,l7-pass,rate,1024,8,,84365,0.084359,1.3821,828.00,1235.00,2162.00,3208.00,0,0,28489,420161,0:140529;1:140708;2:140524
rate-l7-pass-1024-84365-r2,l7-pass,rate,1024,8,,84365,0.084362,1.3822,854.00,1223.00,2116.00,3102.00,0,0,28359,420152,0:140697;1:140755;2:140300
rate-l7-pass-1024-126548-r1,l7-pass,rate,1024,8,,126548,0.126551,2.0734,876.00,1140.00,1209.00,1805.00,0,0,80761,631056,0:210104;1:211558;2:210994
rate-l7-pass-1024-126548-r2,l7-pass,rate,1024,8,,126548,0.126543,2.0733,876.00,1147.00,1216.00,2405.00,0,0,81929,631028,0:210580;1:210876;2:211172
rate-l7-pass-1024-151857-r1,l7-pass,rate,1024,8,,151857,0.151854,2.4880,820.00,1065.00,1154.00,2185.00,0,0,102223,757551,0:253275;1:253056;2:252820
rate-l7-pass-1024-151857-r2,l7-pass,rate,1024,8,,151857,0.151860,2.4881,819.00,1064.00,1148.00,2183.00,0,0,102527,757596,0:253014;1:253084;2:253098
