# sched:sched_switch on the DPU, 2 s window, 64 B single channel at 100 RPS (baseline build)
# per worker thread: total on-CPU time and switch count in the window
# dmesh-w0: on-cpu 8.6 ms, 980 on-CPU intervals
# dmesh-w1: on-cpu 8.1 ms, 982 on-CPU intervals
# dmesh-w2: on-cpu 7.8 ms, 991 on-CPU intervals
# dmesh-w3: on-cpu 152.7 ms, 1217 on-CPU intervals
# dmesh-w4: on-cpu 8.9 ms, 995 on-CPU intervals
# dmesh-w5: on-cpu 9.5 ms, 988 on-CPU intervals
# dmesh-w6: on-cpu 7.7 ms, 987 on-CPU intervals
# dmesh-w7: on-cpu 8.4 ms, 1000 on-CPU intervals
# dmesh-w3 carries the channel: 202 request clusters of >25 us runs; each line is one request
request,span_us,oncpu_us,runs,run_us_sequence,gap_us_sequence
171,1031,657,2,379|278,374
172,1142,691,2,396|295,451
173,1014,675,2,393|282,339
174,976,672,2,381|291,304
175,1009,660,2,381|279,349
176,1111,672,2,387|285,439
177,1074,669,2,382|287,405
178,1197,679,2,388|291,518
179,1344,676,2,382|294,668
180,1254,682,2,383|299,572
181,2712,751,3,384|293|74,383|1578
182,1287,670,2,376|294,617
183,1297,671,2,386|285,626
184,914,664,2,385|279,250
185,1179,666,2,379|287,513
186,960,673,2,391|282,287
187,1074,675,2,386|289,399
188,916,677,2,389|288,239
189,1172,670,2,382|288,502
190,976,658,2,376|282,318
191,985,663,2,380|283,322
192,1218,676,2,388|288,542
193,1266,672,2,381|291,594
194,1305,819,2,535|284,486
195,3448,871,3,527|300|44,487|2090
196,1012,729,2,423|306,283
197,1425,696,2,399|297,729
198,1268,694,2,389|305,574
199,1403,716,2,379|337,687
200,1598,976,2,388|588,622
201,1274,673,2,376|297,601
# median span 1265 us, median on-cpu 686 us over 202 requests
