channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
8,8,64,1,8000,8000.0,1.0000,846.00,1592.00,3337.00,0,0,0.5263,0.8810,4.298907,4.129989,0.540850,0.526903,0.492809,0.499008,0.494359,0.475762,0.556348,0.543950,6.4528
8,8,64,1,12000,12000.0,1.0000,782.00,1523.00,2817.00,0,0,0.7191,1.0944,6.057181,5.846658,0.764694,0.753858,0.708967,0.713611,0.678008,0.671816,0.781722,0.773982,6.4601
8,8,64,1,16000,16000.0,1.0000,1002.00,1908.00,8735.00,0,0,0.8529,1.3301,7.065463,6.877311,0.897943,0.881074,0.847337,0.838253,0.804516,0.803218,0.905729,0.899241,7.7065
8,final-d1-d3-c8-high,64,1,20000,19999.0,1.0000,1167.00,2889.00,17557.00,0,0,0.9380,1.4029,7.403628,7.235082,0.923134,0.920041,0.901486,0.896847,0.878292,0.879838,0.918495,0.916949,6.4671
8,final-d1-d3-c8-high,64,1,24000,23999.0,1.0000,1747.00,7612.00,22063.00,0,0,1.0785,1.5680,7.963658,7.824596,0.990436,0.988890,0.971894,0.974984,0.959533,0.959533,0.990436,0.988890,6.4719
8,final-d1-d3-c8-high,64,1,32000,27634.0,0.8636,155147.00,3198508.92,3198508.92,0,0,0.9693,1.0417,7.762438,7.743863,0.998359,0.999907,0.948828,0.945733,0.995264,0.999907,0.933350,0.922515,6.4606
