# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 974  of event 'cycles'
# Event count (approx.): 49321406727
#
# Overhead  Command          Shared Object      Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .................  ..............................................  ....................
#
     0.31%  bench_sock       [kernel.kallsyms]  [k] __alloc_skb                                 -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] tcp_poll                                    -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] llist_add_batch                             -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] nf_conntrack_put                            -      -            
     0.31%  bench_sock       [nf_conntrack]     [k] ipv4_confirm                                -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] syscall_return_via_sysret                   -      -            
     0.31%  bench_sock       libc.so.6          [.] epoll_pwait2                                -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] update_min_vruntime                         -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __fget_light                                -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __mod_timer                                 -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] rcu_read_unlock_strict                      -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] psi_task_switch                             -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] nf_hook_slow                                -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __wake_up_common                            -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] native_sched_clock                          -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] tcp_check_space                             -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __ksize                                     -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] new_sync_write                              -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] handle_softirqs                             -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0         -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __update_load_avg_cfs_rq                    -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] decode_session4                             -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __calc_delta                                -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] set_next_buddy                              -      -            
     0.31%  echo_sock        [nf_conntrack]     [k] nf_ct_seq_offset                            -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] aa_dfa_match_len                            -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] schedule_timeout                            -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __schedule                                  -      -            
     0.30%  echo_sock        [kernel.kallsyms]  [k] __inet_lookup_established                   -      -            
     0.30%  echo_sock        [kernel.kallsyms]  [k] __tcp_transmit_skb                          -      -            
     0.30%  echo_sock        [kernel.kallsyms]  [k] kmem_cache_free                             -      -            
     0.30%  echo_sock        [kernel.kallsyms]  [k] validate_xmit_xfrm                          -      -            
     0.30%  echo_sock        [kernel.kallsyms]  [k] try_to_wake_up                              -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
