EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:       5358, common_pid:    3429619 } hitcount:          1
{ len:       6425, common_pid:    3429611 } hitcount:          1
{ len:         30, common_pid:    3429621 } hitcount:          1
{ len:       1090, common_pid:    3429615 } hitcount:          1
{ len:       2157, common_pid:    3429621 } hitcount:          1
{ len:         30, common_pid:    3429639 } hitcount:          1
{ len:       5358, common_pid:    3429615 } hitcount:          1
{ len:       5358, common_pid:    3429621 } hitcount:          1
{ len:       6425, common_pid:    3429615 } hitcount:          1
{ len:       1090, common_pid:    3429619 } hitcount:          1
{ len:       5358, common_pid:    3429644 } hitcount:          1
{ len:       7492, common_pid:    3429639 } hitcount:          1
{ len:       1054, common_pid:    3429639 } hitcount:          1
{ len:       7482, common_pid:    3429639 } hitcount:          1
{ len:       3224, common_pid:    3429615 } hitcount:          1
{ len:       3224, common_pid:    3429611 } hitcount:          1
{ len:       2157, common_pid:    3429639 } hitcount:          1
{ len:       2157, common_pid:    3429613 } hitcount:          1
{ len:       5358, common_pid:    3429611 } hitcount:          1
{ len:       3224, common_pid:    3429644 } hitcount:          2
{ len:       3224, common_pid:    3429621 } hitcount:          2
{ len:       5358, common_pid:    3429617 } hitcount:          2
{ len:       1090, common_pid:    3429639 } hitcount:          2
{ len:       2157, common_pid:    3429644 } hitcount:          2
{ len:       5358, common_pid:    3429639 } hitcount:          2
{ len:       3224, common_pid:    3429639 } hitcount:          2
{ len:       7482, common_pid:    3429611 } hitcount:          2
{ len:       2157, common_pid:    3429611 } hitcount:          2
{ len:       1054, common_pid:    3429611 } hitcount:          2
{ len:       3224, common_pid:    3429617 } hitcount:          2
{ len:       4291, common_pid:    3429617 } hitcount:          2
{ len:       4291, common_pid:    3429619 } hitcount:          2
{ len:       2157, common_pid:    3429617 } hitcount:          2
{ len:       3224, common_pid:    3429613 } hitcount:          3
{ len:       1090, common_pid:    3429644 } hitcount:          3
{ len:       1090, common_pid:    3429611 } hitcount:          3
{ len:       1047, common_pid:    3429619 } hitcount:          4
{ len:       1054, common_pid:    3429617 } hitcount:          4
{ len:       7482, common_pid:    3429644 } hitcount:          4
{ len:       1054, common_pid:    3429644 } hitcount:          4
{ len:       1090, common_pid:    3429613 } hitcount:          4
{ len:       1090, common_pid:    3429621 } hitcount:          4
{ len:       7705, common_pid:    3429619 } hitcount:          4
{ len:       2157, common_pid:    3429619 } hitcount:          4
{ len:       7482, common_pid:    3429613 } hitcount:          4
{ len:       7482, common_pid:    3429617 } hitcount:          4
{ len:       2157, common_pid:    3429615 } hitcount:          4
{ len:       1054, common_pid:    3429613 } hitcount:          4
{ len:       1054, common_pid:    3429615 } hitcount:          4
{ len:       7482, common_pid:    3429615 } hitcount:          4
{ len:       1054, common_pid:    3429621 } hitcount:          5
{ len:       1054, common_pid:    3429619 } hitcount:          5
{ len:       7482, common_pid:    3429619 } hitcount:          5
{ len:       7482, common_pid:    3429621 } hitcount:          5
{ len:       1047, common_pid:    3429617 } hitcount:          8
{ len:       1047, common_pid:    3429615 } hitcount:          8
{ len:       1047, common_pid:    3429613 } hitcount:          8
{ len:       7705, common_pid:    3429621 } hitcount:          8
{ len:       7705, common_pid:    3429617 } hitcount:          8
{ len:       7705, common_pid:    3429613 } hitcount:          8
{ len:       7705, common_pid:    3429615 } hitcount:          8
{ len:       1047, common_pid:    3429621 } hitcount:          8
{ len:       1047, common_pid:    3429611 } hitcount:          9
{ len:       1047, common_pid:    3429644 } hitcount:          9
{ len:       1047, common_pid:    3429639 } hitcount:          9
{ len:       7705, common_pid:    3429611 } hitcount:          9
{ len:       7705, common_pid:    3429639 } hitcount:          9
{ len:       7705, common_pid:    3429644 } hitcount:          9
{ len:         17, common_pid:    3429615 } hitcount:         16
{ len:         17, common_pid:    3429621 } hitcount:         16
{ len:         17, common_pid:    3429644 } hitcount:         16
{ len:         17, common_pid:    3429639 } hitcount:         16
{ len:         17, common_pid:    3429611 } hitcount:         17
{ len:         17, common_pid:    3429619 } hitcount:         17
{ len:         17, common_pid:    3429617 } hitcount:         17
{ len:         17, common_pid:    3429613 } hitcount:         17
{ len:       7469, common_pid:    3429615 } hitcount:        157
{ len:       7469, common_pid:    3429611 } hitcount:        170
{ len:       7469, common_pid:    3429644 } hitcount:        174
{ len:       7469, common_pid:    3429621 } hitcount:        176
{ len:         13, common_pid:    3429644 } hitcount:        185
{ len:         13, common_pid:    3429619 } hitcount:        186
{ len:         13, common_pid:    3429617 } hitcount:        186
{ len:         13, common_pid:    3429613 } hitcount:        189
{ len:         13, common_pid:    3429615 } hitcount:        190
{ len:         13, common_pid:    3429639 } hitcount:        191
{ len:       7469, common_pid:    3429613 } hitcount:        196
{ len:         13, common_pid:    3429621 } hitcount:        199
{ len:         13, common_pid:    3429611 } hitcount:        201
{ len:       7469, common_pid:    3429619 } hitcount:        203
{ len:       7469, common_pid:    3429639 } hitcount:        204
{ len:       7469, common_pid:    3429617 } hitcount:        206
{ len:       7658, common_pid:    3429615 } hitcount:        236
{ len:       7658, common_pid:    3429621 } hitcount:        239
{ len:       7658, common_pid:    3429611 } hitcount:        253
{ len:       7658, common_pid:    3429644 } hitcount:        284
{ len:       7658, common_pid:    3429619 } hitcount:        294
{ len:       7658, common_pid:    3429639 } hitcount:        298
{ len:       7658, common_pid:    3429613 } hitcount:        305
{ len:       7658, common_pid:    3429617 } hitcount:        339
{ len:       6402, common_pid:    3429621 } hitcount:        539
{ len:       6564, common_pid:    3429617 } hitcount:        550
{ len:       6564, common_pid:    3429615 } hitcount:        554
{ len:       6402, common_pid:    3429617 } hitcount:        555
{ len:       6402, common_pid:    3429611 } hitcount:        558
{ len:       6564, common_pid:    3429619 } hitcount:        574
{ len:       6402, common_pid:    3429619 } hitcount:        582
{ len:       6564, common_pid:    3429644 } hitcount:        586
{ len:       6564, common_pid:    3429611 } hitcount:        586
{ len:       6402, common_pid:    3429644 } hitcount:        594
{ len:       6402, common_pid:    3429639 } hitcount:        608
{ len:       6402, common_pid:    3429615 } hitcount:        609
{ len:       6564, common_pid:    3429621 } hitcount:        609
{ len:       6564, common_pid:    3429639 } hitcount:        614
{ len:       6402, common_pid:    3429613 } hitcount:        617
{ len:       6564, common_pid:    3429613 } hitcount:        619
{ len:       5335, common_pid:    3429617 } hitcount:       1018
{ len:       5335, common_pid:    3429644 } hitcount:       1026
{ len:       5470, common_pid:    3429617 } hitcount:       1037
{ len:       5470, common_pid:    3429644 } hitcount:       1093
{ len:       5335, common_pid:    3429615 } hitcount:       1095
{ len:       5335, common_pid:    3429613 } hitcount:       1099
{ len:       5335, common_pid:    3429621 } hitcount:       1110
{ len:       5470, common_pid:    3429613 } hitcount:       1111
{ len:       5335, common_pid:    3429619 } hitcount:       1120
{ len:       5470, common_pid:    3429619 } hitcount:       1122
{ len:       5335, common_pid:    3429639 } hitcount:       1130
{ len:       5470, common_pid:    3429611 } hitcount:       1145
{ len:       5470, common_pid:    3429639 } hitcount:       1146
{ len:       5470, common_pid:    3429615 } hitcount:       1148
{ len:       5470, common_pid:    3429621 } hitcount:       1159
{ len:       5335, common_pid:    3429611 } hitcount:       1170
{ len:       4268, common_pid:    3429619 } hitcount:       1460
{ len:       4268, common_pid:    3429617 } hitcount:       1501
{ len:       4268, common_pid:    3429644 } hitcount:       1502
{ len:       4376, common_pid:    3429644 } hitcount:       1506
{ len:       4376, common_pid:    3429619 } hitcount:       1540
{ len:       4268, common_pid:    3429613 } hitcount:       1558
{ len:       4268, common_pid:    3429639 } hitcount:       1562
{ len:       4376, common_pid:    3429613 } hitcount:       1582
{ len:       4376, common_pid:    3429617 } hitcount:       1588
{ len:       4376, common_pid:    3429639 } hitcount:       1590
{ len:       4268, common_pid:    3429615 } hitcount:       1605
{ len:       4376, common_pid:    3429615 } hitcount:       1695
{ len:       4268, common_pid:    3429621 } hitcount:       1723
{ len:       4376, common_pid:    3429621 } hitcount:       1752
{ len:       4268, common_pid:    3429611 } hitcount:       1754
{ len:       4376, common_pid:    3429611 } hitcount:       1810
{ len:       3282, common_pid:    3429613 } hitcount:       1876
{ len:       3282, common_pid:    3429644 } hitcount:       1881
{ len:       3282, common_pid:    3429619 } hitcount:       1904
{ len:       3282, common_pid:    3429617 } hitcount:       1929
{ len:       3282, common_pid:    3429639 } hitcount:       1991
{ len:       3201, common_pid:    3429619 } hitcount:       2013
{ len:       3201, common_pid:    3429613 } hitcount:       2017
{ len:       3201, common_pid:    3429644 } hitcount:       2049
{ len:       3201, common_pid:    3429639 } hitcount:       2110
{ len:       3282, common_pid:    3429615 } hitcount:       2121
{ len:       3201, common_pid:    3429617 } hitcount:       2126
{ len:       3282, common_pid:    3429621 } hitcount:       2138
{ len:       2188, common_pid:    3429617 } hitcount:       2151
{ len:       3201, common_pid:    3429615 } hitcount:       2170
{ len:       2188, common_pid:    3429619 } hitcount:       2179
{ len:       2188, common_pid:    3429644 } hitcount:       2253
{ len:       2188, common_pid:    3429613 } hitcount:       2263
{ len:       2188, common_pid:    3429615 } hitcount:       2271
{ len:       3201, common_pid:    3429621 } hitcount:       2289
{ len:       3282, common_pid:    3429611 } hitcount:       2332
{ len:       2188, common_pid:    3429639 } hitcount:       2364
{ len:       3201, common_pid:    3429611 } hitcount:       2429
{ len:       2188, common_pid:    3429611 } hitcount:       2436
{ len:       2134, common_pid:    3429619 } hitcount:       2520
{ len:       2134, common_pid:    3429617 } hitcount:       2529
{ len:       2134, common_pid:    3429644 } hitcount:       2530
{ len:       2134, common_pid:    3429613 } hitcount:       2554
{ len:       2188, common_pid:    3429621 } hitcount:       2570
{ len:       2134, common_pid:    3429639 } hitcount:       2588
{ len:       2134, common_pid:    3429615 } hitcount:       2589
{ len:       2134, common_pid:    3429611 } hitcount:       2741
{ len:       2134, common_pid:    3429621 } hitcount:       2930
{ len:       1094, common_pid:    3429615 } hitcount:       3787
{ len:       1094, common_pid:    3429639 } hitcount:       3797
{ len:       1067, common_pid:    3429615 } hitcount:       3868
{ len:       1094, common_pid:    3429617 } hitcount:       3872
{ len:       1067, common_pid:    3429617 } hitcount:       3873
{ len:       1067, common_pid:    3429611 } hitcount:       3889
{ len:       1067, common_pid:    3429619 } hitcount:       3905
{ len:       1094, common_pid:    3429611 } hitcount:       3907
{ len:       1067, common_pid:    3429639 } hitcount:       3913
{ len:       1094, common_pid:    3429621 } hitcount:       4019
{ len:       1094, common_pid:    3429619 } hitcount:       4022
{ len:       1067, common_pid:    3429613 } hitcount:       4029
{ len:       1094, common_pid:    3429644 } hitcount:       4033
{ len:       1067, common_pid:    3429644 } hitcount:       4072
{ len:       1067, common_pid:    3429621 } hitcount:       4075
{ len:       1094, common_pid:    3429613 } hitcount:       4082

Totals:
    Hits: 194440
    Entries: 196
    Dropped: 0
