size,direction,before_copy_ns,after_copy_ns,after_lease_ns,lease_change_pct
64,tx,25.55,39.51,36.34,42.230919765166355
64,rx,35.86,45.26,44.23,23.340769659788062
1024,tx,79.18,100.46,56.61,-28.504672897196272
1024,rx,70.44,80.77,44.17,-37.29415105053946
8192,tx,397.58,417.17,164.42,-58.6448010463303
8192,rx,312.01,315.78,44.07,-85.87545270984904
65536,tx,3451.92,3439.57,2380.05,-31.05141486477091
65536,rx,2114.89,2141.56,44.13,-97.91336665263914
