frame,offered,reps,achieved_med,p50_med_us,client_med_cores,server_med_cores,dpu_worker_med_cores,accepted
64,500,3,500.0,983.0,0.1117,0.1092,0.346084,yes
64,1000,3,1000.0,988.0,0.2932,0.2875,0.692901,yes
64,2500,3,2500.0,739.0,0.3417,0.3595,1.248200,yes
64,5000,3,5000.0,643.0,0.5784,0.6385,2.253863,yes
64,10000,3,9999.0,611.0,0.8937,0.9802,4.111606,yes
1024,10000,3,10000.0,625.0,0.9011,1.0005,4.212839,yes
8192,10000,3,9999.0,1552.0,1.1680,1.2162,5.238124,yes
