config,frame,threads,channels,window_per_worker,total_concurrency,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,drops,pending,worker_fail,credit_hold_dropped,eq_budget_exhausted,client_core,server_core,dpu_arm_cores,dpu_worker_cores,dpu_nonworker_cores,window_s
grpc-dpumesh,1024,8,8,16,128,2,64538.0,1964.00,2983.00,3529.00,1983.25,0,0,0,0,0,0,2.2344,3.8343,7.2978,7.1906,0.1072,6.0260
grpc-dpumesh,1024,8,8,16,128,3,64504.0,1963.00,2971.00,3590.00,1984.28,0,0,0,0,0,0,2.2286,3.8247,7.2920,7.1850,0.1070,6.0276
grpc-dpumesh,1024,8,8,32,256,1,72810.0,3558.00,4512.00,5256.00,3516.18,0,0,0,0,0,0,2.2398,3.9535,7.3386,7.2528,0.0858,6.0254
grpc-dpumesh,1024,8,8,32,256,2,73129.0,3537.00,4573.00,5687.00,3500.82,0,0,0,0,0,0,2.2502,3.8597,7.4595,7.3767,0.0828,6.0266
grpc-dpumesh,1024,8,8,32,256,3,72819.0,3554.00,4592.00,6137.00,3515.98,0,0,0,0,0,0,2.2433,3.9049,7.4510,7.3638,0.0872,6.0271
grpc-dpumesh,1024,8,8,64,512,1,84837.0,6014.00,8846.00,11699.00,6034.87,0,0,0,0,0,0,2.3620,4.3266,7.8696,7.7961,0.0735,6.0266
grpc-dpumesh,1024,8,8,64,512,2,84914.0,6015.00,8734.00,12891.00,6029.34,0,0,0,0,0,0,2.3646,4.3584,7.8657,7.7997,0.0660,6.0246
grpc-dpumesh,1024,8,8,64,512,3,85367.0,5985.00,8591.00,11825.00,5996.56,0,0,0,0,0,0,2.3702,4.2952,7.8705,7.8047,0.0658,6.0269
grpc-dpumesh,64,8,8,128,1024,1,107026.0,9903.00,12763.00,18353.00,9573.63,0,0,0,0,0,0,2.4843,4.8530,7.2295,7.1591,0.0704,6.0263
grpc-dpumesh,64,8,8,128,1024,2,107252.0,9880.00,12596.00,14980.00,9547.58,0,0,0,0,0,0,2.4664,4.7628,7.2330,7.1640,0.0690,6.0248
grpc-dpumesh,64,8,8,128,1024,3,106132.0,9989.00,12716.00,14494.00,9649.63,0,0,0,0,0,0,2.4360,4.8820,7.2095,7.1438,0.0657,6.0290
grpc-dpumesh,64,8,8,256,2048,1,118893.0,17186.00,23816.00,27551.00,17223.22,0,0,0,0,0,0,2.6595,5.1219,7.8660,7.8187,0.0473,6.0270
grpc-dpumesh,64,8,8,256,2048,2,119367.0,17149.00,23354.00,26103.00,17152.81,0,0,0,0,0,0,2.6725,5.2235,7.8842,7.8369,0.0473,6.0273
grpc-dpumesh,64,8,8,256,2048,3,118935.0,17196.00,23442.00,27351.00,17213.88,0,0,0,0,0,0,2.6676,5.1954,7.8049,7.7542,0.0507,6.0277
grpc-dpumesh,64,8,8,512,4096,1,115801.0,35178.00,47369.00,53497.00,35379.39,0,0,0,0,0,0,2.7319,5.0547,8.0272,7.9859,0.0413,6.0284
grpc-dpumesh,64,8,8,512,4096,2,116025.0,35140.00,47048.00,53159.00,35314.76,0,0,0,0,0,0,2.7345,5.1236,8.0156,7.9743,0.0413,6.0253
grpc-dpumesh,64,8,8,512,4096,3,115715.0,35174.00,47348.00,53966.00,35401.13,0,0,0,0,0,0,2.7447,5.0502,8.0225,7.9798,0.0427,6.0273
grpc-dpumesh,64,8,8,1024,8192,1,102233.0,80018.00,111070.00,121977.00,80140.42,0,0,0,0,0,0,2.5360,4.3078,8.0158,7.9807,0.0351,6.0294
grpc-dpumesh,64,8,8,1024,8192,2,101596.0,80501.00,110289.00,123837.00,80613.55,0,0,0,0,0,0,2.5279,4.3284,7.9648,7.9311,0.0337,6.0276
grpc-dpumesh,64,8,8,1024,8192,3,102136.0,79770.00,111833.00,123059.00,80127.86,0,0,0,0,0,0,2.5443,4.3579,8.0223,7.9856,0.0367,6.0278
grpc-dpumesh,1024,8,8,128,1024,1,88375.0,11462.00,15154.00,17801.00,11587.37,0,0,0,0,0,0,2.2088,4.4177,8.0178,7.9735,0.0443,6.0270
grpc-dpumesh,1024,8,8,128,1024,2,88689.0,11399.00,15293.00,17825.00,11544.76,0,0,0,0,0,0,2.2134,4.4566,8.0269,7.9826,0.0443,6.0267
grpc-dpumesh,1024,8,8,128,1024,3,88887.0,11382.00,15265.00,17761.00,11517.84,0,0,0,0,0,0,2.2219,4.4926,8.0212,7.9765,0.0447,6.0248
grpc-dpumesh,1024,8,8,256,2048,1,85799.0,23563.00,28895.00,33524.00,23860.16,0,0,0,0,0,0,2.1889,4.2127,8.0250,7.9884,0.0366,6.0293
grpc-dpumesh,1024,8,8,256,2048,2,85795.0,23627.00,28603.00,31554.00,23857.25,0,0,0,0,0,0,2.1904,4.2321,8.0262,7.9911,0.0351,6.0274
grpc-dpumesh,1024,8,8,256,2048,3,85161.0,23778.00,28941.00,31648.00,24036.03,0,0,0,0,0,0,2.1738,4.2126,8.0323,7.9941,0.0382,6.0255
grpc-dpumesh,1024,8,8,512,4096,1,81340.0,49868.00,60295.00,64859.00,50334.25,0,0,0,0,0,0,2.0984,3.8694,8.0224,7.9902,0.0322,6.0276
grpc-dpumesh,1024,8,8,512,4096,2,80746.0,50253.00,60128.00,64156.00,50729.32,0,0,0,0,0,0,2.0893,3.9018,8.0021,7.9715,0.0306,6.0261
grpc-dpumesh,1024,8,8,512,4096,3,81001.0,50104.00,59855.00,64504.00,50571.53,0,0,0,0,0,0,2.0853,3.9032,8.0232,7.9926,0.0306,6.0255
grpc-dpumesh,1024,8,8,1024,8192,1,77410.0,105942.00,122394.00,131324.00,105782.26,0,0,0,0,0,0,2.0496,3.6904,8.0204,7.9944,0.0260,6.0276
grpc-dpumesh,1024,8,8,1024,8192,2,77187.0,105298.00,125390.00,133261.00,106110.86,0,0,0,0,0,0,2.0494,3.6122,8.0187,7.9927,0.0260,6.0267
grpc-dpumesh,1024,8,8,1024,8192,3,77588.0,104839.00,123968.00,131397.00,105542.05,0,0,0,0,0,0,2.0521,3.6678,8.0181,7.9924,0.0257,6.0281
