deployment_age,frame_bytes,offered_rps,achieved_rps,ratio,p50_us,p99_us,client_cores,server_cores,dpu_worker_cores,verdict
11h,64,80000,79025,0.9878,2714,903719,3.4179,4.3696,7.8441,bad
fresh,64,80000,79998,1.0000,2204,4973,3.4845,4.3327,7.8064,clean-median-of-3
