transport,frame,reps,achieved_med,p50_med_us,p99_med_us,host_total_core,app_total_core,sidecar_total_core,host_us_per_rpc,dpu_worker_core,dpu_worker_us_per_rpc,fail_sum,drops_sum,restarts_sum
DPUmesh,64,3,9999.0,611.0,965.0,1.8721,1.7606,0.0000,187.23,4.111606,411.20,0,0,0
DPUmesh,1024,3,10000.0,625.0,1148.0,1.9004,1.7904,0.0000,190.04,4.212839,421.28,0,0,0
DPUmesh,8192,3,9999.0,1552.0,1864.0,2.3820,2.3637,0.0000,238.22,5.238124,523.86,0,0,0
Linkerd,64,3,9999.0,403.0,1162.0,3.2356,1.8087,1.4265,323.59,0.032311,3.23,0,0,0
Linkerd,1024,3,10000.0,433.0,1220.0,3.5198,1.9565,1.5670,351.98,0.036792,3.68,0,0,0
Linkerd,8192,3,10000.0,514.0,1691.0,3.8033,2.0710,1.7323,380.33,0.035369,3.54,0,0,0
