worker,opened,closed,active,pending,tasks,progress_age_ms,drains,progressed,completion_q,cross_q,deferred_recv,dma_inflight,dma_retries,dma_stalled,stalled_conns,emit_pending,ack_release_q,ack_retry,remote_fin,parked,wake_posted
0,26,26,0,0,0,18515,1978082,661329,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,27,0,0,0,32505,1776053,530348,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,26,0,0,0,32836,1630118,439696,0,0,0,0,0,0,0,0,0,0,0,0,0
3,27,27,0,0,0,33170,1620845,436572,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28,28,0,0,0,33524,1631436,439887,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,26,0,0,0,20232,1970566,656967,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,26,0,0,0,20581,1975198,661321,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26,26,0,0,0,20914,1975389,660201,0,0,0,0,0,0,0,0,0,0,0,0,0
