point_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,runs,clean_votes,bad_votes,decision
point-1024-grpc-envoy-permissive-r40865,backtrack,8,grpc-envoy-permissive,1024,40865,10,2,2,0,1
point-1024-grpc-envoy-permissive-r47481,refine,1,grpc-envoy-permissive,1024,47481,10,2,2,0,1
point-1024-grpc-envoy-permissive-r51180,refine,2,grpc-envoy-permissive,1024,51180,10,2,0,2,0
point-1024-grpc-envoy-permissive-r49296,refine,3,grpc-envoy-permissive,1024,49296,10,2,0,2,0
point-1024-grpc-envoy-permissive-r48380,refine,4,grpc-envoy-permissive,1024,48380,10,2,2,0,1
point-1024-grpc-envoy-strict-r55168,validate,9,grpc-envoy-strict,1024,55168,10,2,0,2,0
point-1024-grpc-envoy-strict-r40865,backtrack,8,grpc-envoy-strict,1024,40865,10,2,2,0,1
point-1024-grpc-envoy-strict-r47481,refine,1,grpc-envoy-strict,1024,47481,10,2,0,2,0
point-1024-grpc-envoy-strict-r44049,refine,2,grpc-envoy-strict,1024,44049,10,2,2,0,1
point-1024-grpc-envoy-strict-r45733,refine,3,grpc-envoy-strict,1024,45733,10,2,2,0,1
point-1024-grpc-envoy-strict-r46599,refine,4,grpc-envoy-strict,1024,46599,10,2,2,0,1
point-1024-grpc-linkerd-r16609,validate,5,grpc-linkerd,1024,16609,10,2,0,2,0
point-1024-grpc-linkerd-r12303,backtrack,4,grpc-linkerd,1024,12303,10,2,2,0,1
point-1024-grpc-linkerd-r14295,refine,1,grpc-linkerd,1024,14295,10,2,0,2,0
point-1024-grpc-linkerd-r13262,refine,2,grpc-linkerd,1024,13262,10,2,2,0,1
point-1024-grpc-linkerd-r13769,refine,3,grpc-linkerd,1024,13769,10,2,0,2,0
point-1024-grpc-linkerd-r13513,refine,4,grpc-linkerd,1024,13513,10,2,0,2,0
point-1024-grpc-linkerd-opaque-r55168,validate,9,grpc-linkerd-opaque,1024,55168,10,2,0,2,0
point-1024-grpc-linkerd-opaque-r40865,backtrack,8,grpc-linkerd-opaque,1024,40865,10,2,2,0,1
point-1024-grpc-linkerd-opaque-r47481,refine,1,grpc-linkerd-opaque,1024,47481,10,2,0,2,0
point-1024-grpc-linkerd-opaque-r44049,refine,2,grpc-linkerd-opaque,1024,44049,10,2,2,0,1
point-1024-grpc-linkerd-opaque-r45733,refine,3,grpc-linkerd-opaque,1024,45733,10,2,0,2,0
point-1024-grpc-linkerd-opaque-r44883,refine,4,grpc-linkerd-opaque,1024,44883,10,2,0,2,0
point-8192-grpc-linkerd-r12303,validate,4,grpc-linkerd,8192,12303,10,2,0,2,0
