arm,rep,req,conc,threads,mrps,p50,p99,fail,client_core,server_core,host_core,arm_core,host_us_per_req,arm_us_per_req
dpumesh,1,1024,32,6,0.015000,429.00,904.00,0,0.1886,0.1981,0.3867,1.4566,25.783,97.104
preload,1,1024,32,6,0.014999,443.00,1165.00,0,0.2735,0.3810,0.6545,1.4798,43.636,98.657
grpc-dpumesh,1,1024,32,6,0.015000,1397.00,3199.00,0,0.6938,0.8214,1.5152,6.0116,101.011,400.773
dpumesh,2,1024,32,6,0.015000,489.00,1043.00,0,0.1899,0.2526,0.4425,1.4313,29.502,95.421
preload,2,1024,32,6,0.014999,450.00,1110.00,0,0.2609,0.3252,0.5861,1.4730,39.079,98.209
grpc-dpumesh,2,1024,32,6,0.015000,1884.00,3871.00,0,0.7171,0.8896,1.6067,6.0411,107.114,402.737
dpumesh,3,1024,32,6,0.015000,441.00,1115.00,0,0.1667,0.2436,0.4104,1.4380,27.357,95.869
preload,3,1024,32,6,0.015000,457.00,1173.00,0,0.2664,0.3443,0.6107,1.4522,40.716,96.811
grpc-dpumesh,3,1024,32,6,0.015000,1381.00,3145.00,0,0.6964,0.8255,1.5219,6.0069,101.461,400.462
