arm,rep,req,conc,threads,mrps,p50,p99,fail,client_core,server_core,host_core,arm_core,host_us_per_req,arm_us_per_req
dpumesh,1,1024,32,4,0.008000,533.00,947.00,0,0.1272,0.1532,0.2804,0.8138,35.047,101.729
preload,1,1024,32,4,0.008000,662.00,1147.00,0,0.1862,0.2596,0.4458,0.7928,55.720,99.104
grpc-dpumesh,1,1024,32,4,0.008000,1293.00,2465.00,0,0.4687,0.8061,1.2748,3.8493,159.353,481.166
dpumesh,2,1024,32,4,0.008000,494.00,894.00,0,0.1283,0.2260,0.3543,0.8677,44.291,108.466
preload,2,1024,32,4,0.008000,819.00,1127.00,0,0.1780,0.2595,0.4375,0.7719,54.688,96.485
grpc-dpumesh,2,1024,32,4,0.008000,1403.00,2586.00,0,0.5363,0.9481,1.4844,3.8987,185.551,487.339
dpumesh,3,1024,32,4,0.008000,456.00,903.00,0,0.1180,0.1514,0.2694,0.8408,33.675,105.106
preload,3,1024,32,4,0.008000,757.00,1286.00,0,0.1662,0.2259,0.3920,0.7881,49.004,98.513
grpc-dpumesh,3,1024,32,4,0.008000,1322.00,2605.00,0,0.5048,0.8842,1.3890,3.8531,173.624,481.643
