threads,conc,rep,mrps,p50_us,p99_us,requests,durs,dpu_core_pct,arm_core_us_per_req
1,128,1,0.163132,730.00,1437.00,2446603,15.000,46.13,2.828
1,128,2,0.163056,729.00,1445.00,2442719,15.000,47.07,2.890
2,64,1,0.180050,716.00,1258.00,2697484,15.000,89.60,4.982
2,64,2,0.180855,713.00,1252.00,2707628,15.000,86.00,4.764
4,32,1,0.178714,639.00,1281.00,2677150,15.000,125.00,7.004
4,32,2,0.178361,638.00,1283.00,2672672,15.000,124.00,6.959
8,16,1,0.160305,680.00,1311.00,2401862,15.000,216.67,13.531
8,16,2,0.160227,682.00,1311.00,2400937,15.000,216.33,13.516
