worker,opened,closed,active,pending,tasks,progress_age_ms,drains,progressed,completion_q,cross_q,deferred_recv,dma_inflight,dma_retries,dma_stalled,stalled_conns,emit_pending,ack_release_q,ack_retry,remote_fin,parked,wake_posted
0,24,24,0,0,0,108460,1574746,443832,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,26,0,0,0,108851,1709701,529775,0,0,0,0,0,0,0,0,0,0,0,0,0
2,25,25,0,0,0,109186,1563665,439109,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26,26,0,0,0,109549,1554573,435992,0,0,0,0,0,0,0,0,0,0,0,0,0
4,27,27,0,0,0,109876,1565087,439314,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24,0,0,0,110207,1566905,438796,0,0,0,0,0,0,0,0,0,0,0,0,0
6,24,24,0,0,0,110561,1571382,442335,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24,24,0,0,0,110926,1570736,440920,0,0,0,0,0,0,0,0,0,0,0,0,0
