config,body,rate,role,core,layer,samples,cores,share
envoy-permissive,48,400000,client,20,envoy,4383,0.70376,0.70387
envoy-permissive,48,400000,client,20,app,1743,0.27987,0.27991
envoy-permissive,48,400000,client,20,kernel-only,99,0.0159,0.0159
envoy-permissive,48,400000,client,20,softirq,2,0.00032,0.00032
envoy-permissive,48,400000,client,20,idle,0,0.00015,0.0
envoy-permissive,48,400000,server,21,envoy,4483,0.72323,0.76961
envoy-permissive,48,400000,server,21,app,1209,0.19504,0.20755
envoy-permissive,48,400000,server,21,kernel-only,131,0.02113,0.02249
envoy-permissive,48,400000,server,21,softirq,2,0.00032,0.00034
envoy-permissive,48,400000,server,21,idle,0,0.06027,0.0
envoy-permissive,1008,300000,client,20,envoy,4514,0.72511,0.72526
envoy-permissive,1008,300000,client,20,app,1608,0.2583,0.25835
envoy-permissive,1008,300000,client,20,kernel-only,102,0.01638,0.01639
envoy-permissive,1008,300000,client,20,idle,0,0.0002,0.0
envoy-permissive,1008,300000,server,21,envoy,4821,0.77537,0.79568
envoy-permissive,1008,300000,server,21,app,1150,0.18496,0.1898
envoy-permissive,1008,300000,server,21,kernel-only,88,0.01415,0.01452
envoy-permissive,1008,300000,server,21,idle,0,0.02552,0.0
envoy-strict,48,120000,client,22,envoy,4765,0.76496,0.76509
envoy-strict,48,120000,client,22,app,1349,0.21657,0.2166
envoy-strict,48,120000,client,22,kernel-only,114,0.0183,0.0183
envoy-strict,48,120000,client,22,idle,0,0.00017,0.0
envoy-strict,48,120000,server,23,envoy,4676,0.75607,0.79053
envoy-strict,48,120000,server,23,app,1120,0.18109,0.18935
envoy-strict,48,120000,server,23,kernel-only,119,0.01924,0.02012
envoy-strict,48,120000,server,23,idle,0,0.0436,0.0
envoy-strict,48,260000,client,22,envoy,4680,0.75142,0.75157
envoy-strict,48,260000,client,22,app,1457,0.23394,0.23398
envoy-strict,48,260000,client,22,kernel-only,89,0.01429,0.01429
envoy-strict,48,260000,client,22,softirq,1,0.00016,0.00016
envoy-strict,48,260000,client,22,idle,0,0.00019,0.0
envoy-strict,48,260000,server,23,envoy,4584,0.74098,0.78185
envoy-strict,48,260000,server,23,app,1150,0.18589,0.19615
envoy-strict,48,260000,server,23,kernel-only,129,0.02085,0.022
envoy-strict,48,260000,server,23,idle,0,0.05228,0.0
envoy-strict,48,400000,client,22,envoy,4561,0.73217,0.73234
envoy-strict,48,400000,client,22,app,1575,0.25283,0.25289
envoy-strict,48,400000,client,22,kernel-only,91,0.01461,0.01461
envoy-strict,48,400000,client,22,softirq,1,0.00016,0.00016
envoy-strict,48,400000,client,22,idle,0,0.00023,0.0
envoy-strict,48,400000,server,23,envoy,4544,0.73199,0.78575
envoy-strict,48,400000,server,23,app,1134,0.18268,0.19609
envoy-strict,48,400000,server,23,kernel-only,103,0.01659,0.01781
envoy-strict,48,400000,server,23,softirq,2,0.00032,0.00035
envoy-strict,48,400000,server,23,idle,0,0.06842,0.0
envoy-strict,1008,300000,client,22,envoy,4722,0.75865,0.7588
envoy-strict,1008,300000,client,22,app,1425,0.22894,0.22899
envoy-strict,1008,300000,client,22,kernel-only,76,0.01221,0.01221
envoy-strict,1008,300000,client,22,idle,0,0.0002,0.0
envoy-strict,1008,300000,server,23,envoy,5063,0.81479,0.83493
envoy-strict,1008,300000,server,23,app,933,0.15015,0.15386
envoy-strict,1008,300000,server,23,kernel-only,68,0.01094,0.01121
envoy-strict,1008,300000,server,23,idle,0,0.02412,0.0
