# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 37706635028
#
# Overhead  Command          Shared Object            Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .......................  ..............................................  ....................
#
     0.35%  bench_sock       [nf_conntrack]           [k] tcp_in_window                               -      -            
     0.35%  bench_sock       [kernel.kallsyms]        [k] handle_softirqs                             -      -            
     0.35%  bench_sock       bench_sock               [.] 0x0000000000002aae                          -      -            
     0.35%  bench_sock       [kernel.kallsyms]        [k] ep_send_events                              -      -            
     0.35%  bench_sock       [kernel.kallsyms]        [k] __netif_receive_skb                         -      -            
     0.35%  bench_sock       [br_netfilter]           [k] br_nf_pre_routing_finish                    -      -            
     0.35%  bench_sock       [kernel.kallsyms]        [k] save_fpregs_to_fpstate                      -      -            
     0.34%  bench_sock       [kernel.kallsyms]        [k] aa_compute_perms                            -      -            
     0.34%  bench_sock       [br_netfilter]           [k] br_nf_post_routing                          -      -            
     0.34%  bench_sock       [kernel.kallsyms]        [k] __check_object_size.part.0                  -      -            
     0.34%  bench_sock       [kernel.kallsyms]        [k] __local_bh_enable_ip                        -      -            
     0.34%  bench_sock       [kernel.kallsyms]        [k] kfree                                       -      -            
     0.34%  echo_sock        [kernel.kallsyms]        [k] tcp_recvmsg_locked                          -      -            
     0.34%  bench_sock       [nf_conntrack]           [k] nf_ct_seq_offset                            -      -            
     0.34%  bench_sock       [nf_nat]                 [k] nf_nat_ipv4_out                             -      -            
     0.34%  bench_sock       [kernel.kallsyms]        [k] _raw_spin_lock_irq                          -      -            
     0.32%  swapper          [kernel.kallsyms]        [k] do_idle                                     -      -            
     0.29%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock_irqsave                      -      -            
     0.28%  echo_sock        [kernel.kallsyms]        [k] try_to_wake_up                              -      -            
     0.27%  echo_sock        [kernel.kallsyms]        [k] tcp_v4_rcv                                  -      -            
     0.27%  echo_sock        [kernel.kallsyms]        [k] __netif_receive_skb_core.constprop.0        -      -            
     0.27%  swapper          [kernel.kallsyms]        [k] native_sched_clock                          -      -            
     0.27%  echo_sock        [nf_conntrack]           [k] nf_conntrack_in                             -      -            
     0.27%  echo_sock        [kernel.kallsyms]        [k] kmem_cache_alloc_node                       -      -            
     0.27%  echo_sock        [kernel.kallsyms]        [k] slab_free_freelist_hook.constprop.0         -      -            
     0.27%  echo_sock        [kernel.kallsyms]        [k] update_rq_clock                             -      -            
     0.27%  echo_sock        [nft_counter]            [k] nft_counter_eval                            -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] tcp_sendmsg_locked                          -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] __skb_datagram_iter                         -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] __fget_light                                -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] arch_exit_to_user_mode_prepare.constprop.0  -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] __update_load_avg_cfs_rq                    -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] ip_send_check                               -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] aa_compute_perms                            -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
