# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 983  of event 'cycles'
# Event count (approx.): 16907827344
#
# Overhead  Command          Shared Object            Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .......................  ..............................................  ....................
#
     0.31%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state                         -      -            
     0.30%  swapper          [kernel.kallsyms]        [k] update_load_avg                             -      -            
     0.30%  echo_sock        [kernel.kallsyms]        [k] send_call_function_single_ipi               -      -            
     0.30%  echo_sock        [nf_conntrack]           [k] nf_conntrack_in                             -      -            
     0.29%  echo_sock        [kernel.kallsyms]        [k] skb_network_protocol                        -      -            
     0.29%  echo_sock        libc.so.6                [.] __memmove_avx512_unaligned_erms             -      -            
     0.29%  echo_sock        [kernel.kallsyms]        [k] __cgroup_bpf_run_filter_skb                 -      -            
     0.28%  echo_sock        [kernel.kallsyms]        [k] ktime_get_with_offset                       -      -            
     0.28%  echo_sock        [kernel.kallsyms]        [k] update_curr                                 -      -            
     0.27%  bench_sock       bench_sock               [.] 0x00000000000040b5                          -      -            
     0.27%  echo_sock        [kernel.kallsyms]        [k] __tcp_transmit_skb                          -      -            
     0.27%  echo_sock        libc.so.6                [.] __GI___libc_write                           -      -            
     0.26%  echo_sock        [nft_compat]             [k] nft_match_eval                              -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] security_xfrm_decode_session                -      -            
     0.26%  echo_sock        [kernel.kallsyms]        [k] sk_stream_alloc_skb                         -      -            
     0.25%  echo_sock        [kernel.kallsyms]        [k] nf_hook_slow                                -      -            
     0.25%  echo_sock        [nf_nat]                 [k] l4proto_manip_pkt                           -      -            
     0.25%  echo_sock        [kernel.kallsyms]        [k] __dev_queue_xmit                            -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
