thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1264391,13,13,19.7,197
dmesh-w0,1264951,0,0,0.8,8
dmesh-w1,1264953,15,15,0.6,6
dmesh-w2,1264955,10,10,0.7,7
dmesh-w3,1264957,8,8,48.0,480
