thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1278260,13,13,20.3,203
dmesh-w0,1278417,0,0,0.8,8
dmesh-w1,1278419,15,15,0.7,7
dmesh-w2,1278421,10,10,0.6,6
dmesh-w3,1278423,8,8,50.6,506
