thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1278260,13,13,6.9,69
dmesh-w0,1278417,0,0,0.7,7
dmesh-w1,1278419,15,15,23.5,235
dmesh-w2,1278421,10,10,0.7,7
dmesh-w3,1278423,8,8,0.7,7
