thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1264391,13,13,6.7,67
dmesh-w0,1264951,0,0,0.7,7
dmesh-w1,1264953,15,15,0.5,5
dmesh-w2,1264955,10,10,0.5,5
dmesh-w3,1264957,8,8,22.6,226
