payload_bytes,rate_index,offered_rps,low_anchor_rps,high_anchor_rps
64,1,10922,10922,424828
64,2,17261,10922,424828
64,3,27277,10922,424828
64,4,43105,10922,424828
64,5,68119,10922,424828
64,6,107647,10922,424828
64,7,170114,10922,424828
64,8,268829,10922,424828
64,9,424828,10922,424828
1024,1,9901,9901,305987
1024,2,15203,9901,305987
1024,3,23344,9901,305987
1024,4,35845,9901,305987
1024,5,55041,9901,305987
1024,6,84516,9901,305987
1024,7,129776,9901,305987
1024,8,199273,9901,305987
1024,9,305987,9901,305987
8192,1,5602,5602,276828
8192,2,9122,5602,276828
8192,3,14854,5602,276828
8192,4,24186,5602,276828
8192,5,39381,5602,276828
8192,6,64124,5602,276828
8192,7,104412,5602,276828
8192,8,170012,5602,276828
8192,9,276828,5602,276828
