arm,protocol,size,mode,reps,ipc,ipc_min,ipc_max,cores,cores_min,cores_max,cycles_per_rpc_estimate,cycles_per_rpc_estimate_min,cycles_per_rpc_estimate_max,instructions_per_rpc_estimate,instructions_per_rpc_estimate_min,instructions_per_rpc_estimate_max,cache_misses_per_rpc_estimate,cache_misses_per_rpc_estimate_min,cache_misses_per_rpc_estimate_max,context_switches_per_rpc_estimate,context_switches_per_rpc_estimate_min,context_switches_per_rpc_estimate_max
lean,grpc,65536,capacity,3,0.42873339271776056,0.42841755489312433,0.4296915581691226,7.7620837499999995,7.7616975,7.793835,1274785.2850977136,1267335.113128011,1275237.168563094,546333.9896646318,543348.882761719,547764.4754847056,9873.310858566352,9815.045088705361,9878.90251912526,0.1868917040012359,0.17541293874741914,0.18891507611467429
lean2,grpc,65536,capacity,3,0.43329509955707085,0.4320628945385231,0.4341531956186068,7.7495,7.74851625,7.75599,1255919.1048384022,1246884.2280451383,1257995.6540260385,543533.2435953727,541338.7721722365,544183.5935665828,9773.289541885815,9750.406937232743,9777.305695221534,0.1915447061513835,0.18652653863601995,0.19273060476481368
lean3,grpc,65536,capacity,3,0.4347904766663801,0.4323592682997684,0.4356784110966478,6.75058125,6.73829,7.502072500000001,1230955.2536960633,1227630.4019316335,1258822.2320582662,536300.6290613718,533762.0076259947,544263.4591721933,9752.340037820182,9704.972736801574,9893.391737723037,0.2943976212886113,0.26084596557713563,0.30133659962179815
