arm,protocol,size,mode,rep,symbol,self_percent
lean,grpc,64,capacity,1,<linkerd_http_stream_timeouts::EnforceTimeouts<S> as tower_service::Service<http::request::Request<B>>>::call,0.26
lean,grpc,64,capacity,1,http::header::name::StandardHeader::from_bytes,0.26
lean,grpc,64,capacity,1,devx_async_event_poll,0.26
lean,grpc,64,capacity,1,0x00000000000004b8,0.26
lean,grpc,64,capacity,1,__check_object_size.part.0,0.25
lean,grpc,64,capacity,1,<h2::server::Peer as h2::proto::peer::Peer>::convert_poll_message,0.25
lean,grpc,64,capacity,1,ep_send_events,0.25
lean,grpc,64,capacity,1,tokio::runtime::scheduler::current_thread::<impl tokio::runtime::task::Schedule for alloc::sync::Arc<tokio::runtime::scheduler::current_thread::Handle>>::release,0.25
lean,grpc,64,capacity,1,h2::proto::streams::store::Queue<N>::pop,0.25
lean,grpc,64,capacity,1,h2::proto::streams::store::Queue<N>::push,0.25
lean,grpc,64,capacity,1,tokio::sync::mpsc::list::Rx<T>::pop,0.25
lean,grpc,64,capacity,1,core::ops::function::FnOnce::call_once,0.25
lean,grpc,64,capacity,1,read,0.24
lean,grpc,64,capacity,1,"<hyper::client::conn::http2::Connection<T,B,E> as core::future::future::Future>::poll",0.24
lean,grpc,64,capacity,1,priv_doca_cq_empty,0.23
lean,grpc,64,capacity,1,<hyper::body::incoming::Incoming as http_body::Body>::poll_frame,0.23
lean,grpc,64,capacity,1,__ep_eventpoll_poll.isra.0,0.23
lean,grpc,64,capacity,1,http::header::map::HeaderMap<T>::remove,0.23
lean,grpc,64,capacity,1,dmesh_doca_dpa_msgq_recv_cb,0.22
lean,grpc,64,capacity,1,mutex_lock,0.22
lean,grpc,64,capacity,1,ep_poll,0.22
lean,grpc,64,capacity,1,find_pod_by_id,0.22
lean,grpc,64,capacity,1,"linkerd_http_prom::record_response::request::<impl tower_service::Service<http::request::Request<ReqB>> for linkerd_http_prom::record_response::RecordDuration<L,linkerd_http_prom::record_response::request::RequestMetrics<<L as linkerd_http_prom::stream_label::MkStreamLabel>::DurationLabels>,S>>::call",0.22
lean,grpc,64,capacity,1,tokio::runtime::time::Driver::park_internal,0.22
lean,grpc,64,capacity,1,<h2::proto::streams::streams::OpaqueStreamRef as core::ops::drop::Drop>::drop,0.22
lean,grpc,64,capacity,1,h2::proto::streams::recv::Recv::recv_data,0.21
lean,grpc,64,capacity,1,"<linkerd_proxy_tap::service::TapHttp<S,I> as tower_service::Service<http::request::Request<A>>>::call::{{closure}}",0.21
lean,grpc,64,capacity,1,<linkerd_app_outbound::http::logical::Concrete<T> as core::hash::Hash>::hash,0.21
lean,grpc,64,capacity,1,h2::proto::streams::counts::Counts::transition_after,0.21
lean,grpc,64,capacity,1,__aarch64_cas8_acq,0.21
lean,grpc,64,capacity,1,fsnotify_perm.part.0,0.21
lean,grpc,64,capacity,1,<linkerd_http_stream_timeouts::ResponseFuture<F> as core::future::future::Future>::poll,0.2
lean,grpc,64,capacity,1,__fget_light,0.2
lean,grpc,64,capacity,1,<linkerd_http_route::http::match::MatchRequest as linkerd_http_route::Match>::match_request,0.2
lean,grpc,64,capacity,1,fput_many,0.19
lean,grpc,64,capacity,1,h2::proto::streams::send::Send::send_headers,0.19
