arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
lean2,grpc,64,capacity,clean,3,36276.0,35966.0,36626.0,1773.0,1769.0,1777.0,2632.0,2556.0,2825.0,53.21,52.61,53.33,176.71915728374492,175.7907783183682,176.8150038546402,0.0,0.0,0.0,221415.0,219744.0,222845.0,221415.0,219744.0,222845.0,71029566.0,70265600.0,71604155.0,0.0,0.0,0.0,71029566.0,70265600.0,71604155.0,2590031.0,2567644.0,2603482.0,643777.0,637579.0,645785.0
lean2,grpc,64,matched,clean,3,19999.0,19999.0,20000.0,966.0,962.0,973.0,1935.0,1921.0,2036.0,52.97,52.87,53.01,331.0625,330.4395652472828,331.31457071606695,0.0,0.0,0.0,262335.0,260291.0,263464.0,262335.0,260291.0,263464.0,37768165.0,37768131.0,37768367.0,0.0,0.0,0.0,37768165.0,37768131.0,37768367.0,2853802.0,2833727.0,2872370.0,666234.0,661155.0,671153.0
lean2,grpc,1024,capacity,clean,3,34930.0,34308.0,35067.0,1833.0,1831.0,1844.0,3467.0,2939.0,4569.0,53.09,52.43,53.41,183.54141107983932,183.31106254121823,184.13806667322254,0.0,0.0,0.0,217475.0,214269.0,218611.0,217475.0,214269.0,218611.0,625888079.0,615328118.0,628858676.0,0.0,0.0,0.0,625888079.0,615328118.0,628858676.0,2507981.0,2471267.0,2517543.0,620786.0,611924.0,621920.0
lean2,grpc,1024,matched,clean,3,19999.0,19999.0,19999.0,1008.0,1003.0,1019.0,2127.0,1984.0,2227.0,53.15,53.12,53.22,332.18957618485115,332.0020750129688,332.6270789192432,0.0,0.0,0.0,255507.0,254939.0,256536.0,255507.0,254939.0,256536.0,345773614.0,345773580.0,345774617.0,0.0,0.0,0.0,345773614.0,345773580.0,345774617.0,2764652.0,2752503.0,2774011.0,640943.0,637271.0,644085.0
lean2,grpc,8192,capacity,clean,3,21608.0,21432.0,21636.0,2937.0,2931.0,2958.0,4548.0,4454.0,4569.0,54.49,54.13,54.51,303.8701762212804,303.6278261450796,304.2258903932512,1.0,0.0,1.0,425495.0,421809.0,426284.0,425495.0,421809.0,426284.0,2958276364.0,2935180078.0,2961699735.0,1.0,0.0,1.0,2958276364.0,2935180078.0,2961699735.0,1421350.0,1402306.0,1423848.0,185225.0,182735.0,188360.0
lean2,grpc,8192,matched,clean,3,9999.0,9999.0,9999.0,1694.0,1661.0,1699.0,2254.0,2187.0,2258.0,43.81,43.75,43.96,547.625,546.875,549.5,0.0,0.0,0.0,317511.0,317303.0,319080.0,317511.0,317303.0,319080.0,1319774896.0,1319774862.0,1319791331.0,0.0,0.0,0.0,1319774896.0,1319774862.0,1319791331.0,3314443.0,3312750.0,3333947.0,765641.0,765607.0,768733.0
lean2,grpc,65536,capacity,clean,3,13167.0,13114.0,13183.0,4853.0,4841.0,4866.0,7242.0,7178.0,7296.0,64.11,64.02,64.15,586.9060035497979,585.7273559011893,589.8915173765423,0.0,0.0,8.0,1479518.0,1473528.0,1481850.0,1479518.0,1473528.0,1481850.0,14351852293.0,14270581482.0,14352864927.0,0.0,0.0,8.0,14351852293.0,14270581482.0,14352864927.0,2977971.0,2977492.0,3005175.0,153122.0,150912.0,154148.0
lean2,grpc,65536,capacity,stat,3,13119.0,13096.0,13226.0,4872.0,4815.0,4874.0,7291.0,7235.0,7309.0,95.09,95.06,95.21,589.1905293169704,585.2018488469292,590.1775684113182,8.0,8.0,8.0,2186219.0,2183112.0,2201361.0,2186219.0,2183112.0,2201361.0,21185731327.0,21156250015.0,21364024623.0,8.0,8.0,8.0,21185731327.0,21156250015.0,21364024623.0,4378476.0,4357829.0,4389821.0,220574.0,214132.0,220591.0
lean2,grpc,65536,matched,clean,3,1999.0,1999.0,2000.0,1434.0,1390.0,1436.0,2535.0,2524.0,2590.0,15.59,15.56,15.72,974.375,972.5,982.5,0.0,0.0,0.0,199693.0,199630.0,200327.0,199693.0,199630.0,200327.0,2100714303.0,2100714003.0,2100718761.0,0.0,0.0,0.0,2100714303.0,2100714003.0,2100718761.0,1370971.0,1369658.0,1380592.0,266245.0,265806.0,269641.0
lean2,opaque,64,capacity,clean,3,141854.0,139956.0,143089.0,422.0,421.0,427.0,1088.0,1079.0,1100.0,24.85,24.68,25.06,21.949935577902565,21.928915017291633,22.04888455693624,0.0,0.0,0.0,680545.0,672407.0,685653.0,680545.0,672407.0,685653.0,181313120.0,179092960.0,182670240.0,0.0,0.0,0.0,181313120.0,179092960.0,182670240.0,9540532.0,9444824.0,9608035.0,2549289.0,2524862.0,2566531.0
