arm,protocol,size,mode,rep,window_seconds,whole_run_rps,estimated_window_rpcs,ipc,cores,cycles,cycles_per_rpc_estimate,instructions,instructions_per_rpc_estimate,cache_misses,cache_misses_per_rpc_estimate,context_switches,context_switches_per_rpc_estimate,cpu_migrations,cpu_migrations_per_rpc_estimate
lean,grpc,65536,capacity,1,8.0,12941.0,103528.0,0.42841755489312433,7.7616975,132022753587.0,1275237.168563094,56560865282.0,546333.9896646318,1022743020.0,9878.90251912526,19558.0,0.18891507611467429,0.0,0.0
lean,grpc,65536,capacity,2,8.0,12946.0,103568.0,0.4296915581691226,7.7620837499999995,132026962407.0,1274785.2850977136,56730871197.0,547764.4754847056,1022559059.0,9873.310858566352,19356.0,0.1868917040012359,0.0,0.0
lean,grpc,65536,capacity,3,8.0,13077.0,104616.0,0.42873339271776056,7.793835,132583530195.0,1267335.113128011,56842986719.0,543348.882761719,1026810757.0,9815.045088705361,18351.0,0.17541293874741914,0.0,0.0
lean2,grpc,65536,capacity,1,8.0,13226.0,105808.0,0.4341531956186068,7.75599,131930326401.0,1246884.2280451383,57277972806.0,541338.7721722365,1034517161.0,9777.305695221534,19736.0,0.18652653863601995,0.0,0.0
lean2,grpc,65536,capacity,2,8.0,13119.0,104952.0,0.43329509955707085,7.7495,131811221891.0,1255919.1048384022,57113156512.0,544183.5935665828,1025726284.0,9773.289541885815,20103.0,0.1915447061513835,0.0,0.0
lean2,grpc,65536,capacity,3,8.0,13096.0,104768.0,0.4320628945385231,7.74851625,131797688681.0,1257995.6540260385,56944890865.0,543533.2435953727,1021530634.0,9750.406937232743,20192.0,0.19273060476481368,0.0,0.0
lean3,grpc,65536,capacity,1,8.0,12666.0,101328.0,0.4323592682997684,7.502072500000001,127553939130.0,1258822.2320582662,55149127791.0,544263.4591721933,1002477598.0,9893.391737723037,26431.0,0.26084596557713563,0.0,0.0
lean3,grpc,65536,capacity,2,8.0,11687.0,93496.0,0.4347904766663801,6.75058125,114778532059.0,1227630.4019316335,49904612665.0,533762.0076259947,907376131.0,9704.972736801574,27525.0,0.2943976212886113,0.0,0.0
lean3,grpc,65536,capacity,3,8.0,11634.0,93072.0,0.4356784110966478,6.73829,114567467372.0,1230955.2536960633,49914572148.0,536300.6290613718,907669792.0,9752.340037820182,28046.0,0.30133659962179815,0.0,0.0
