arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_writer_wakes_total,dmesh_worker_drain_progressed_total,dmesh_worker_pe_progressed_total,dmesh_worker_drain_pending_total,dmesh_tx_errors_total,dmesh_worker_maintenances_total,dmesh_worker_cross_in_total,dmesh_tx_accepted_bytes_total,dmesh_tx_reserve_attempts_total,dmesh_worker_arms_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_idle_total,dmesh_worker_cross_out_total,dmesh_tx_publications_total,dmesh_worker_data_progressed_total,dmesh_tx_retries_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_notification_clears_total
lean,grpc,65536,capacity,clean,6,True,8.473931795917451,62.14,104110,12538.0,4917.0,7890.0,596.8686965709346,8.0,2624790.0,1813851.0,32980.0,0.0,66761.0,0.0,13670781362.0,1413051.0,146539.0,1813851.0,2856154.0,198384.0,0.0,1413051.0,2624790.0,8.0,13670781362.0,146539.0
lean,grpc,65536,capacity,profile,1,True,16.470898797968403,126.08,208654,12800.0,4995.0,7283.0,604.253932347331,8.0,5296546.0,3640089.0,60195.0,0.0,129405.0,0.0,27398975551.0,2837714.0,279169.0,3640089.0,5737175.0,380434.0,0.0,2837714.0,5296546.0,8.0,27398975551.0,279169.0
lean,grpc,65536,capacity,stat,1,True,12.525085401022807,95.31,159230,12941.0,4921.0,7563.0,598.5681090246812,8.0,3990591.0,2772166.0,45872.0,0.0,98669.0,0.0,20908566532.0,2159424.0,213606.0,2772166.0,4329724.0,293261.0,0.0,2159424.0,3990591.0,8.0,20908566532.0,213606.0
lean,grpc,65536,capacity,stat,2,True,12.528274278971367,95.24,159277,12946.0,4928.0,7368.0,597.9519955800273,0.0,3997972.0,2773815.0,45745.0,0.0,101374.0,0.0,20915890152.0,2161050.0,215669.0,2773815.0,4341536.0,297819.0,0.0,2161050.0,3997972.0,0.0,20915890152.0,215669.0
lean,grpc,65536,capacity,stat,3,True,12.517578608938493,95.66,160896,13077.0,4874.0,7269.0,594.5455449482896,8.0,3949344.0,2798684.0,41150.0,0.0,98661.0,0.0,21127927863.0,2180276.0,201475.0,2798684.0,4273029.0,282535.0,0.0,2180276.0,3949344.0,8.0,21127927863.0,201475.0
lean,grpc,65536,matched,clean,1,True,8.481945264036767,15.64,16000,1999.0,1439.0,2511.0,977.5,0.0,882804.0,289619.0,42989.0,0.0,47749.0,0.0,2100712826.0,199475.0,262945.0,289619.0,1365871.0,440078.0,0.0,199475.0,882804.0,0.0,2100712826.0,262945.0
lean,grpc,65536,matched,clean,2,True,8.529190553934313,15.51,16000,1999.0,1438.0,2537.0,969.375,0.0,883415.0,289701.0,42782.0,0.0,47109.0,0.0,2100714207.0,199649.0,263130.0,289701.0,1367448.0,441251.0,0.0,199649.0,883415.0,0.0,2100714207.0,263130.0
lean,grpc,65536,matched,clean,3,True,8.457947579910979,15.61,16000,1999.0,1419.0,2532.0,975.625,0.0,886512.0,290007.0,43239.0,0.0,46990.0,0.0,2100717861.0,200227.0,264108.0,290007.0,1371870.0,442119.0,0.0,200227.0,886512.0,0.0,2100717861.0,264108.0
lean,grpc,8192,capacity,clean,1,True,8.45981224696152,54.22,176077,21211.0,2977.0,4951.0,307.9334609290254,1.0,1079025.0,411168.0,32882.0,0.0,65035.0,0.0,2904758236.0,419390.0,183888.0,411168.0,1407676.0,295769.0,0.0,419390.0,1079025.0,1.0,2904758236.0,183888.0
lean,grpc,8192,capacity,clean,2,True,8.480216979980469,54.53,177295,21363.0,2954.0,4852.0,307.56648523647027,1.0,1069875.0,412258.0,31044.0,0.0,65054.0,0.0,2924934457.0,420530.0,180303.0,412258.0,1394213.0,293294.0,0.0,420530.0,1069875.0,1.0,2924934457.0,180303.0
lean,grpc,8192,capacity,clean,3,True,8.476044330047444,54.63,177242,21364.0,2963.0,4834.0,308.22265602960925,1.0,1078627.0,413123.0,32226.0,0.0,68121.0,0.0,2923986109.0,421390.0,185840.0,413123.0,1412354.0,301501.0,0.0,421390.0,1078627.0,1.0,2923986109.0,185840.0
