protocol,size,mode,lean_n,lean_rps,lean_cpu,lean_p50,lean_p99,lean_rps_min,lean_rps_max,lean_cpu_min,lean_cpu_max,lean2_n,lean2_rps,lean2_cpu,lean2_p50,lean2_p99,lean2_rps_min,lean2_rps_max,lean2_cpu_min,lean2_cpu_max,lean3_n,lean3_rps,lean3_cpu,lean3_p50,lean3_p99,lean3_rps_min,lean3_rps_max,lean3_cpu_min,lean3_cpu_max
grpc,64,capacity,3,35724.0,179.13550581819163,1793.0,2725.0,35234.0,36293.0,178.31102784615027,179.60186879314546,3,36276.0,176.71915728374492,1773.0,2632.0,35966.0,36626.0,175.7907783183682,176.8150038546402,3,36121.0,175.15358178858304,1784.0,2662.0,35895.0,36200.0,174.12189532032832,175.18762907369162
grpc,64,matched,3,20000.0,331.3770711066944,968.0,1936.0,19999.0,20000.0,331.00206876292975,331.87707423171395,3,19999.0,331.0625,966.0,1935.0,19999.0,20000.0,330.4395652472828,331.31457071606695,3,19999.0,325.625,974.0,1916.0,19999.0,20000.0,325.00203126269537,325.81453634085216
grpc,1024,capacity,3,34518.0,186.20886216251404,1853.0,3452.0,34245.0,34655.0,186.18169161155586,186.61786124684343,3,34930.0,183.54141107983932,1833.0,3467.0,34308.0,35067.0,183.31106254121823,184.13806667322254,3,34833.0,181.68861090546795,1838.0,3102.0,34733.0,35339.0,180.55086437191022,181.88573631082392
grpc,1024,matched,3,19999.0,333.3145832161451,1015.0,2007.0,19999.0,19999.0,332.314576966106,333.3166664583307,3,19999.0,332.18957618485115,1008.0,2127.0,19999.0,19999.0,332.0020750129688,332.6270789192432,3,20000.0,327.5645472784205,1012.0,2011.0,19999.0,20005.0,327.37704610653816,327.7520484503028
grpc,8192,capacity,3,21363.0,307.9334609290254,2963.0,4852.0,21211.0,21364.0,307.56648523647027,308.22265602960925,3,21608.0,303.8701762212804,2937.0,4548.0,21432.0,21636.0,303.6278261450796,304.2258903932512,3,21465.0,304.04571069351834,2950.0,4584.0,21323.0,21525.0,303.27281681627903,305.212852494577
grpc,8192,matched,3,9999.0,549.125,1699.0,2314.0,9999.0,9999.0,548.875,549.375,3,9999.0,547.625,1694.0,2254.0,9999.0,9999.0,546.875,549.5,3,9999.0,534.625,1691.0,2249.0,9999.0,9999.0,533.875,535.25
grpc,65536,capacity,3,12961.0,596.6242774566475,4922.0,7458.0,12909.0,13022.0,594.9082253175385,597.6541723819388,3,13167.0,586.9060035497979,4853.0,7242.0,13114.0,13183.0,585.7273559011893,589.8915173765423,3,13213.0,578.5289903350339,4792.0,7740.0,13200.0,13252.0,578.1218763062719,578.6051093093039
grpc,65536,matched,3,1999.0,975.625,1438.0,2532.0,1999.0,1999.0,969.375,977.5,3,1999.0,974.375,1434.0,2535.0,1999.0,2000.0,972.5,982.5,3,2000.0,943.125,1412.0,2532.0,2000.0,2000.0,941.25,943.75
