arm,rep,req,conc,threads,mrps,p50,p99,fail,client_core,server_core,host_core,arm_core,host_us_per_req,arm_us_per_req
grpc-dpumesh,1,1024,32,1,0.002062,15487.00,24054.00,0,0.0680,0.1756,0.2436,1.0571,118.141,512.674
grpc-dpumesh,2,1024,32,1,0.002066,15533.00,17922.00,0,0.0611,0.1643,0.2254,1.0605,109.093,513.302
grpc-dpumesh,3,1024,32,1,0.002161,14800.00,18878.00,0,0.0714,0.1839,0.2553,1.0610,118.155,490.982
